Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.22,190,2934,0,0,0,0,0,0,0,0,0
14863,-0.13,770,2802,0,0,0,0,0,0,0,0,0
14899,-0.17,1496,2786,0,0,0,0,0,0,0,0,0
14935,-0.23,2039,2858,0,0,0,0,0,0,0,0,0
14971,-0.23,2337,2965,0,0,0,0,0,0,0,0,0
15007,-0.17,2440,3056,0,0,0,0,0,0,0,0,0
15043,-0.18,2416,3063,0,0,0,0,0,0,0,0,0
15079,-0.23,2314,3021,0,0,0,0,0,0,0,0,0
15115,-0.20,2165,2954,0,0,0,0,0,0,0,0,0
15151,-0.17,1989,2897,0,0,0,0,0,0,0,0,0
15187,-0.21,1810,2903,0,0,0,0,0,0,0,0,0
15223,-0.22,1664,3117,0,0,0,0,0,0,0,0,0
15259,-0.22,1603,3577,0,0,0,0,0,0,0,0,0
15295,-0.22,1661,3862,0,0,0,0,0,0,0,0,0
15331,-0.16,1770,3583,0,0,0,0,0,0,0,0,0
15367,-0.20,1794,3184,0,0,0,0,0,0,0,0,0
15403,-0.23,1659,2903,0,0,0,0,0,0,0,0,0
15439,-0.27,1402,2767,0,0,0,0,0,0,0,0,0
15475,-0.18,1114,2773,0,0,0,0,0,0,0,0,0
15511,-0.18,877,2873,0,0,0,0,0,0,0,0,0
15547,-0.22,734,2995,0,0,0,0,0,0,0,0,0
15583,-0.27,685,3070,0,0,0,0,0,0,0,0,0
15619,-0.19,692,3055,0,0,0,0,0,0,0,0,0
15655,-0.27,705,2971,0,0,0,0,0,0,0,0,0
15691,-0.22,689,2906,0,0,0,0,0,0,0,0,0
15727,-0.13,638,2878,0,0,0,0,0,0,0,0,0
15763,-0.22,577,2975,0,0,0,0,0,0,0,0,0
15799,-0.23,554,3347,0,0,0,0,0,0,0,0,0
15835,-0.15,632,3863,0,0,0,0,0,0,0,0,0
15871,-0.17,805,3809,0,0,0,0,0,0,0,0,0
15907,-0.18,949,3367,0,0,0,0,0,0,0,0,0
15943,-0.23,941,3006,0,0,0,0,0,0,0,0,0
15979,-0.21,771,2797,0,0,0,0,0,0,0,0,0
16015,-0.17,519,2736,0,0,0,0,0,0,0,0,0
16051,-0.19,283,2805,0,0,0,0,0,0,0,0,0
16087,-0.17,128,2927,0,0,0,0,0,0,0,0,0
16123,-0.21,76,3035,0,0,0,0,0,0,0,0,0
16159,-0.22,102,3063,0,0,0,0,0,0,0,0,0
16195,-0.20,158,3031,0,0,0,0,0,0,0,0,0
16231,-0.20,200,2951,0,0,0,0,0,0,0,0,0
16267,-0.20,204,2894,0,0,0,0,0,0,0,0,0
16303,-0.23,178,2928,0,0,0,0,0,0,0,0,0
16339,-0.18,165,3230,0,0,0,0,0,0,0,0,0
16375,-0.18,231,3701,0,0,0,0,0,0,0,0,0
16411,-0.18,396,3836,0,0,0,0,0,0,0,0,0
16447,-0.25,570,3469,0,0,0,0,0,0,0,0,0
16483,-0.18,624,3088,0,0,0,0,0,0,0,0,0
16519,-0.22,513,2831,0,0,0,0,0,0,0,0,0
16555,-0.28,297,2736,0,0,0,0,0,0,0,0,0
16591,-0.18,54,2513,0,0,0,0,0,0,0,0,0
16627,-0.24,-166,2475,0,0,0,0,0,0,0,0,0
16663,-0.24,-313,2758,0,0,0,0,0,0,0,0,0
16699,-0.23,-333,3011,0,0,0,0,0,0,0,0,0
16735,-0.26,-236,3095,0,0,0,0,0,0,0,0,0
16771,-0.22,-94,3024,0,0,0,0,0,0,0,0,0
16807,-0.24,14,2934,0,0,0,0,0,0,0,0,0
16843,-0.23,65,2950,0,0,0,0,0,0,0,0,0
16879,-0.24,91,3247,0,0,0,0,0,0,0,0,0
16915,-0.20,172,3741,0,0,0,0,0,0,0,0,0
16951,-0.25,338,3841,0,0,0,0,0,0,0,0,0
16987,-0.26,507,3475,0,0,0,0,0,0,0,0,0
17023,-0.18,554,3110,0,0,0,0,0,0,0,0,0
17059,-0.16,443,2861,0,0,0,0,0,0,0,0,0
17095,-0.30,229,2736,0,0,0,0,0,0,0,0,0
17131,-0.19,5,2800,0,0,0,0,0,0,0,0,0
17167,-0.19,-147,2938,0,0,0,0,0,0,0,0,0
17203,-0.18,-196,3056,0,0,0,0,0,0,0,0,0
