Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.19,177,2738,0,0,0,0,0,0,0,0,0
14863,-0.14,729,2807,0,0,0,0,0,0,0,0,0
14899,-0.15,1446,2795,0,0,0,0,0,0,0,0,0
14935,-0.20,1994,2716,0,0,0,0,0,0,0,0,0
14971,-0.13,2274,2695,0,0,0,0,0,0,0,0,0
15007,-0.18,2337,2901,0,0,0,0,0,0,0,0,0
15043,-0.23,2326,3531,0,0,0,0,0,0,0,0,0
15079,-0.17,2384,4095,0,0,0,0,0,0,0,0,0
15115,-0.12,2527,4095,0,0,0,0,0,0,0,0,0
15151,-0.17,2647,3938,0,0,0,0,0,0,0,0,0
15187,-0.17,2619,3319,0,0,0,0,0,0,0,0,0
15223,-0.21,2390,3043,0,0,0,0,0,0,0,0,0
15259,-0.20,2026,2928,0,0,0,0,0,0,0,0,0
15295,-0.08,1648,2928,0,0,0,0,0,0,0,0,0
15331,-0.13,1340,2955,0,0,0,0,0,0,0,0,0
15367,-0.10,1131,2977,0,0,0,0,0,0,0,0,0
15403,-0.18,1009,2971,0,0,0,0,0,0,0,0,0
15439,-0.20,935,2919,0,0,0,0,0,0,0,0,0
15475,-0.21,878,2893,0,0,0,0,0,0,0,0,0
15511,-0.10,818,2833,0,0,0,0,0,0,0,0,0
15547,-0.24,747,2768,0,0,0,0,0,0,0,0,0
15583,-0.14,663,2711,0,0,0,0,0,0,0,0,0
15619,-0.12,575,2697,0,0,0,0,0,0,0,0,0
15655,-0.15,496,2701,0,0,0,0,0,0,0,0,0
15691,-0.16,435,2690,0,0,0,0,0,0,0,0,0
15727,-0.23,388,2666,0,0,0,0,0,0,0,0,0
15763,-0.20,352,2688,0,0,0,0,0,0,0,0,0
15799,-0.16,327,2709,0,0,0,0,0,0,0,0,0
15835,-0.18,317,2747,0,0,0,0,0,0,0,0,0
15871,-0.19,315,2757,0,0,0,0,0,0,0,0,0
15907,-0.21,316,2750,0,0,0,0,0,0,0,0,0
15943,-0.20,325,2951,0,0,0,0,0,0,0,0,0
15979,-0.16,392,3525,0,0,0,0,0,0,0,0,0
16015,-0.20,583,4095,0,0,0,0,0,0,0,0,0
16051,-0.15,867,4095,0,0,0,0,0,0,0,0,0
16087,-0.18,1105,3728,0,0,0,0,0,0,0,0,0
16123,-0.17,1155,3200,0,0,0,0,0,0,0,0,0
16159,-0.17,990,2941,0,0,0,0,0,0,0,0,0
16195,-0.13,699,2864,0,0,0,0,0,0,0,0,0
16231,-0.18,407,2898,0,0,0,0,0,0,0,0,0
16267,-0.13,197,2982,0,0,0,0,0,0,0,0,0
16303,-0.20,92,2992,0,0,0,0,0,0,0,0,0
16339,-0.22,59,2957,0,0,0,0,0,0,0,0,0
16375,-0.14,53,2863,0,0,0,0,0,0,0,0,0
16411,-0.22,38,2787,0,0,0,0,0,0,0,0,0
16447,-0.12,0,2684,0,0,0,0,0,0,0,0,0
16483,-0.14,-56,2634,0,0,0,0,0,0,0,0,0
16519,-0.20,-113,2674,0,0,0,0,0,0,0,0,0
16555,-0.16,-147,2715,0,0,0,0,0,0,0,0,0
16591,-0.19,-151,2752,0,0,0,0,0,0,0,0,0
16627,-0.15,-128,2789,0,0,0,0,0,0,0,0,0
16663,-0.11,-95,2749,0,0,0,0,0,0,0,0,0
16699,-0.18,-76,2653,0,0,0,0,0,0,0,0,0
16735,-0.16,-83,2625,0,0,0,0,0,0,0,0,0
16771,-0.13,-105,2652,0,0,0,0,0,0,0,0,0
16807,-0.14,-123,2657,0,0,0,0,0,0,0,0,0
16843,-0.09,-130,2654,0,0,0,0,0,0,0,0,0
16879,-0.17,-122,2754,0,0,0,0,0,0,0,0,0
16915,-0.13,-72,3105,0,0,0,0,0,0,0,0,0
16951,-0.23,70,3686,0,0,0,0,0,0,0,0,0
16987,-0.21,327,4007,0,0,0,0,0,0,0,0,0
17023,-0.10,607,3660,0,0,0,0,0,0,0,0,0
17059,-0.08,751,3216,0,0,0,0,0,0,0,0,0
17095,-0.14,690,2938,0,0,0,0,0,0,0,0,0
17131,-0.14,479,2790,0,0,0,0,0,0,0,0,0
17167,-0.13,228,2809,0,0,0,0,0,0,0,0,0
17203,-0.17,30,2937,0,0,0,0,0,0,0,0,0
17239,-0.15,-66,3035,0,0,0,0,0,0,0,0,0
17275,-0.11,-74,3009,0,0,0,0,0,0,0,0,0
17311,-0.17,-47,2925,0,0,0,0,0,0,0,0,0
17347,-0.21,-31,2864,0,0,0,0,0,0,0,0,0
17383,-0.16,-40,2811,0,0,0,0,0,0,0,0,0
17419,-0.18,-69,2762,0,0,0,0,0,0,0,0,0
17455,-0.15,-107,2741,0,0,0,0,0,0,0,0,0
17491,-0.21,-140,2749,0,0,0,0,0,0,0,0,0
17527,-0.16,-162,2729,0,0,0,0,0,0,0,0,0
17563,-0.15,-171,2754,0,0,0,0,0,0,0,0,0
17599,-0.14,-167,2765,0,0,0,0,0,0,0,0,0
17635,-0.18,-155,2736,0,0,0,0,0,0,0,0,0
17671,-0.26,-146,2710,0,0,0,0,0,0,0,0,0
17707,-0.09,-142,2741,0,0,0,0,0,0,0,0,0
17743,-0.21,-122,2955,0,0,0,0,0,0,0,0,0
17779,-0.19,-38,3439,0,0,0,0,0,0,0,0,0
17815,-0.20,158,3955,0,0,0,0,0,0,0,0,0
17851,-0.19,433,3877,0,0,0,0,0,0,0,0,0
17887,-0.22,644,3421,0,0,0,0,0,0,0,0,0
17923,-0.22,672,3069,0,0,0,0,0,0,0,0,0
17959,-0.18,520,2864,0,0,0,0,0,0,0,0,0
17995,-0.15,281,2803,0,0,0,0,0,0,0,0,0
18031,-0.10,57,2893,0,0,0,0,0,0,0,0,0
18067,-0.18,-82,2995,0,0,0,0,0,0,0,0,0
18103,-0.23,-127,3021,0,0,0,0,0,0,0,0,0
18139,-0.18,-115,2947,0,0,0,0,0,0,0,0,0
18175,-0.18,-95,2880,0,0,0,0,0,0,0,0,0
18211,-0.17,-92,2837,0,0,0,0,0,0,0,0,0
18247,-0.21,-108,2799,0,0,0,0,0,0,0,0,0
18283,-0.17,-135,2772,0,0,0,0,0,0,0,0,0
18319,-0.14,-162,2776,0,0,0,0,0,0,0,0,0
18355,-0.14,-181,2743,0,0,0,0,0,0,0,0,0
18391,-0.18,-194,2739,0,0,0,0,0,0,0,0,0
18427,-0.19,-197,2770,0,0,0,0,0,0,0,0,0
18463,-0.19,-187,2800,0,0,0,0,0,0,0,0,0
18499,-0.19,-166,2785,0,0,0,0,0,0,0,0,0
18535,-0.19,-145,2797,0,0,0,0,0,0,0,0,0
18571,-0.18,-125,2799,0,0,0,0,0,0,0,0,0
18607,-0.17,-96,3010,0,0,0,0,0,0,0,0,0
18643,-0.21,-2,3583,0,0,0,0,0,0,0,0,0
18679,-0.25,211,4095,0,0,0,0,0,0,0,0,0
18715,-0.22,510,4095,0,0,0,0,0,0,0,0,0
18751,-0.23,752,3691,0,0,0,0,0,0,0,0,0
18787,-0.22,813,3328,0,0,0,0,0,0,0,0,0
18823,-0.20,687,3137,0,0,0,0,0,0,0,0,0
18859,-0.22,460,3053,0,0,0,0,0,0,0,0,0
18895,-0.08,227,3054,0,0,0,0,0,0,0,0,0
18931,-0.15,54,3113,0,0,0,0,0,0,0,0,0
18967,-0.19,-37,3120,0,0,0,0,0,0,0,0,0
19003,-0.18,-69,3051,0,0,0,0,0,0,0,0,0
19039,-0.24,-82,2962,0,0,0,0,0,0,0,0,0
19075,-0.16,-104,2886,0,0,0,0,0,0,0,0,0
19111,-0.15,-139,2847,0,0,0,0,0,0,0,0,0
19147,-0.15,-176,2854,0,0,0,0,0,0,0,0,0
19183,-0.18,-202,2859,0,0,0,0,0,0,0,0,0
19219,-0.15,-213,2846,0,0,0,0,0,0,0,0,0
