Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W65_T2.50_D5_C2,BL_W70_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W75_T2.50_D5_C2
18463,-0.18,-3,0,0,0,0,0,0,0,0
18499,-0.12,-5,0,0,0,0,0,0,0,0
18535,-0.20,-6,0,0,0,0,0,0,0,0
18571,-0.08,-6,0,0,0,0,0,0,0,0
18607,-0.16,-7,0,0,0,0,0,0,0,0
18643,-0.12,-7,0,0,0,0,0,0,0,0
18679,-0.15,-6,0,0,0,0,0,0,0,0
18715,-0.13,-4,0,0,0,0,0,0,0,0
18751,-0.13,-5,0,0,0,0,0,0,0,0
18787,-0.13,-8,0,0,0,0,0,0,0,0
18823,2.87,-6,0,0,0,0,0,0,0,0
18859,4.45,6,0,0,0,0,0,0,0,0
18895,5.99,29,0,0,0,0,0,0,0,0
18931,6.49,51,0,0,0,0,0,0,0,0
18967,9.42,60,0,0,0,0,0,0,0,0
19003,12.45,52,0,0,0,0,0,0,0,0
19039,15.36,36,0,0,0,0,0,0,0,0
19075,17.79,21,0,0,0,0,0,0,0,0
19111,19.73,10,0,0,0,0,0,0,0,0
19147,20.65,3,0,0,0,0,0,0,0,0
19183,20.54,0,0,0,0,0,0,0,0,0
19219,18.93,1,0,0,0,0,0,0,0,0
19255,18.04,2,0,0,0,0,0,0,0,0
19291,17.48,0,0,0,0,0,0,0,0,0
19327,17.18,-5,0,0,0,0,0,0,0,0
19363,16.75,-13,0,0,0,0,0,0,0,0
19399,16.55,-18,0,0,0,0,0,0,0,0
19435,16.29,-17,0,0,0,0,0,0,0,0
19471,16.11,-10,0,0,0,0,0,0,0,0
19507,15.87,-5,0,0,0,0,0,0,0,0
19543,15.73,-3,0,0,0,0,0,0,0,0
19579,15.60,-7,0,0,0,0,0,0,0,0
19615,15.53,-13,0,0,0,0,0,0,0,0
19651,18.12,-18,0,0,0,0,0,0,0,0
19687,21.38,-18,0,0,0,0,0,0,0,0
