Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.26,107,1667,0,0,0,0,0,0,0,0,0
14863,-0.27,436,1591,0,0,0,0,0,0,0,0,0
14899,-0.15,848,1584,0,0,0,0,0,0,0,0,0
14935,-0.23,1146,1450,0,0,0,0,0,0,0,0,0
14971,-0.25,1263,1233,0,0,0,0,0,0,0,0,0
15007,-0.23,1282,2219,0,0,0,0,0,0,0,0,0
15043,-0.18,1473,4095,0,0,0,0,0,0,0,0,0
15079,-0.23,1962,4095,0,0,0,0,0,0,0,0,0
15115,-0.24,2515,4095,0,0,0,0,0,0,0,0,0
15151,-0.24,2893,4095,0,0,0,0,0,0,0,0,0
15187,-0.15,3045,4095,0,0,0,0,0,0,0,0,0
15223,-0.24,3016,4095,0,0,0,0,0,0,0,0,0
15259,-0.17,2698,1365,0,0,0,0,0,0,0,0,0
15295,-0.22,1914,688,0,0,0,0,0,0,0,0,0
15331,-0.28,924,1408,0,0,0,0,0,0,0,0,0
15367,-0.29,218,2063,0,0,0,0,0,0,0,0,0
15403,-0.23,-39,2141,0,0,0,0,0,0,0,0,0
15439,-0.22,-10,1902,0,0,0,0,0,0,0,0,0
15475,-0.22,73,1572,0,0,0,0,0,0,0,0,0
15511,-0.24,83,1392,0,0,0,0,0,0,0,0,0
15547,-0.17,17,1451,0,0,0,0,0,0,0,0,0
15583,-0.22,-49,1648,0,0,0,0,0,0,0,0,0
15619,-0.22,-25,2303,0,0,0,0,0,0,0,0,0
15655,-0.23,243,4095,0,0,0,0,0,0,0,0,0
15691,-0.19,803,4095,0,0,0,0,0,0,0,0,0
15727,-0.18,1418,4095,0,0,0,0,0,0,0,0,0
15763,-0.14,1854,4095,0,0,0,0,0,0,0,0,0
15799,-0.20,2063,4095,0,0,0,0,0,0,0,0,0
15835,-0.23,2090,4095,0,0,0,0,0,0,0,0,0
15871,-0.31,1893,2366,0,0,0,0,0,0,0,0,0
15907,-0.23,1254,0,0,0,0,0,0,0,0,0,0
15943,-0.21,185,0,0,0,0,0,0,0,0,0,0
15979,-0.22,-900,0,0,0,0,0,0,0,0,0,0
16015,-0.26,-1614,773,0,0,0,0,0,0,0,0,0
16051,-0.28,-1810,1378,0,0,0,0,0,0,0,0,0
16087,-0.18,-1572,1629,0,0,0,0,0,0,0,0,0
16123,-0.21,-1142,1535,0,0,0,0,0,0,0,0,0
16159,-0.23,-759,1234,0,0,0,0,0,0,0,0,0
16195,-0.11,-553,990,0,0,0,0,0,0,0,0,0
16231,-0.22,-526,866,0,0,0,0,0,0,0,0,0
16267,-0.30,-598,896,0,0,0,0,0,0,0,0,0
16303,-0.22,-665,1159,0,0,0,0,0,0,0,0,0
16339,-0.25,-602,2096,0,0,0,0,0,0,0,0,0
16375,-0.25,-226,4095,0,0,0,0,0,0,0,0,0
16411,-0.21,487,4095,0,0,0,0,0,0,0,0,0
16447,-0.19,1249,4095,0,0,0,0,0,0,0,0,0
16483,-0.18,1760,3643,0,0,0,0,0,0,0,0,0
16519,-0.29,1807,1634,0,0,0,0,0,0,0,0,0
16555,-0.17,1278,705,0,0,0,0,0,0,0,0,0
16591,-0.18,409,779,0,0,0,0,0,0,0,0,0
16627,-0.16,-363,1323,0,0,0,0,0,0,0,0,0
16663,-0.25,-765,1747,0,0,0,0,0,0,0,0,0
16699,-0.18,-795,1887,0,0,0,0,0,0,0,0,0
16735,-0.25,-618,1802,0,0,0,0,0,0,0,0,0
16771,-0.22,-413,1687,0,0,0,0,0,0,0,0,0
16807,-0.14,-269,1668,0,0,0,0,0,0,0,0,0
16843,-0.23,-196,1680,0,0,0,0,0,0,0,0,0
16879,-0.19,-164,1744,0,0,0,0,0,0,0,0,0
16915,-0.26,-137,1870,0,0,0,0,0,0,0,0,0
16951,-0.22,-89,1991,0,0,0,0,0,0,0,0,0
16987,-0.25,-19,2022,0,0,0,0,0,0,0,0,0
17023,-0.32,64,2230,0,0,0,0,0,0,0,0,0
17059,-0.21,243,3530,0,0,0,0,0,0,0,0,0
17095,-0.22,622,4095,0,0,0,0,0,0,0,0,0
17131,-0.21,1119,4095,0,0,0,0,0,0,0,0,0
17167,-0.21,1536,4095,0,0,0,0,0,0,0,0,0
17203,-0.20,1697,2875,0,0,0,0,0,0,0,0,0
17239,-0.16,1439,1573,0,0,0,0,0,0,0,0,0
17275,-0.20,793,1169,0,0,0,0,0,0,0,0,0
17311,-0.20,55,1510,0,0,0,0,0,0,0,0,0
17347,-0.19,-459,1958,0,0,0,0,0,0,0,0,0
17383,-0.23,-643,2054,0,0,0,0,0,0,0,0,0
17419,-0.19,-597,1977,0,0,0,0,0,0,0,0,0
17455,-0.22,-481,1803,0,0,0,0,0,0,0,0,0
17491,-0.25,-395,1729,0,0,0,0,0,0,0,0,0
17527,-0.24,-365,1674,0,0,0,0,0,0,0,0,0
17563,-0.17,-372,1659,0,0,0,0,0,0,0,0,0
17599,-0.18,-387,1709,0,0,0,0,0,0,0,0,0
17635,-0.19,-386,1763,0,0,0,0,0,0,0,0,0
17671,-0.16,-353,1901,0,0,0,0,0,0,0,0,0
17707,-0.16,-227,2866,0,0,0,0,0,0,0,0,0
17743,-0.22,116,4095,0,0,0,0,0,0,0,0,0
17779,-0.22,667,4095,0,0,0,0,0,0,0,0,0
17815,-0.17,1209,4095,0,0,0,0,0,0,0,0,0
17851,-0.19,1571,4095,0,0,0,0,0,0,0,0,0
17887,-0.21,1647,2768,0,0,0,0,0,0,0,0,0
17923,-0.23,1252,663,0,0,0,0,0,0,0,0,0
17959,-0.23,390,416,0,0,0,0,0,0,0,0,0
