Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.24,193,2979,0,0,0,0,0,0,0,0,0
14863,-0.20,794,3014,0,0,0,0,0,0,0,0,0
14899,-0.23,1568,3015,0,0,0,0,0,0,0,0,0
14935,-0.21,2162,3007,0,0,0,0,0,0,0,0,0
14971,-0.22,2476,2991,0,0,0,0,0,0,0,0,0
15007,-0.14,2546,2963,0,0,0,0,0,0,0,0,0
15043,-0.14,2456,2976,0,0,0,0,0,0,0,0,0
15079,-0.18,2290,2990,0,0,0,0,0,0,0,0,0
15115,-0.21,2109,3009,0,0,0,0,0,0,0,0,0
15151,-0.15,1942,3002,0,0,0,0,0,0,0,0,0
15187,-0.18,1797,2999,0,0,0,0,0,0,0,0,0
15223,-0.16,1671,2999,0,0,0,0,0,0,0,0,0
15259,-0.13,1571,3121,0,0,0,0,0,0,0,0,0
15295,-0.21,1515,3356,0,0,0,0,0,0,0,0,0
15331,-0.15,1509,3401,0,0,0,0,0,0,0,0,0
15367,-0.18,1509,3219,0,0,0,0,0,0,0,0,0
15403,-0.19,1454,3047,0,0,0,0,0,0,0,0,0
15439,-0.17,1330,2954,0,0,0,0,0,0,0,0,0
15475,-0.22,1167,2937,0,0,0,0,0,0,0,0,0
15511,-0.13,1010,2943,0,0,0,0,0,0,0,0,0
15547,-0.20,886,2991,0,0,0,0,0,0,0,0,0
15583,-0.21,806,3025,0,0,0,0,0,0,0,0,0
15619,-0.29,761,3051,0,0,0,0,0,0,0,0,0
15655,-0.23,736,3031,0,0,0,0,0,0,0,0,0
15691,-0.19,709,2992,0,0,0,0,0,0,0,0,0
15727,-0.11,670,2965,0,0,0,0,0,0,0,0,0
15763,-0.13,621,2967,0,0,0,0,0,0,0,0,0
15799,-0.18,571,2987,0,0,0,0,0,0,0,0,0
15835,-0.22,531,3009,0,0,0,0,0,0,0,0,0
15871,-0.28,503,3031,0,0,0,0,0,0,0,0,0
15907,-0.22,485,3043,0,0,0,0,0,0,0,0,0
15943,-0.14,468,3011,0,0,0,0,0,0,0,0,0
15979,-0.20,443,2963,0,0,0,0,0,0,0,0,0
16015,-0.20,408,2974,0,0,0,0,0,0,0,0,0
16051,-0.23,385,3205,0,0,0,0,0,0,0,0,0
16087,-0.15,411,3414,0,0,0,0,0,0,0,0,0
16123,-0.28,479,3355,0,0,0,0,0,0,0,0,0
16159,-0.22,528,3151,0,0,0,0,0,0,0,0,0
16195,-0.21,508,3002,0,0,0,0,0,0,0,0,0
16231,-0.15,422,2957,0,0,0,0,0,0,0,0,0
16267,-0.17,313,2966,0,0,0,0,0,0,0,0,0
16303,-0.17,223,2986,0,0,0,0,0,0,0,0,0
16339,-0.18,166,3011,0,0,0,0,0,0,0,0,0
16375,-0.13,145,3069,0,0,0,0,0,0,0,0,0
16411,-0.24,151,3088,0,0,0,0,0,0,0,0,0
16447,-0.22,169,3056,0,0,0,0,0,0,0,0,0
16483,-0.17,177,3011,0,0,0,0,0,0,0,0,0
16519,-0.20,166,2970,0,0,0,0,0,0,0,0,0
16555,-0.27,138,2940,0,0,0,0,0,0,0,0,0
16591,-0.24,103,2959,0,0,0,0,0,0,0,0,0
16627,-0.19,76,3001,0,0,0,0,0,0,0,0,0
16663,-0.27,68,3035,0,0,0,0,0,0,0,0,0
16699,-0.20,76,3042,0,0,0,0,0,0,0,0,0
16735,-0.15,90,3021,0,0,0,0,0,0,0,0,0
16771,-0.13,96,3010,0,0,0,0,0,0,0,0,0
16807,-0.15,104,3163,0,0,0,0,0,0,0,0,0
16843,-0.09,142,3394,0,0,0,0,0,0,0,0,0
16879,-0.16,219,3389,0,0,0,0,0,0,0,0,0
16915,-0.23,287,3197,0,0,0,0,0,0,0,0,0
16951,-0.12,291,3033,0,0,0,0,0,0,0,0,0
16987,-0.17,226,2966,0,0,0,0,0,0,0,0,0
17023,-0.20,129,2962,0,0,0,0,0,0,0,0,0
17059,-0.19,43,2991,0,0,0,0,0,0,0,0,0
17095,-0.16,-8,3012,0,0,0,0,0,0,0,0,0
17131,-0.12,-25,3050,0,0,0,0,0,0,0,0,0
17167,-0.19,-16,3060,0,0,0,0,0,0,0,0,0
17203,-0.18,3,3039,0,0,0,0,0,0,0,0,0
17239,-0.18,17,3002,0,0,0,0,0,0,0,0,0
17275,-0.13,14,2965,0,0,0,0,0,0,0,0,0
17311,-0.17,0,2967,0,0,0,0,0,0,0,0,0
17347,-0.17,-18,2960,0,0,0,0,0,0,0,0,0
17383,-0.19,-31,2971,0,0,0,0,0,0,0,0,0
17419,-0.19,-35,3006,0,0,0,0,0,0,0,0,0
17455,-0.29,-28,3021,0,0,0,0,0,0,0,0,0
17491,-0.12,-13,3030,0,0,0,0,0,0,0,0,0
17527,-0.18,0,3023,0,0,0,0,0,0,0,0,0
17563,-0.20,12,3042,0,0,0,0,0,0,0,0,0
17599,0.04,36,3280,0,0,0,0,0,0,0,0,0
17635,3.21,103,3489,0,0,0,0,0,0,0,0,0
17671,2.80,199,3351,0,0,0,0,0,0,0,0,0
17707,4.13,258,3136,0,0,0,0,0,0,0,0,0
17743,4.26,236,3022,0,0,0,0,0,0,0,0,0
17779,10.12,157,3018,0,0,0,0,0,0,0,0,0
17815,10.79,68,3024,0,0,0,0,0,0,0,0,0
17851,9.90,0,3014,0,0,0,0,0,0,0,0,0
17887,10.04,-41,3026,0,0,0,0,0,0,0,0,0
17923,11.66,-56,3055,0,0,0,0,0,0,0,0,0
17959,13.62,-51,3056,0,0,0,0,0,0,0,0,0
