Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.28,191,2966,0,0,0,0,0,0,0,0,0
14863,-0.21,789,3035,0,0,0,0,0,0,0,0,0
14899,-0.19,1564,3047,0,0,0,0,0,0,0,0,0
14935,-0.20,2165,2995,0,0,0,0,0,0,0,0,0
14971,-0.23,2480,2958,0,0,0,0,0,0,0,0,0
15007,-0.20,2543,2943,0,0,0,0,0,0,0,0,0
15043,-0.15,2447,2990,0,0,0,0,0,0,0,0,0
15079,-0.26,2285,3031,0,0,0,0,0,0,0,0,0
15115,-0.17,2116,3071,0,0,0,0,0,0,0,0,0
15151,-0.18,1964,3015,0,0,0,0,0,0,0,0,0
15187,-0.21,1818,2910,0,0,0,0,0,0,0,0,0
15223,-0.14,1664,2832,0,0,0,0,0,0,0,0,0
15259,-0.28,1508,2834,0,0,0,0,0,0,0,0,0
15295,-0.22,1373,2922,0,0,0,0,0,0,0,0,0
15331,-0.24,1286,3122,0,0,0,0,0,0,0,0,0
15367,-0.26,1260,3216,0,0,0,0,0,0,0,0,0
15403,-0.20,1268,3184,0,0,0,0,0,0,0,0,0
15439,-0.22,1261,3086,0,0,0,0,0,0,0,0,0
15475,-0.18,1216,3070,0,0,0,0,0,0,0,0,0
15511,-0.22,1142,3098,0,0,0,0,0,0,0,0,0
15547,-0.20,1065,3131,0,0,0,0,0,0,0,0,0
15583,-0.21,998,3175,0,0,0,0,0,0,0,0,0
15619,-0.23,945,3152,0,0,0,0,0,0,0,0,0
15655,-0.30,893,3093,0,0,0,0,0,0,0,0,0
15691,-0.21,829,3046,0,0,0,0,0,0,0,0,0
15727,-0.18,755,3030,0,0,0,0,0,0,0,0,0
15763,-0.21,682,3059,0,0,0,0,0,0,0,0,0
15799,-0.17,621,3046,0,0,0,0,0,0,0,0,0
15835,-0.21,573,3053,0,0,0,0,0,0,0,0,0
15871,-0.17,533,3033,0,0,0,0,0,0,0,0,0
15907,-0.18,500,3083,0,0,0,0,0,0,0,0,0
15943,-0.12,483,3171,0,0,0,0,0,0,0,0,0
15979,-0.22,489,3256,0,0,0,0,0,0,0,0,0
16015,-0.21,512,3275,0,0,0,0,0,0,0,0,0
16051,-0.14,531,3200,0,0,0,0,0,0,0,0,0
16087,-0.17,519,3120,0,0,0,0,0,0,0,0,0
16123,-0.20,474,3104,0,0,0,0,0,0,0,0,0
16159,-0.24,409,3051,0,0,0,0,0,0,0,0,0
16195,-0.16,343,3066,0,0,0,0,0,0,0,0,0
16231,-0.22,288,3067,0,0,0,0,0,0,0,0,0
16267,-0.22,252,3089,0,0,0,0,0,0,0,0,0
16303,-0.21,232,3090,0,0,0,0,0,0,0,0,0
16339,-0.18,218,3033,0,0,0,0,0,0,0,0,0
16375,-0.15,195,2955,0,0,0,0,0,0,0,0,0
16411,-0.22,152,2863,0,0,0,0,0,0,0,0,0
16447,-0.18,87,2768,0,0,0,0,0,0,0,0,0
16483,-0.15,7,2681,0,0,0,0,0,0,0,0,0
16519,-0.23,-76,2626,0,0,0,0,0,0,0,0,0
16555,-0.10,-146,2683,0,0,0,0,0,0,0,0,0
16591,-0.13,-173,2836,0,0,0,0,0,0,0,0,0
16627,-0.20,-134,3067,0,0,0,0,0,0,0,0,0
16663,-0.26,-30,3193,0,0,0,0,0,0,0,0,0
16699,-0.16,102,3214,0,0,0,0,0,0,0,0,0
16735,-0.16,211,3110,0,0,0,0,0,0,0,0,0
16771,-0.27,256,3027,0,0,0,0,0,0,0,0,0
16807,-0.20,243,3027,0,0,0,0,0,0,0,0,0
16843,-0.18,203,3055,0,0,0,0,0,0,0,0,0
16879,-0.21,166,3071,0,0,0,0,0,0,0,0,0
16915,-0.17,148,3163,0,0,0,0,0,0,0,0,0
16951,-0.15,158,3238,0,0,0,0,0,0,0,0,0
16987,-0.17,191,3277,0,0,0,0,0,0,0,0,0
17023,-0.15,228,3232,0,0,0,0,0,0,0,0,0
17059,-0.21,238,3083,0,0,0,0,0,0,0,0,0
17095,-0.28,202,3011,0,0,0,0,0,0,0,0,0
17131,-0.24,135,2972,0,0,0,0,0,0,0,0,0
17167,-0.25,68,3018,0,0,0,0,0,0,0,0,0
17203,-0.23,21,3003,0,0,0,0,0,0,0,0,0
17239,-0.20,-4,2977,0,0,0,0,0,0,0,0,0
17275,-0.24,-25,2882,0,0,0,0,0,0,0,0,0
17311,-0.25,-53,2880,0,0,0,0,0,0,0,0,0
17347,-0.25,-74,2982,0,0,0,0,0,0,0,0,0
17383,-0.22,-66,3071,0,0,0,0,0,0,0,0,0
17419,-0.12,-34,3006,0,0,0,0,0,0,0,0,0
17455,-0.25,-13,2871,0,0,0,0,0,0,0,0,0
17491,-0.16,-26,2838,0,0,0,0,0,0,0,0,0
17527,-0.25,-62,2811,0,0,0,0,0,0,0,0,0
17563,-0.20,-97,2892,0,0,0,0,0,0,0,0,0
17599,-0.22,-101,3040,0,0,0,0,0,0,0,0,0
17635,-0.26,-58,3152,0,0,0,0,0,0,0,0,0
17671,-0.26,17,3199,0,0,0,0,0,0,0,0,0
17707,-0.23,91,3114,0,0,0,0,0,0,0,0,0
17743,-0.28,128,3011,0,0,0,0,0,0,0,0,0
17779,-0.26,102,2758,0,0,0,0,0,0,0,0,0
17815,-0.22,5,2550,0,0,0,0,0,0,0,0,0
17851,-0.14,-130,2625,0,0,0,0,0,0,0,0,0
17887,-0.21,-230,2845,0,0,0,0,0,0,0,0,0
17923,-0.18,-239,3025,0,0,0,0,0,0,0,0,0
17959,-0.20,-156,3184,0,0,0,0,0,0,0,0,0
17995,-0.15,-22,3261,0,0,0,0,0,0,0,0,0
18031,-0.20,115,3286,0,0,0,0,0,0,0,0,0
18067,-0.22,218,3251,0,0,0,0,0,0,0,0,0
18103,-0.26,273,3275,0,0,0,0,0,0,0,0,0
18139,-0.18,291,3280,0,0,0,0,0,0,0,0,0
18175,-0.20,282,3206,0,0,0,0,0,0,0,0,0
18211,-0.24,255,3258,0,0,0,0,0,0,0,0,0
18247,-0.22,227,3277,0,0,0,0,0,0,0,0,0
18283,-0.16,204,3186,0,0,0,0,0,0,0,0,0
18319,-0.23,173,3161,0,0,0,0,0,0,0,0,0
18355,-0.20,131,3090,0,0,0,0,0,0,0,0,0
18391,-0.27,81,3038,0,0,0,0,0,0,0,0,0
18427,-0.23,34,3116,0,0,0,0,0,0,0,0,0
18463,-0.13,13,3184,0,0,0,0,0,0,0,0,0
18499,-0.29,25,3245,0,0,0,0,0,0,0,0,0
18535,-0.23,60,3260,0,0,0,0,0,0,0,0,0
18571,-0.19,93,3184,0,0,0,0,0,0,0,0,0
18607,-0.23,101,3100,0,0,0,0,0,0,0,0,0
18643,-0.27,82,3136,0,0,0,0,0,0,0,0,0
18679,-0.21,64,3281,0,0,0,0,0,0,0,0,0
18715,-0.28,75,3328,0,0,0,0,0,0,0,0,0
18751,-0.18,104,3268,0,0,0,0,0,0,0,0,0
18787,-0.19,122,3210,0,0,0,0,0,0,0,0,0
18823,-0.25,122,3278,0,0,0,0,0,0,0,0,0
18859,-0.13,126,3418,0,0,0,0,0,0,0,0,0
18895,-0.23,156,3475,0,0,0,0,0,0,0,0,0
18931,-0.26,198,3446,0,0,0,0,0,0,0,0,0
18967,-0.20,221,3315,0,0,0,0,0,0,0,0,0
19003,-0.21,205,3277,0,0,0,0,0,0,0,0,0
19039,-0.22,162,3250,0,0,0,0,0,0,0,0,0
