Time,Pressure,PPGSignal,rawPPGSignal,BL_W60_T2.50_D5_C2,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2
14828,-0.20,210,3242,0,0,0,0,0,0,0,0,0
14863,-0.24,862,3271,0,0,0,0,0,0,0,0,0
14899,-0.22,1694,3152,0,0,0,0,0,0,0,0,0
14935,-0.24,2306,3027,0,0,0,0,0,0,0,0,0
14971,-0.26,2592,2990,0,0,0,0,0,0,0,0,0
15007,-0.23,2612,2983,0,0,0,0,0,0,0,0,0
15043,-0.29,2477,2989,0,0,0,0,0,0,0,0,0
15079,-0.19,2282,2995,0,0,0,0,0,0,0,0,0
15115,-0.21,2083,3007,0,0,0,0,0,0,0,0,0
15151,-0.22,1908,2992,0,0,0,0,0,0,0,0,0
15187,-0.17,1760,2982,0,0,0,0,0,0,0,0,0
15223,-0.14,1633,2975,0,0,0,0,0,0,0,0,0
15259,-0.23,1522,2974,0,0,0,0,0,0,0,0,0
15295,-0.23,1424,2965,0,0,0,0,0,0,0,0,0
15331,-0.16,1334,2975,0,0,0,0,0,0,0,0,0
15367,-0.25,1254,2983,0,0,0,0,0,0,0,0,0
15403,-0.19,1182,2987,0,0,0,0,0,0,0,0,0
15439,-0.13,1115,2991,0,0,0,0,0,0,0,0,0
15475,-0.30,1053,2997,0,0,0,0,0,0,0,0,0
15511,-0.16,1003,3117,0,0,0,0,0,0,0,0,0
15547,-0.16,983,3291,0,0,0,0,0,0,0,0,0
15583,-0.08,995,3305,0,0,0,0,0,0,0,0,0
15619,-0.23,1005,3179,0,0,0,0,0,0,0,0,0
15655,-0.23,971,3051,0,0,0,0,0,0,0,0,0
15691,-0.20,885,3001,0,0,0,0,0,0,0,0,0
15727,-0.16,773,2992,0,0,0,0,0,0,0,0,0
15763,-0.20,667,2992,0,0,0,0,0,0,0,0,0
15799,-0.22,581,2996,0,0,0,0,0,0,0,0,0
15835,-0.05,520,2997,0,0,0,0,0,0,0,0,0
15871,-0.20,479,2997,0,0,0,0,0,0,0,0,0
15907,-0.26,449,2991,0,0,0,0,0,0,0,0,0
15943,-0.21,422,2974,0,0,0,0,0,0,0,0,0
15979,-0.23,395,2971,0,0,0,0,0,0,0,0,0
16015,-0.16,368,2975,0,0,0,0,0,0,0,0,0
16051,-0.23,342,2979,0,0,0,0,0,0,0,0,0
16087,-0.23,320,2986,0,0,0,0,0,0,0,0,0
16123,-0.14,303,2991,0,0,0,0,0,0,0,0,0
16159,-0.21,288,2987,0,0,0,0,0,0,0,0,0
16195,-0.17,274,2990,0,0,0,0,0,0,0,0,0
16231,-0.13,261,3003,0,0,0,0,0,0,0,0,0
16267,-0.21,259,3146,0,0,0,0,0,0,0,0,0
16303,-0.19,291,3351,0,0,0,0,0,0,0,0,0
16339,-0.14,360,3375,0,0,0,0,0,0,0,0,0
16375,-0.19,425,3212,0,0,0,0,0,0,0,0,0
16411,-0.06,432,3088,0,0,0,0,0,0,0,0,0
16447,-0.18,378,3039,0,0,0,0,0,0,0,0,0
16483,-0.19,294,3029,0,0,0,0,0,0,0,0,0
