Timestamp,PPG,Pressure,Systolic
1762819479.7302861,1955.0,0.09,0.0
1762819479.780158,1946.0,-0.0,0.0
1762819479.8298721,1832.0,-0.01,0.0
1762819479.880637,1721.0,0.03,0.0
1762819479.9302201,1688.0,-0.1,0.0
1762819480.0290911,1721.0,-0.04,0.0
1762819480.0789309,1755.0,0.01,0.0
1762819480.129952,1751.0,-0.04,0.0
1762819480.1796968,1745.0,0.09,0.0
1762819480.2294242,1982.0,-0.02,0.0
1762819480.279325,2305.0,0.01,0.0
1762819480.3293052,2416.0,0.0,0.0
1762819480.4288251,2213.0,0.01,0.0
1762819480.478949,1963.0,-0.05,0.0
1762819480.529241,1941.0,-0.03,0.0
1762819480.57878,1965.0,0.05,0.0
1762819480.6283221,1907.0,0.05,0.0
1762819480.679316,1786.0,-0.05,0.0
1762819480.7292109,1698.0,0.01,0.0
1762819480.8292649,1688.0,-0.06,0.0
1762819480.879183,1722.0,-0.01,0.0
1762819480.929224,1741.0,-0.04,0.0
1762819480.9790301,1717.0,-0.0,0.0
1762819481.029127,1770.0,-0.03,0.0
1762819481.07973,2077.0,-0.02,0.0
1762819481.1292522,2339.0,-0.05,0.0
1762819481.178792,2338.0,-0.02,0.0
1762819481.279304,2062.0,-0.06,0.0
1762819481.329046,1906.0,-0.03,0.0
1762819481.3790321,1963.0,-0.0,0.0
1762819481.429452,1983.0,-0.0,0.0
1762819481.479689,1892.0,0.03,0.0
1762819481.529803,1761.0,-0.01,0.0
1762819481.579359,1714.0,0.01,0.0
1762819481.6802518,1740.0,0.04,0.0
1762819481.7291598,1767.0,0.0,0.0
1762819481.779093,1755.0,-0.03,0.0
1762819481.829097,1914.0,-0.03,0.0
1762819481.879086,2201.0,0.01,0.0
1762819481.9290712,2324.0,0.0,0.0
1762819481.979828,2172.0,0.02,0.0
1762819482.07956,1930.0,-0.02,0.0
1762819482.1297011,1915.0,0.03,0.0
1762819482.179859,1970.0,-0.0,0.0
1762819482.229755,1918.0,-0.06,0.0
1762819482.2801259,1803.0,-0.06,0.0
