Timestamp,PPG,Pressure,Systolic
1762819969.824513,1689.0,0.02,0.0
1762819969.8744981,1718.0,-0.06,0.0
1762819969.924625,1718.0,-0.06,0.0
1762819970.024437,1726.0,-0.02,0.0
1762819970.074508,2030.0,0.09,0.0
1762819970.1245492,2447.0,-0.01,0.0
1762819970.174848,2611.0,0.02,0.0
1762819970.2245388,2366.0,-0.02,0.0
1762819970.2742898,2058.0,0.03,0.0
1762819970.324264,2036.0,0.04,0.0
1762819970.374322,2101.0,0.07,0.0
1762819970.474305,2028.0,-0.01,0.0
1762819970.5244439,1852.0,-0.04,0.0
1762819970.5745,1718.0,-0.06,0.0
1762819970.624705,1711.0,0.07,0.0
1762819970.6748211,1753.0,-0.01,0.0
1762819970.724824,1764.0,0.07,0.0
1762819970.77477,1735.0,-0.0,0.0
1762819970.8748329,1942.0,0.11,0.0
1762819970.925161,2430.0,0.01,0.0
1762819970.974987,2702.0,-0.01,0.0
1762819971.025113,2548.0,0.1,0.0
1762819971.0753841,2131.0,0.03,0.0
1762819971.1253219,2020.0,0.03,0.0
1762819971.175354,2095.0,0.07,0.0
1762819971.2754922,2078.0,-0.03,0.0
1762819971.32495,1911.0,0.12,0.0
1762819971.375467,1748.0,0.08,0.0
1762819971.424813,1707.0,0.11,0.0
1762819971.4753358,1749.0,0.01,0.0
1762819971.5256882,1769.0,0.06,0.0
1762819971.5755148,1750.0,0.02,0.0
1762819971.674796,1959.0,0.03,0.0
1762819971.724501,2473.0,0.03,0.0
1762819971.774453,2756.0,0.05,0.0
1762819971.824615,2568.0,0.06,0.0
1762819971.874665,2094.0,0.09,0.0
1762819971.92477,1988.0,0.05,0.0
1762819971.9744,2126.0,0.07,0.0
1762819972.074972,2136.0,0.09,0.0
1762819972.125331,1950.0,0.1,0.0
1762819972.174985,1758.0,0.08,0.0
1762819972.2255082,1712.0,0.05,0.0
1762819972.2749162,1749.0,-0.03,0.0
1762819972.325498,1761.0,-0.05,0.0
1762819972.374908,1882.0,0.01,0.0
1762819972.475428,2394.0,0.03,0.0
1762819972.525543,2812.0,-0.01,0.0
1762819972.5750458,2774.0,-0.0,0.0
1762819972.6249301,2280.0,0.02,0.0
1762819972.675488,2022.0,-0.03,0.0
1762819972.7255528,2151.0,0.03,0.0
1762819972.775414,2242.0,0.02,0.0
1762819972.874902,2082.0,0.04,0.0
1762819972.925086,1831.0,0.02,0.0
1762819972.975057,1717.0,0.01,0.0
1762819973.025101,1755.0,-0.01,0.0
1762819973.0749052,1813.0,0.02,0.0
1762819973.125149,1792.0,0.09,0.0
1762819973.1755369,1914.0,0.03,0.0
1762819973.224962,2562.0,0.03,0.0
1762819973.325483,3064.0,0.08,0.0
1762819973.37536,3052.0,0.07,0.0
1762819973.424983,2464.0,0.07,0.0
1762819973.475025,2115.0,0.05,0.0
1762819973.5247831,2157.0,0.03,0.0
1762819973.574917,2167.0,0.01,0.0
1762819973.6255329,1999.0,0.02,0.0
1762819973.7255838,1765.0,0.02,0.0
1762819973.774962,1663.0,-0.01,0.0
1762819973.825547,1710.0,0.1,0.0
1762819973.874932,1768.0,0.14,0.0
1762819973.924858,1773.0,0.07,0.0
1762819973.974816,2117.0,0.02,0.0
1762819974.025069,2767.0,0.07,0.0
