Time,Pressure,PPGSignal,rawPPGSignal
14352,0.01,633,-359,1
14379,-0.22,506,-540,1
14406,-0.17,537,-741,1
14433,-0.14,653,-865,1
14460,-0.18,784,-875,1
14487,-0.13,938,-778,1
14514,-0.19,1584,-575,1
14541,-0.14,3344,-165,1
14568,-0.13,4095,527,1
14595,-0.09,4095,1323,1
14622,-0.17,4095,1941,1
14649,-0.15,4095,2262,1
14676,-0.17,4095,2320,1
14703,-0.16,2929,2128,1
14730,-0.17,1243,1582,1
14757,-0.14,266,665,1
14784,-0.21,172,-381,1
14811,-0.13,673,-1205,1
14838,-0.13,1345,-1572,1
14865,-0.15,1795,-1475,1
14892,-0.21,1859,-1092,1
14919,-0.19,1584,-672,1
14946,-0.17,1149,-406,1
14973,-0.17,792,-365,1
15000,-0.18,617,-497,1
15027,-0.13,622,-688,1
15054,-0.18,723,-831,1
15081,-0.17,840,-869,1
15108,-0.16,957,-802,1
15135,-0.11,1373,-642,1
15162,-0.20,2885,-315,1
15189,-0.14,4095,290,1
15216,-0.18,4095,1071,1
15243,-0.16,4095,1740,1
15270,-0.19,4095,2128,1
15297,-0.09,4095,2241,1
15324,-0.13,4095,2161,1
15351,-0.13,3018,1905,1
15378,-0.20,1418,1363,1
15405,-0.16,578,503,1
15432,-0.16,594,-449,1
15459,-0.14,1111,-1169,1
15486,-0.19,1651,-1462,1
15513,-0.18,1872,-1359,1
15540,-0.19,1727,-1055,1
15567,-0.09,1351,-772,1
15594,-0.20,963,-648,1
15621,-0.18,703,-697,1
15648,-0.19,619,-846,1
15675,-0.13,702,-989,1
15702,-0.19,851,-1048,1
15729,-0.07,1013,-994,1
15756,-0.15,1145,-848,1
15783,-0.16,1247,-652,1
15810,-0.12,1891,-412,1
15837,-0.12,4095,20,1
15864,-0.07,4095,726,1
15891,-0.07,4095,1453,1
15918,-0.12,4095,1940,1
15945,-0.11,4095,2144,1
15972,-0.23,4095,2127,1
15999,-0.20,4095,1978,1
16026,-0.17,4095,1769,1
16053,-0.12,2627,1455,1
16080,-0.12,1461,885,1
16107,-0.05,1135,92,1
16134,-0.13,1374,-661,1
16161,-0.09,1727,-1136,1
16188,-0.08,1842,-1275,1
16215,-0.08,1677,-1195,1
16242,-0.15,1355,-1067,1
16269,-0.12,1042,-1010,1
16296,-0.13,848,-1050,1
16323,-0.07,803,-1139,1
16350,-0.08,895,-1207,1
16377,-0.11,998,-1201,1
16404,-0.10,1066,-1116,1
16431,-0.09,1235,-970,1
16458,-0.11,2320,-720,1
16485,-0.02,4095,-220,1
16512,-0.10,4095,534,1
16539,-0.09,4095,1265,1
16566,-0.10,4095,1741,1
16593,-0.01,4095,1938,1
16620,-0.07,4095,1922,1
16647,0.02,4095,1781,1
16674,-0.05,2187,1464,1
16701,-0.08,927,805,1
16728,-0.09,592,-120,1
16755,-0.00,939,-975,1
16782,-0.06,1515,-1471,1
16809,0.04,1893,-1530,1
16836,-0.12,1899,-1287,1
16863,-0.08,1638,-965,1
16890,-0.08,1294,-741,1
16917,-0.05,1010,-685,1
16944,-0.18,864,-759,1
16971,-0.12,816,-881,1
16998,-0.10,834,-975,1
17025,-0.11,974,-994,1
17052,-0.09,1731,-884,1
17079,0.01,3760,-492,1
17106,-0.09,4095,239,1
17133,-0.11,4095,1053,1
17160,-0.07,4095,1656,1
17187,-0.06,4095,1962,1
17214,-0.05,4095,2018,1
17241,0.01,4095,1913,1
17268,-0.13,1951,1590,1
17295,-0.10,796,886,1
17322,-0.07,550,-81,1
17349,-0.12,960,-942,1
17376,-0.13,1574,-1411,1
17403,-0.13,1934,-1432,1
17430,-0.08,1915,-1161,1
17457,-0.14,1627,-831,1
17484,-0.11,1244,-620,1
17511,-0.06,925,-590,1
17538,-0.08,759,-698,1
17565,-0.06,717,-851,1
17592,-0.11,759,-966,1
17619,-0.07,1154,-976,1
17646,-0.11,2595,-767,1
17673,-0.07,4095,-205,1
17700,-0.14,4095,619,1
17727,-0.06,4095,1383,1
17754,-0.08,4095,1867,1
17781,-0.15,4095,2058,1
17808,-0.11,4095,2031,1
17835,-0.07,3193,1821,1
17862,-0.08,1467,1327,1
17889,-0.09,511,494,1
17916,-0.07,441,-475,1
17943,-0.06,931,-1239,1
17970,-0.10,1513,-1574,1
17997,-0.05,1813,-1486,1
18024,-0.11,1776,-1156,1
18051,0.02,1535,-806,1
18078,-0.15,1251,-584,1
18105,0.03,1008,-530,1
18132,-0.12,847,-600,1
18159,-0.04,746,-722,1
18186,-0.12,883,-820,1
18213,-0.12,2017,-771,1
18240,-0.11,4095,-367,1
18267,-0.06,4095,405,1
18294,-0.07,4095,1215,1
18321,-0.10,4095,1772,1
18348,-0.11,4095,2026,1
18375,-0.09,4095,2042,1
18402,-0.08,4095,1911,1
18429,-0.07,2026,1580,1
18456,-0.08,789,881,1
18483,-0.11,384,-94,1
18510,-0.12,603,-1005,1
18537,-0.14,1040,-1571,1
18564,-0.06,1344,-1713,1
18591,-0.16,1396,-1542,1
18618,-0.17,1264,-1250,1
18645,-0.06,1037,-997,1
18672,-0.08,821,-861,1
18699,-0.04,673,-837,1
18726,-0.04,591,-877,1
18753,-0.06,593,-924,1
18780,-0.10,1065,-905,1
18807,-0.08,2608,-678,1
18834,-0.09,4095,-91,1
18861,-0.09,4095,756,1
18888,-0.08,4095,1532,1
18915,-0.00,4095,2018,1
18942,-0.03,4095,2203,1
18969,-0.07,4095,2167,1
18996,0.33,2768,1917,1
19023,1.94,1263,1344,1
19050,0.95,460,449,1
19077,0.29,415,-518,1
19104,3.07,801,-1250,1
19131,0.52,1235,-1572,1
19158,1.49,1430,-1513,1
19185,3.41,1366,-1245,1
19212,2.71,1127,-959,1
19239,1.67,859,-779,1
19266,4.50,679,-734,1
19293,4.33,593,-777,1
19320,2.88,601,-839,1
19347,1.92,661,-867,1
19374,1.51,1040,-814,1
19401,1.83,2407,-578,1
19428,1.96,4095,-11,1
19455,1.71,4095,823,1
19482,2.21,4095,1605,1
19509,2.46,4095,2099,1
19536,2.86,4095,2290,1
19563,3.23,4095,2253,1
19590,3.91,2787,2001,1
19617,5.01,1323,1425,1
19644,5.19,572,538,1
19671,6.23,550,-413,1
19698,6.77,931,-1127,1
19725,6.60,1342,-1441,1
19752,6.52,1514,-1389,1
19779,6.00,1423,-1141,1
19806,5.37,1173,-882,1
19833,4.51,876,-732,1
19860,3.86,655,-718,1
19887,3.88,582,-793,1
19914,4.34,623,-877,1
19941,5.44,695,-910,1
19968,6.33,768,-870,1
19995,7.32,847,-769,1
20022,7.68,1386,-601,1
20049,8.15,3035,-255,1
20076,7.81,4095,384,1
20103,7.22,4095,1183,1
20130,6.45,4095,1849,1
20157,5.53,4095,2225,1
20184,4.94,4095,2327,1
20211,5.06,4095,2237,1
20238,5.62,3662,2016,1
20265,6.58,1877,1585,1
20292,7.59,895,837,1
20319,7.96,687,-88,1
20346,8.83,902,-888,1
20373,9.35,1231,-1351,1
20400,9.09,1399,-1454,1
20427,8.99,1333,-1322,1
20454,8.43,1109,-1122,1
20481,7.88,853,-981,1
20508,6.95,658,-941,1
20535,6.33,570,-975,1
20562,6.24,592,-1025,1
20589,6.72,646,-1039,1
20616,7.49,773,-988,1
20643,8.42,910,-871,1
20670,9.37,1007,-706,1
20697,9.98,1043,-525,1
20724,10.51,1207,-350,1
20751,10.54,2313,-120,1
20778,10.01,4095,340,1
20805,9.61,4095,1051,1
20832,8.75,4095,1738,1
20859,8.12,4095,2173,1
20886,7.20,4095,2333,1
20913,7.53,4095,2284,1
20940,7.79,4095,2113,1
20967,8.49,4095,1890,1
20994,9.25,2367,1550,1
21021,10.16,1315,930,1
21048,10.83,1008,90,1
21075,11.23,1137,-692,1
21102,11.79,1344,-1202,1
21129,11.94,1413,-1395,1
21156,11.47,1311,-1367,1
21183,11.22,1086,-1260,1
21210,10.50,855,-1180,1
21237,9.87,705,-1161,1
21264,9.11,659,-1181,1
21291,8.74,683,-1195,1
21318,8.63,764,-1168,1
21345,9.03,880,-1083,1
21372,9.51,973,-946,1
21399,10.25,1040,-779,1
21426,11.22,1076,-610,1
21453,11.40,1094,-460,1
21480,12.15,1099,-339,1
21507,12.77,1082,-249,1
21534,12.75,1060,-188,1
21561,13.14,1001,-153,1
21588,12.95,1205,-123,1
21615,12.52,2589,19,1
21642,12.08,4095,458,1
21669,11.23,4095,1157,1
21696,10.59,4095,1819,1
21723,9.70,4095,2230,1
21750,9.97,4095,2371,1
21777,10.18,4095,2311,1
21804,10.76,4095,2133,1
21831,11.63,4095,1907,1
21858,12.30,2512,1574,1
21885,13.08,1611,992,1
21912,13.32,1396,223,1
21939,14.15,1520,-480,1
21966,14.28,1647,-936,1
21993,14.02,1600,-1128,1
22020,14.00,1393,-1154,1
22047,13.59,1151,-1134,1
22074,13.15,949,-1138,1
22101,12.57,821,-1176,1
22128,11.88,784,-1222,1
22155,11.36,842,-1239,1
22182,10.78,944,-1198,1
22209,11.48,1073,-1092,1
22236,11.55,1175,-936,1
22263,12.14,1225,-757,1
22290,12.74,1263,-585,1
22317,13.56,1725,-410,1
22344,14.27,3295,-108,1
22371,14.44,4095,443,1
22398,15.14,4095,1122,1
22425,15.72,4095,1674,1
22452,15.65,4095,1974,1
22479,16.10,4095,2041,1
22506,16.07,4095,1949,1
22533,15.58,4095,1772,1
22560,15.49,2199,1444,1
22587,15.02,1133,801,1
22614,14.45,871,-73,1
22641,13.75,1152,-866,1
22668,13.23,1535,-1333,1
22695,12.99,1738,-1431,1
22722,13.10,1648,-1286,1
22749,13.72,1346,-1084,1
22776,14.29,1015,-961,1
22803,15.39,757,-963,1
22830,15.60,635,-1052,1
22857,16.53,652,-1152,1
