Time,Pressure,PPGSignal,rawPPGSignal
29869,147.23,-7,1826
29876,147.32,-10,1825
29883,147.20,-13,1819
29890,147.18,-16,1814
29897,147.14,-17,1813
29904,147.26,-16,1823
29911,147.15,-13,1813
29918,147.32,-12,1813
29924,147.22,-11,1827
29931,147.14,-9,1819
29938,147.16,-7,1839
29945,147.22,-3,1840
29952,147.15,1,1841
29959,147.05,6,1845
29966,147.13,9,1840
29973,147.13,11,1842
29980,147.09,10,1847
29987,147.08,10,1847
29994,147.05,10,1855
30000,147.10,9,1841
30007,147.10,9,1849
30014,147.20,7,1840
30021,147.11,6,1856
30028,147.09,5,1851
30035,147.04,5,1851
30042,147.03,5,1858
30049,147.10,6,1847
30055,147.02,7,1855
30062,147.04,9,1856
30069,147.03,9,1844
30076,146.99,7,1845
30083,146.92,3,1837
30090,146.96,0,1840
30097,146.97,-3,1831
30104,146.96,-7,1835
30111,146.91,-11,1828
30118,146.89,-14,1819
30124,146.84,-17,1838
30131,146.87,-17,1817
30138,146.82,-16,1835
30145,146.82,-15,1827
30152,146.82,-12,1831
30159,146.81,-8,1840
30166,146.82,-3,1838
30173,146.82,0,1840
30180,146.94,1,1840
30187,146.88,2,1840
30194,147.02,2,1840
30201,146.95,3,1840
30207,147.06,5,1855
30214,147.08,6,1839
30221,147.07,6,1856
30228,147.14,7,1851
30235,147.24,8,1851
30242,147.25,9,1872
30249,147.21,11,1861
30256,147.21,14,1874
30263,147.23,17,1872
30269,147.21,19,1872
30276,147.07,20,1878
30283,147.02,20,1879
30290,146.98,21,1893
30297,146.92,23,1887
30304,146.83,23,1889
30311,146.81,22,1887
30318,146.81,19,1884
30324,146.80,15,1895
30331,146.80,11,1877
30338,146.74,8,1894
30345,146.71,6,1874
30352,146.72,2,1866
30359,146.71,-3,1861
30366,146.66,-10,1845
30373,146.62,-18,1841
30380,146.55,-24,1831
30387,146.64,-31,1825
30394,146.66,-37,1815
30400,146.69,-44,1799
30407,146.53,-49,1808
30414,146.58,-54,1778
30421,146.54,-57,1796
30428,146.54,-58,1791
30435,146.54,-57,1787
30442,146.51,-54,1794
30449,146.68,-50,1792
30456,146.66,-46,1783
30463,146.58,-41,1793
30470,146.67,-35,1799
30477,146.57,-27,1805
30484,146.64,-19,1808
30491,146.62,-11,1815
30498,146.55,-4,1806
30504,146.57,0,1824
30511,146.54,5,1823
30518,146.56,10,1815
30525,146.60,13,1828
30532,146.52,16,1815
30539,146.58,17,1833
30546,146.52,19,1829
30553,146.55,20,1827
30560,146.56,22,1856
30566,146.49,26,1855
30573,146.41,32,1877
30580,146.44,41,1885
30587,146.38,52,1903
30594,146.40,62,1906
30601,146.40,70,1914
30608,146.35,74,1930
30615,146.48,75,1925
30622,146.36,75,1940
30628,146.35,73,1936
30635,146.38,70,1927
30642,146.28,63,1920
30649,146.28,54,1905
30656,146.19,41,1902
30663,146.22,28,1898
30670,146.27,16,1887
30677,146.13,5,1887
30684,146.18,-5,1874
30691,146.18,-16,1879
30697,146.13,-23,1873
30704,146.17,-25,1891
30711,146.18,-23,1883
30718,146.22,-19,1885
30725,146.22,-15,1889
30732,146.11,-12,1879
30739,146.08,-12,1887
30746,146.06,-15,1871
30753,146.05,-19,1863
30760,146.18,-25,1861
30767,146.09,-32,1845
30774,146.06,-38,1840
30781,146.09,-42,1833
30788,146.11,-45,1839
30794,146.20,-47,1831
30801,146.12,-47,1827
30808,146.06,-45,1839
30815,145.98,-40,1835
30822,146.03,-35,1855
30829,146.03,-28,1848
30836,145.97,-22,1851
30843,146.00,-16,1861
30850,145.91,-11,1857
30857,145.90,-6,1869
30864,145.92,-1,1867
30871,145.88,2,1874
30878,145.90,5,1873
30885,145.83,8,1872
30891,145.94,9,1879
30898,145.85,10,1872
30905,145.91,10,1878
30912,145.94,9,1872
30919,145.89,9,1872
30926,145.92,8,1878
30933,145.85,8,1870
30940,145.92,6,1875
30947,145.84,6,1874
30953,145.81,5,1878
30960,145.81,5,1875
30967,145.77,6,1872
30974,145.88,6,1878
30981,145.78,6,1871
30988,145.93,5,1883
30995,145.79,6,1872
31002,145.90,5,1869
31009,145.90,2,1877
31015,145.82,0,1869
31022,145.85,-2,1882
31029,145.77,-2,1870
31036,145.78,-1,1865
31043,145.83,-2,1867
31050,145.92,-4,1863
31057,145.95,-6,1865
31064,146.06,-7,1861
31071,146.08,-6,1871
31078,146.12,-5,1858
31085,146.21,-6,1856
31092,146.18,-7,1865
31098,146.20,-8,1855
31105,146.18,-8,1863
31112,146.21,-7,1857
31119,146.17,-6,1858
31126,146.07,-7,1854
31133,146.12,-6,1856
31140,146.03,-6,1867
31147,146.17,-5,1858
31154,145.91,-2,1875
31161,145.98,1,1874
31168,145.96,6,1872
31175,145.86,10,1877
31182,145.91,13,1872
31188,145.82,14,1885
31195,145.79,15,1886
31202,145.79,15,1879
31209,145.86,14,1888
31216,145.75,12,1884
31223,145.74,10,1885
31230,145.72,9,1883
31237,145.78,9,1887
31244,145.73,9,1886
31250,145.74,10,1886
31257,145.74,11,1898
31264,145.74,10,1875
31271,145.80,9,1891
31278,145.69,8,1882
31285,145.70,6,1882
31292,145.62,5,1888
31299,145.66,3,1873
31306,145.60,0,1883
31312,145.59,-1,1872
31319,145.48,-4,1868
31326,145.57,-8,1871
31333,145.66,-10,1865
31340,145.53,-12,1866
31347,145.58,-14,1855
31354,145.56,-15,1867
31361,145.59,-16,1863
31368,145.56,-15,1859
31375,145.57,-14,1869
31382,145.57,-13,1852
31389,145.53,-11,1867
31396,145.59,-9,1855
31403,145.43,-8,1855
31410,145.52,-9,1856
31416,145.53,-11,1851
31423,145.43,-11,1865
31430,145.38,-11,1854
31437,145.43,-10,1856
31444,145.45,-10,1854
31451,145.38,-9,1845
31458,145.31,-8,1854
31465,145.39,-8,1847
31472,145.28,-8,1851
31479,145.37,-8,1853
31486,145.31,-7,1851
31493,145.23,-6,1854
31500,145.34,-4,1851
31507,145.32,-3,1855
31514,145.32,-2,1843
31520,145.32,-1,1853
31527,145.20,-1,1840
31534,145.20,-2,1845
31541,145.25,-3,1845
31548,145.19,-6,1828
31555,145.17,-9,1831
31562,145.25,-11,1831
31569,145.21,-11,1831
31576,145.24,-9,1840
31583,145.23,-7,1830
31590,145.07,-4,1845
31597,145.17,0,1842
31604,145.12,2,1845
31610,145.18,6,1849
31617,145.16,7,1840
31624,145.06,7,1844
31631,145.14,6,1831
31638,145.11,4,1840
31645,145.12,2,1836
31652,145.12,1,1829
31659,145.12,0,1840
31666,145.18,0,1837
31672,145.05,1,1836
31679,145.12,1,1839
31686,145.06,2,1838
31693,145.06,4,1840
31700,145.02,7,1845
31707,145.05,10,1855
31714,145.02,14,1857
31721,145.04,18,1870
31728,145.06,21,1866
31734,145.07,23,1864
31741,144.94,23,1866
31748,145.03,23,1859
31755,145.04,21,1856
31762,144.97,18,1855
31769,144.97,14,1848
31776,144.95,10,1850
31783,144.93,6,1840
31790,144.99,1,1830
31796,144.92,-4,1826
31803,144.89,-9,1825
31810,144.93,-13,1821
31817,144.92,-17,1815
31824,144.90,-20,1815
31831,144.86,-21,1814
31838,144.95,-21,1830
31845,144.85,-18,1823
31852,144.84,-14,1833
31859,144.92,-11,1833
31866,144.79,-7,1830
31873,144.82,-4,1830
31880,144.82,-1,1835
31887,144.79,1,1840
31893,144.83,5,1839
31900,144.83,7,1840
31907,144.92,9,1843
31914,144.88,10,1843
31921,144.86,11,1854
31928,144.95,13,1853
31935,145.07,14,1853
31942,145.10,16,1865
31949,145.09,17,1850
31955,145.25,18,1861
31962,145.14,17,1843
31969,145.27,14,1847
31976,145.30,9,1847
31983,145.17,4,1839
31990,145.33,1,1845
31997,145.21,0,1845
32004,145.12,-1,1851
32011,145.07,-1,1847
32017,145.03,0,1840
32024,145.02,0,1854
32031,144.99,3,1846
32038,144.93,5,1859
32045,144.84,7,1859
32052,144.88,9,1851
32059,144.81,10,1856
32066,144.77,8,1845
32073,144.78,5,1840
32079,144.74,0,1846
32086,144.67,-1,1843
32093,144.66,-2,1843
32100,144.56,-2,1846
32107,144.59,-3,1850
32114,144.50,-5,1841
32121,144.61,-6,1851
32128,144.54,-6,1847
32135,144.55,-5,1847
32142,144.55,-3,1855
32149,144.46,0,1850
32156,144.53,1,1866
32163,144.44,4,1855
32169,144.39,7,1855
32176,144.42,7,1863
32183,144.42,7,1856
32190,144.41,6,1866
32197,144.40,7,1869
32204,144.42,8,1872
32211,144.30,9,1870
32218,144.30,9,1862
32224,144.23,8,1877
32231,144.33,8,1871
32238,144.29,9,1879
32245,144.23,11,1875
32252,144.28,13,1873
32259,144.25,12,1883
32266,144.23,11,1873
32273,144.22,8,1870
32280,144.18,5,1873
32286,144.11,2,1873
32293,144.14,1,1872
32300,144.08,0,1866
32307,144.04,-4,1869
32314,144.04,-7,1855
32321,143.99,-11,1857
32328,143.92,-15,1851
32335,143.83,-19,1841
32342,143.75,-23,1845
32349,143.81,-26,1834
32356,143.79,-28,1842
32362,143.77,-29,1830
32369,143.77,-29,1834
32376,143.71,-29,1830
32383,143.63,-29,1824
32390,143.59,-29,1829
32397,143.63,-29,1822
32404,143.58,-27,1829
32411,143.59,-25,1824
32418,143.47,-23,1823
32425,143.50,-21,1834
32432,143.46,-17,1825
32439,143.44,-11,1841
32446,143.45,-4,1850
32453,143.40,3,1855
32459,143.40,11,1869
32466,143.33,19,1870
32473,143.31,27,1889
32480,143.38,35,1903
32487,143.24,44,1918
32494,143.24,51,1919
32501,143.26,55,1914
32508,143.17,56,1919
32515,143.12,54,1904
32521,143.15,48,1913
32528,142.99,41,1903
32535,143.05,33,1901
32542,142.95,24,1893
32549,142.93,17,1890
32556,142.87,10,1884
32563,142.83,4,1889
32570,142.76,0,1887
32577,142.80,-1,1887
32583,142.74,-3,1880
32590,142.71,-6,1882
32597,142.77,-8,1872
32604,142.70,-11,1877
32611,142.56,-13,1872
32618,142.57,-16,1865
32625,142.55,-18,1871
32632,142.62,-20,1856
32639,142.51,-24,1862
32646,142.45,-27,1841
32653,142.30,-30,1840
32660,142.31,-33,1844
32667,142.40,-34,1839
32674,142.24,-34,1837
32680,142.20,-34,1831
32687,142.20,-32,1837
32694,142.18,-30,1837
32701,142.13,-28,1829
32708,142.06,-27,1840
32715,142.05,-24,1833
32722,142.05,-22,1837
32729,142.02,-18,1833
32736,141.92,-16,1834
32743,141.88,-15,1834
32750,141.87,-15,1823
32757,141.87,-16,1825
32764,141.85,-15,1822
32770,141.73,-13,1835
32777,141.80,-9,1834
32784,141.86,-3,1839
32791,141.93,2,1855
32798,141.98,9,1846
32805,141.93,15,1872
32812,142.05,20,1867
32819,141.98,24,1863
32826,142.01,27,1871
32832,141.88,29,1872
32839,142.03,29,1863
32846,141.85,28,1872
32853,141.86,25,1871
32860,141.77,23,1871
32867,141.75,20,1855
32874,141.74,16,1871
32881,141.61,12,1865
32888,141.51,10,1870
32894,141.38,9,1863
32901,141.40,8,1857
32908,141.35,7,1871
32915,141.29,7,1855
32922,141.27,7,1863
32929,141.13,5,1855
32936,141.07,4,1858
32943,141.10,2,1856
32949,141.08,2,1855
32956,140.92,1,1866
32963,141.01,1,1859
32970,140.85,2,1863
32977,140.81,1,1861
32984,140.80,2,1857
32991,140.69,2,1871
32998,140.68,3,1867
33004,140.72,3,1881
33011,140.66,4,1874
33018,140.62,6,1875
33025,140.53,9,1886
33032,140.65,11,1872
33039,140.57,11,1881
33046,140.59,9,1869
33053,140.42,7,1865
33059,140.43,2,1867
33066,140.41,-3,1861
33073,140.40,-7,1865
33080,140.44,-8,1865
33087,140.29,-7,1872
33094,140.29,-4,1870
33101,140.33,-1,1867
33108,140.17,0,1872
33115,140.17,0,1861
33122,140.11,-2,1872
33128,140.04,-2,1866
33135,139.97,-2,1862
33142,139.98,-2,1871
33149,139.89,-3,1858
33156,139.94,-4,1867
33163,139.94,-4,1859
33170,139.80,-5,1858
33177,139.76,-6,1862
33184,139.82,-8,1855
33191,139.75,-10,1856
33198,139.65,-13,1840
33205,139.69,-15,1857
33211,139.60,-16,1850
33218,139.51,-15,1845
33225,139.48,-14,1847
33232,139.41,-13,1846
33239,139.31,-11,1843
33246,139.42,-10,1854
33253,139.39,-8,1853
33260,139.28,-5,1863
33267,139.32,-1,1857
33274,139.13,1,1869
33281,139.14,4,1869
33288,139.11,5,1871
33294,139.14,7,1872
33301,139.07,9,1871
33308,139.06,11,1877
33315,138.98,13,1867
33322,138.94,14,1873
33329,138.89,14,1869
33336,138.84,13,1868
33343,138.88,10,1871
33349,138.79,6,1859
33356,138.72,3,1865
33363,138.74,1,1872
33370,138.61,0,1870
33377,138.66,0,1866
33384,138.61,0,1859
33391,138.58,0,1864
33398,138.61,-2,1850
33404,138.49,-4,1861
33411,138.50,-6,1861
33418,138.55,-6,1850
33425,138.40,-6,1858
33432,138.33,-6,1855
33439,138.26,-6,1862
33446,138.32,-6,1860
33453,138.21,-5,1858
33460,138.31,-4,1863
33467,138.24,-2,1867
33474,138.28,0,1867
33481,138.22,1,1861
33487,138.12,4,1874
33494,138.12,5,1870
33501,138.11,6,1863
33508,137.98,6,1870
33515,137.97,6,1866
33522,137.97,4,1865
33529,137.94,2,1861
33536,137.87,0,1860
33542,137.91,-3,1855
33549,137.77,-6,1851
33556,137.75,-7,1857
33563,137.81,-7,1857
33570,137.66,-7,1857
33577,137.65,-5,1862
33584,137.73,-4,1857
33591,137.62,-4,1857
33598,137.64,-4,1843
33605,137.68,-4,1856
33612,137.65,-4,1852
33619,137.67,-4,1845
33625,137.78,-5,1850
33632,137.81,-6,1845
33639,137.85,-7,1847
33646,137.94,-6,1855
33653,137.87,-2,1869
33660,137.79,1,1866
33667,137.87,6,1871
33674,137.82,10,1874
33681,137.79,13,1871
33688,137.79,14,1885
33695,137.73,17,1888
33701,137.58,20,1888
