Time,Pressure,PPGSignal,rawPPGSignal
77058,107.64,117,1817
77066,106.24,475,1830
77073,106.83,926,1840
77080,107.54,1256,1854
77087,108.09,1413,1871
77094,108.94,1421,1872
77101,109.45,1333,1885
77107,110.06,1196,1887
77114,110.81,1047,1894
77121,111.46,905,1895
77128,111.90,777,1901
77135,112.56,660,1893
77142,113.41,556,1882
77149,113.86,461,1893
77156,114.04,374,1893
77163,114.79,293,1887
77169,114.77,219,1891
77176,114.49,150,1884
77183,114.73,86,1887
77190,114.63,28,1891
77197,114.02,-25,1891
77204,114.30,-74,1888
77211,113.98,-120,1886
77218,113.20,-161,1885
77225,112.95,-198,1892
77232,112.48,-230,1894
77239,112.16,-256,1895
77245,111.70,-279,1899
77252,111.49,-299,1905
77259,111.24,-317,1903
77266,110.54,-333,1904
77273,110.30,-347,1907
77280,111.10,-358,1909
77287,111.17,-368,1906
77294,111.92,-375,1907
77301,112.95,-380,1907
77308,113.66,-382,1911
77315,114.18,-382,1918
77322,114.87,-380,1920
77329,115.68,-377,1920
77336,116.14,-373,1925
77343,116.83,-368,1929
77349,117.54,-361,1929
77356,118.32,-354,1936
77363,118.80,-346,1936
77370,119.47,-337,1936
77377,120.20,-328,1942
77384,120.67,-318,1939
77391,120.81,-308,1951
77398,121.32,-297,1970
77405,121.23,-282,1989
77412,121.04,-262,2029
77419,121.16,-232,2081
77426,121.09,-193,2139
77433,120.55,-146,2213
77440,120.56,-93,2277
77446,120.05,-38,2341
77453,119.31,14,2397
77460,118.63,61,2448
77467,118.20,100,2485
77474,117.53,127,2515
77481,116.55,144,2539
77488,116.11,150,2559
77495,116.71,147,2559
77502,117.03,134,2551
77509,117.94,112,2537
77515,118.87,81,2511
77522,119.72,44,2478
77529,120.42,2,2451
77536,121.00,-41,2407
77543,121.82,-86,2370
77550,122.53,-131,2323
77557,123.07,-175,2288
77564,123.61,-214,2256
77571,124.48,-248,2226
77578,124.91,-274,2198
77585,124.99,-295,2174
77591,125.49,-309,2144
77598,125.23,-317,2128
77605,125.01,-321,2113
77612,125.13,-321,2104
77619,124.96,-316,2097
77626,124.12,-306,2096
77633,123.71,-291,2091
77640,122.95,-274,2085
77647,122.23,-254,2087
77654,121.76,-235,2090
77661,121.24,-215,2091
77668,120.90,-196,2091
77675,120.33,-178,2091
77682,120.29,-162,2093
