Timestamp,PPG,Pressure,Systolic
1762818439.989108,1377.0,-0.0,0.0
1762818440.038518,1369.0,0.01,0.0
1762818440.0890791,1532.0,0.05,0.0
1762818440.139013,1399.0,0.03,0.0
1762818440.188931,1134.0,0.05,0.0
1762818440.288333,1058.0,0.05,0.0
1762818440.3383198,1214.0,0.03,0.0
1762818440.388339,1813.0,0.04,0.0
1762818440.4383402,2775.0,0.02,0.0
1762818440.4884748,3125.0,0.05,0.0
1762818440.5391202,2517.0,-0.02,0.0
1762818440.5881522,1470.0,0.03,0.0
1762818440.687862,1204.0,0.01,0.0
1762818440.737855,1474.0,-0.01,0.0
1762818440.787955,1578.0,0.08,0.0
1762818440.837922,1347.0,0.06,0.0
1762818440.887872,1145.0,0.11,0.0
1762818440.938045,1146.0,0.09,0.0
1762818440.988051,1545.0,0.12,0.0
1762818441.087841,2527.0,0.02,0.0
1762818441.1378958,3331.0,0.02,0.0
1762818441.188075,3101.0,0.02,0.0
1762818441.238187,2067.0,-0.02,0.0
1762818441.28823,1442.0,0.07,0.0
1762818441.338302,1623.0,-0.03,0.0
1762818441.3883991,1788.0,0.04,0.0
1762818441.489015,1521.0,0.06,0.0
1762818441.537517,1241.0,-0.05,0.0
1762818441.588438,1229.0,0.13,0.0
1762818441.638418,1664.0,0.03,0.0
1762818441.688965,2617.0,0.1,0.0
1762818441.738414,3499.0,0.04,0.0
1762818441.78832,3391.0,0.08,0.0
1762818441.8889139,2359.0,-0.01,0.0
1762818441.938976,1485.0,0.03,0.0
1762818441.9884312,1432.0,0.07,0.0
1762818442.0383759,1618.0,0.1,0.0
1762818442.088971,1533.0,-0.0,0.0
1762818442.138387,1307.0,0.03,0.0
1762818442.188975,1190.0,-0.02,0.0
1762818442.2889512,1215.0,0.1,0.0
1762818442.3384,1839.0,0.11,0.0
1762818442.388372,2802.0,0.04,0.0
1762818442.43822,3735.0,0.03,0.0
1762818442.488394,3502.0,0.01,0.0
1762818442.538208,2582.0,0.02,0.0
