Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W10_T2.50_D5_C2,BL_W20_T1.00_D5_C2,BL_W20_T1.50_D5_C1,BL_W10_T1.00_D5_C1,BL_W20_T2.50_D5_C1
18391,-0.20,-360,0,0,0,0,0,0,0,0
18427,-0.18,-165,0,0,0,0,0,0,0,0
18463,-0.15,229,0,0,0,0,0,0,0,0
18499,-0.20,698,0,0,0,0,0,0,0,0
18535,-0.13,1058,0,0,0,0,0,0,0,0
18571,-0.12,1254,0,0,0,0,0,0,0,0
18607,-0.14,1212,0,0,0,0,0,0,0,0
18643,-0.13,812,0,0,0,0,0,0,0,0
18679,-0.12,157,0,0,0,0,0,0,0,0
18715,-0.10,-424,0,0,0,0,0,0,0,0
18751,-0.09,-682,0,0,0,0,0,0,0,0
18787,-0.18,-605,0,0,0,0,0,0,0,0
18823,-0.12,-378,0,0,0,0,0,0,0,0
18859,-0.18,-207,0,0,0,0,0,0,0,0
18895,-0.17,-182,0,0,0,0,0,0,0,0
18931,-0.15,-248,0,0,0,0,0,0,0,0
18967,-0.14,-295,0,0,0,0,0,0,0,0
19003,-0.09,-266,0,0,0,0,0,0,0,0
19039,-0.15,-202,0,0,0,0,0,0,0,0
19075,-0.18,-172,0,0,0,0,0,0,0,0
19111,-0.17,-200,0,0,0,0,0,0,0,0
19147,-0.12,-256,0,0,0,0,0,0,0,0
19183,-0.14,-194,0,0,0,0,0,0,0,0
19219,-0.17,120,0,0,0,0,0,0,0,0
19255,-0.17,569,0,0,0,0,0,0,0,0
19291,-0.13,944,0,0,0,0,0,0,0,0
19327,-0.21,1166,0,0,0,0,0,0,0,0
19363,-0.16,1191,0,0,0,0,0,0,0,0
19399,-0.12,913,0,0,0,0,0,0,0,0
19435,-0.28,341,0,0,0,0,0,0,0,0
19471,-0.13,-250,0,0,0,0,0,0,0,0
19507,-0.10,-570,0,0,0,0,0,0,0,0
19543,-0.14,-563,0,0,0,0,0,0,0,0
19579,-0.13,-378,0,0,0,0,0,0,0,0
19615,-0.11,-210,0,0,0,0,0,0,0,0
19651,-0.16,-164,0,0,0,0,0,0,0,0
19687,-0.10,-226,0,0,0,0,0,0,0,0
19723,-0.17,-324,0,0,0,0,0,0,0,0
19759,-0.07,-407,0,0,0,0,0,0,0,0
19795,-0.17,-456,0,0,0,0,0,0,0,0
19831,-0.15,-471,0,0,0,0,0,0,0,0
19867,-0.17,-456,0,0,0,0,0,0,0,0
19903,-0.20,-390,0,0,0,0,0,0,0,0
19939,-0.18,-169,0,0,0,0,0,0,0,0
19975,-0.06,252,0,0,0,0,0,0,0,0
20011,-0.15,712,0,0,0,0,0,0,0,0
20047,-0.16,1042,0,0,0,0,0,0,0,0
20083,-0.18,1209,0,0,0,0,0,0,0,0
20119,-0.13,1245,0,0,0,0,0,0,0,0
20155,-0.15,1199,0,0,0,0,0,0,0,0
20191,-0.18,1027,0,0,0,0,0,0,0,0
20227,-0.16,666,0,0,0,0,0,0,0,0
20263,-0.21,274,0,0,0,0,0,0,0,0
20299,-0.12,62,0,0,0,0,0,0,0,0
20335,-0.12,27,0,0,0,0,0,0,0,0
20371,-0.17,22,0,0,0,0,0,0,0,0
20407,-0.08,-65,0,0,0,0,0,0,0,0
20443,-0.19,-243,0,0,0,0,0,0,0,0
20479,-0.17,-436,0,0,0,0,0,0,0,0
20515,-0.16,-544,0,0,0,0,0,0,0,0
20551,-0.19,-513,0,0,0,0,0,0,0,0
20587,-0.14,-347,0,0,0,0,0,0,0,0
20623,-0.07,-60,0,0,0,0,0,0,0,0
20659,-0.19,306,0,0,0,0,0,0,0,0
20695,-0.12,637,0,0,0,0,0,0,0,0
20731,-0.23,848,0,0,0,0,0,0,0,0
20767,-0.16,938,0,0,0,0,0,0,0,0
20803,-0.17,939,0,0,0,0,0,0,0,0
20839,-0.12,890,0,0,0,0,0,0,0,0
20875,-0.23,725,0,0,0,0,0,0,0,0
20911,-0.13,360,0,0,0,0,0,0,0,0
20947,-0.10,-42,0,0,0,0,0,0,0,0
20983,-0.18,-267,0,0,0,0,0,0,0,0
21019,-0.13,-318,0,0,0,0,0,0,0,0
21055,-0.21,-327,0,0,0,0,0,0,0,0
21091,-0.23,-396,0,0,0,0,0,0,0,0
21127,-0.12,-528,0,0,0,0,0,0,0,0
21163,-0.26,-664,0,0,0,0,0,0,0,0
21199,-0.17,-750,0,0,0,0,0,0,0,0
21235,-0.15,-768,0,0,0,0,0,0,0,0
21271,-0.13,-735,0,0,0,0,0,0,0,0
21307,-0.17,-682,0,0,0,0,0,0,0,0
21343,-0.16,-634,0,0,0,0,0,0,0,0
21379,-0.08,-570,0,0,0,0,0,0,0,0
21415,-0.14,-369,0,0,0,0,0,0,0,0
