Time,Pressure,PPGSignal,rawPPGSignal,AUS_PULSE_HEARD,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2,
14828,-0.18,192,2967,0,0,0,0,0,0,0,0,0
14863,-0.18,789,3003,0,0,0,0,0,0,0,0,0
14899,-0.24,1557,2987,0,0,0,0,0,0,0,0,0
14935,-0.19,2143,2949,0,0,0,0,0,0,0,0,0
14971,-0.2,2448,2942,0,0,0,0,0,0,0,0,0
15007,-0.22,2513,2954,0,0,0,0,0,0,0,0,0
15043,-0.23,2425,2945,0,0,0,0,0,0,0,0,0
15079,-0.13,2263,2947,0,0,0,0,0,0,0,0,0
15115,-0.21,2082,2951,0,0,0,0,0,0,0,0,0
15151,-0.2,1918,3035,0,0,0,0,0,0,0,0,0
15187,-0.13,1800,3231,0,0,0,0,0,0,0,0,0
15223,-0.12,1744,3361,0,0,0,0,0,0,0,0,0
15259,-0.14,1726,3287,0,0,0,0,0,0,0,0,0
15295,-0.23,1688,3136,0,0,0,0,0,0,0,0,0
15331,-0.15,1593,3027,0,0,0,0,0,0,0,0,0
15367,-0.18,1452,2999,0,0,0,0,0,0,0,0,0
15403,-0.12,1299,3008,0,0,0,0,0,0,0,0,0
15439,-0.12,1164,3001,0,0,0,0,0,0,0,0,0
15475,-0.16,1055,3002,0,0,0,0,0,0,0,0,0
15511,-0.2,973,3021,0,0,0,0,0,0,0,0,0
15547,-0.1,911,3025,0,0,0,0,0,0,0,0,0
15583,-0.18,861,3015,0,0,0,0,0,0,0,0,0
15619,-0.22,815,2993,0,0,0,0,0,0,0,0,0
15655,-0.23,764,2970,0,0,0,0,0,0,0,0,0
15691,-0.19,708,2965,0,0,0,0,0,0,0,0,0
15727,-0.21,652,2967,0,0,0,0,0,0,0,0,0
15763,-0.24,601,2964,0,0,0,0,0,0,0,0,0
15799,-0.23,556,2953,0,0,0,0,0,0,0,0,0
15835,-0.19,517,2959,0,0,0,0,0,0,0,0,0
15871,-0.14,482,2969,0,0,0,0,0,0,0,0,0
15907,-0.19,453,2980,0,0,0,0,0,0,0,0,0
15943,-0.28,429,2977,0,0,0,0,0,0,0,0,0
15979,-0.22,408,2967,0,0,0,0,0,0,0,0,0
16015,-0.2,385,2960,0,0,0,0,0,0,0,0,0
16051,-0.32,360,2960,0,0,0,0,0,0,0,0,0
16087,-0.18,335,2959,0,0,0,0,0,0,0,0,0
16123,-0.23,313,2975,0,0,0,0,0,0,0,0,0
16159,-0.25,296,2997,0,0,0,0,0,0,0,0,0
16195,-0.15,294,3115,0,0,0,0,0,0,0,0,0
16231,-0.14,319,3265,0,0,0,0,0,0,0,0,0
16267,-0.19,372,3286,0,0,0,0,0,0,0,0,0
16303,-0.22,419,3177,0,0,0,0,0,0,0,0,0
16339,-0.29,424,3070,0,0,0,0,0,0,0,0,0
16375,-0.17,379,3013,0,0,0,0,0,0,0,0,0
16411,-0.27,306,3001,0,0,0,0,0,0,0,0,0
16447,-0.19,233,2997,0,0,0,0,0,0,0,0,0
16483,-0.12,176,3009,0,0,0,0,0,0,0,0,0
16519,-0.17,141,3013,0,0,0,0,0,0,0,0,0
16555,-0.22,124,3027,0,0,0,0,0,0,0,0,0
16591,-0.24,119,3035,0,0,0,0,0,0,0,0,0
16627,-0.15,119,3018,0,0,0,0,0,0,0,0,0
16663,-0.08,116,2992,0,0,0,0,0,0,0,0,0
16699,-0.26,107,2985,0,0,0,0,0,0,0,0,0
16735,-0.16,93,2979,0,0,0,0,0,0,0,0,0
16771,-0.19,79,2978,0,0,0,0,0,0,0,0,0
16807,-0.26,66,2963,0,0,0,0,0,0,0,0,0
16843,-0.13,54,2970,0,0,0,0,0,0,0,0,0
16879,-0.15,46,2975,0,0,0,0,0,0,0,0,0
16915,-0.21,41,2970,0,0,0,0,0,0,0,0,0
16951,-0.16,38,2974,0,0,0,0,0,0,0,0,0
16987,-0.14,38,2995,0,0,0,0,0,0,0,0,0
17023,-0.16,41,2993,0,0,0,0,0,0,0,0,0
17059,-0.21,41,2971,0,0,0,0,0,0,0,0,0
17095,-0.18,38,2965,0,0,0,0,0,0,0,0,0
