Time,Pressure,PPGSignal,rawPPGSignal,BL_W20_T2.5_D5_C2,BL_W40_T2.5_D5_C2,BL_W60_T2.5_D5_C2,BL_W10_T2.5_D5_C2,BL_W20_T1.0_D5_C2,BL_W20_T1.5_D5_C1,BL_W10_T1.0_D5_C1,BL_W20_T2.5_D5_C1,DRV_W5_T20,DRV_W10_T20,DRV_W5_T30,DRV_W5_T1
14828,-0.34,190,2928,0,0,0,0,0,0,0,0,0,0,0,0
14863,-0.36,785,3021,0,0,0,0,0,0,0,0,0,0,0,0
14899,-0.29,1558,3049,0,0,0,0,0,0,0,0,0,0,0,0
14935,-0.37,2162,3055,0,0,0,0,0,0,0,0,0,0,0,0
14971,-0.34,2490,2995,0,0,0,0,0,0,0,0,0,0,0,0
15007,-0.44,2566,2960,0,0,0,0,0,0,0,0,0,0,0,0
15043,-0.32,2470,2954,0,0,0,0,0,0,0,0,0,0,0,0
15079,-0.22,2290,2946,0,0,0,0,0,0,0,0,0,0,0,0
15115,-0.34,2094,2989,0,0,0,0,0,0,0,0,0,0,0,0
15151,-0.24,1927,3125,0,0,0,0,0,0,0,0,0,0,0,0
15187,-0.20,1816,3223,0,0,0,0,0,0,0,0,0,0,0,0
15223,-0.24,1752,3215,0,0,0,0,0,0,0,0,0,0,0,0
15259,-0.27,1696,3141,0,0,0,0,0,0,0,0,0,0,0,0
15295,-0.29,1617,3066,0,0,0,0,0,0,0,0,0,0,0,0
15331,-0.29,1507,3027,0,0,0,0,0,0,0,0,0,0,0,0
15367,-0.33,1381,3025,0,0,0,0,0,0,0,0,0,0,0,0
15403,-0.26,1258,2998,0,0,0,0,0,0,0,0,0,0,0,0
15439,-0.32,1148,3007,0,0,0,0,0,0,0,0,0,0,0,0
15475,-0.18,1057,3029,0,0,0,0,0,0,0,0,0,0,0,0
15511,-0.24,987,3059,0,0,0,0,0,0,0,0,0,0,0,0
15547,-0.32,933,3029,0,0,0,0,0,0,0,0,0,0,0,0
15583,-0.28,882,3006,0,0,0,0,0,0,0,0,0,0,0,0
15619,-0.34,825,2981,0,0,0,0,0,0,0,0,0,0,0,0
15655,-0.35,765,2978,0,0,0,0,0,0,0,0,0,0,0,0
15691,-0.27,706,2969,0,0,0,0,0,0,0,0,0,0,0,0
15727,-0.29,651,2963,0,0,0,0,0,0,0,0,0,0,0,0
15763,-0.33,603,2995,0,0,0,0,0,0,0,0,0,0,0,0
15799,-0.31,565,2992,0,0,0,0,0,0,0,0,0,0,0,0
15835,-0.40,532,2971,0,0,0,0,0,0,0,0,0,0,0,0
15871,-0.34,500,2963,0,0,0,0,0,0,0,0,0,0,0,0
15907,-0.34,465,2949,0,0,0,0,0,0,0,0,0,0,0,0
15943,-0.32,428,2945,0,0,0,0,0,0,0,0,0,0,0,0
15979,-0.26,399,3024,0,0,0,0,0,0,0,0,0,0,0,0
16015,-0.29,394,3177,0,0,0,0,0,0,0,0,0,0,0,0
16051,-0.35,426,3280,0,0,0,0,0,0,0,0,0,0,0,0
16087,-0.31,478,3250,0,0,0,0,0,0,0,0,0,0,0,0
16123,-0.35,510,3143,0,0,0,0,0,0,0,0,0,0,0,0
16159,-0.27,495,3065,0,0,0,0,0,0,0,0,0,0,0,0
16195,-0.31,441,3046,0,0,0,0,0,0,0,0,0,0,0,0
16231,-0.36,369,3017,0,0,0,0,0,0,0,0,0,0,0,0
16267,-0.29,300,3007,0,0,0,0,0,0,0,0,0,0,0,0
16303,-0.39,245,3019,0,0,0,0,0,0,0,0,0,0,0,0
16339,-0.38,208,3031,0,0,0,0,0,0,0,0,0,0,0,0
16375,-0.37,188,3026,0,0,0,0,0,0,0,0,0,0,0,0
16411,-0.37,178,3033,0,0,0,0,0,0,0,0,0,0,0,0
16447,-0.44,171,2991,0,0,0,0,0,0,0,0,0,0,0,0
16483,-0.42,156,2960,0,0,0,0,0,0,0,0,0,0,0,0
16519,-0.40,133,2965,0,0,0,0,0,0,0,0,0,0,0,0
16555,-0.42,110,2969,0,0,0,0,0,0,0,0,0,0,0,0
16591,-0.39,91,2955,0,0,0,0,0,0,0,0,0,0,0,0
16627,-0.44,76,2961,0,0,0,0,0,0,0,0,0,0,0,0
16663,-0.37,67,2970,0,0,0,0,0,0,0,0,0,0,0,0
16699,-0.43,64,2975,0,0,0,0,0,0,0,0,0,0,0,0
16735,-0.47,66,2992,0,0,0,0,0,0,0,0,0,0,0,0
16771,-0.32,70,2995,0,0,0,0,0,0,0,0,0,0,0,0
16807,-0.36,73,2967,0,0,0,0,0,0,0,0,0,0,0,0
16843,-0.30,72,3011,0,0,0,0,0,0,0,0,0,0,0,0
16879,-0.42,84,3158,0,0,0,0,0,0,0,0,0,0,0,0
16915,-0.34,129,3314,0,0,0,0,0,0,0,0,0,0,0,0
16951,-0.37,198,3285,0,0,0,0,0,0,0,0,0,0,0,0
16987,-0.42,249,3126,0,0,0,0,0,0,0,0,0,0,0,0
17023,-0.46,245,3028,0,0,0,0,0,0,0,0,0,0,0,0
17059,-0.36,193,3021,0,0,0,0,0,0,0,0,0,0,0,0
17095,-0.39,126,3008,0,0,0,0,0,0,0,0,0,0,0,0
17131,-0.42,69,3005,0,0,0,0,0,0,0,0,0,0,0,0
17167,-0.40,29,3009,0,0,0,0,0,0,0,0,0,0,0,0
17203,-0.40,8,3019,0,0,0,0,0,0,0,0,0,0,0,0
17239,-0.33,3,3025,0,0,0,0,0,0,0,0,0,0,0,0
17275,-0.38,7,3025,0,0,0,0,0,0,0,0,0,0,0,0
17311,-0.46,12,3008,0,0,0,0,0,0,0,0,0,0,0,0
17347,-0.52,12,2982,0,0,0,0,0,0,0,0,0,0,0,0
17383,-0.45,6,2982,0,0,0,0,0,0,0,0,0,0,0,0
17419,-0.44,-3,2974,0,0,0,0,0,0,0,0,0,0,0,0
17455,-0.39,-12,2983,0,0,0,0,0,0,0,0,0,0,0,0
17491,-0.43,-15,2995,0,0,0,0,0,0,0,0,0,0,0,0
17527,-0.43,-14,2992,0,0,0,0,0,0,0,0,0,0,0,0
17563,-0.44,-12,2969,0,0,0,0,0,0,0,0,0,0,0,0
17599,-0.45,-14,2958,0,0,0,0,0,0,0,0,0,0,0,0
17635,-0.42,-22,2910,0,0,0,0,0,0,0,0,0,0,0,0
17671,-0.31,-39,2911,0,0,0,0,0,0,0,0,0,0,0,0
17707,-0.31,-48,3018,0,0,0,0,0,0,0,0,0,0,0,0
17743,-0.34,-23,3248,0,0,0,0,0,0,0,0,0,0,0,0
17779,-0.40,53,3357,0,0,0,0,0,0,0,0,0,0,0,0
17815,-0.41,149,3243,0,0,0,0,0,0,0,0,0,0,0,0
17851,-0.32,205,3101,0,0,0,0,0,0,0,0,0,0,0,0
17887,-0.38,196,3033,0,0,0,0,0,0,0,0,0,0,0,0
17923,-0.40,141,3019,0,0,0,0,0,0,0,0,0,0,0,0
17959,-0.36,73,2978,0,0,0,0,0,0,0,0,0,0,0,0
17995,-0.35,12,2977,0,0,0,0,0,0,0,0,0,0,0,0
18031,-0.40,-30,2995,0,0,0,0,0,0,0,0,0,0,0,0
18067,-0.45,-48,3009,0,0,0,0,0,0,0,0,0,0,0,0
18103,-0.37,-47,3029,0,0,0,0,0,0,0,0,0,0,0,0
