Time,Pressure,PPGSignal,rawPPGSignal,BL_W20_T2.5_D5_C2,BL_W40_T2.5_D5_C2,BL_W60_T2.5_D5_C2,BL_W10_T2.5_D5_C2,BL_W20_T1.0_D5_C2,BL_W20_T1.5_D5_C1,BL_W10_T1.0_D5_C1,BL_W20_T2.5_D5_C1,DRV_W5_T20,DRV_W10_T20,DRV_W5_T30,DRV_W5_T1
18139,-0.47,-35,3030,0,0,0,0,0,0,0,0,0,0,0,0
18175,-0.39,-21,3003,0,0,0,0,0,0,0,0,0,0,0,0
18211,-0.46,-16,2990,0,0,0,0,0,0,0,0,0,0,0,0
18247,-0.39,-19,2981,0,0,0,0,0,0,0,0,0,0,0,0
18283,-0.44,-26,2967,0,0,0,0,0,0,0,0,0,0,0,0
18319,-0.44,-33,2986,0,0,0,0,0,0,0,0,0,0,0,0
18355,-0.47,-39,2951,0,0,0,0,0,0,0,0,0,0,0,0
18391,-0.46,-47,2927,0,0,0,0,0,0,0,0,0,0,0,0
18427,-0.53,-58,2943,0,0,0,0,0,0,0,0,0,0,0,0
18463,-0.49,-63,2960,0,0,0,0,0,0,0,0,0,0,0,0
18499,-0.36,-62,2939,0,0,0,0,0,0,0,0,0,0,0,0
18535,-0.42,-59,2943,0,0,0,0,0,0,0,0,0,0,0,0
18571,-0.36,-45,3105,0,0,0,0,0,0,0,0,0,0,0,0
18607,-0.27,5,3331,0,0,0,0,0,0,0,0,0,0,0,0
18643,-0.27,98,3358,0,0,0,0,0,0,0,0,0,0,0,0
18679,-0.33,185,3195,0,0,0,0,0,0,0,0,0,0,0,0
18715,-0.34,213,3031,0,0,0,0,0,0,0,0,0,0,0,0
18751,-0.37,169,2949,0,0,0,0,0,0,0,0,0,0,0,0
18787,-0.39,84,2954,0,0,0,0,0,0,0,0,0,0,0,0
18823,-0.42,5,2990,0,0,0,0,0,0,0,0,0,0,0,0
18859,-0.40,-39,3063,0,0,0,0,0,0,0,0,0,0,0,0
18895,-0.34,-44,3087,0,0,0,0,0,0,0,0,0,0,0,0
18931,-0.38,-24,3051,0,0,0,0,0,0,0,0,0,0,0,0
18967,-0.46,-6,3024,0,0,0,0,0,0,0,0,0,0,0,0
19003,-0.44,-1,2989,0,0,0,0,0,0,0,0,0,0,0,0
19039,-0.47,-10,2976,0,0,0,0,0,0,0,0,0,0,0,0
19075,-0.45,-28,2943,0,0,0,0,0,0,0,0,0,0,0,0
19111,-0.38,-49,2937,0,0,0,0,0,0,0,0,0,0,0,0
19147,-0.40,-68,2960,0,0,0,0,0,0,0,0,0,0,0,0
19183,-0.49,-74,2967,0,0,0,0,0,0,0,0,0,0,0,0
19219,-0.53,-69,2971,0,0,0,0,0,0,0,0,0,0,0,0
19255,-0.48,-60,2960,0,0,0,0,0,0,0,0,0,0,0,0
19291,-0.50,-53,2957,0,0,0,0,0,0,0,0,0,0,0,0
19327,-0.39,-50,2949,0,0,0,0,0,0,0,0,0,0,0,0
19363,-0.41,-49,2958,0,0,0,0,0,0,0,0,0,0,0,0
19399,-0.35,-42,3038,0,0,0,0,0,0,0,0,0,0,0,0
19435,-0.40,-8,3264,0,0,0,0,0,0,0,0,0,0,0,0
19471,-0.44,66,3359,0,0,0,0,0,0,0,0,0,0,0,0
19507,-0.40,155,3255,0,0,0,0,0,0,0,0,0,0,0,0
19543,-0.38,204,3089,0,0,0,0,0,0,0,0,0,0,0,0
19579,-0.34,185,3002,0,0,0,0,0,0,0,0,0,0,0,0
19615,-0.39,117,2962,0,0,0,0,0,0,0,0,0,0,0,0
19651,-0.42,40,3015,0,0,0,0,0,0,0,0,0,0,0,0
19687,-0.35,-12,3027,0,0,0,0,0,0,0,0,0,0,0,0
19723,-0.49,-36,3018,0,0,0,0,0,0,0,0,0,0,0,0
19759,-0.46,-40,3026,0,0,0,0,0,0,0,0,0,0,0,0
19795,-0.47,-35,3029,0,0,0,0,0,0,0,0,0,0,0,0
19831,-0.50,-28,3011,0,0,0,0,0,0,0,0,0,0,0,0
19867,-0.50,-25,2985,0,0,0,0,0,0,0,0,0,0,0,0
19903,-0.47,-32,2934,0,0,0,0,0,0,0,0,0,0,0,0
19939,-0.46,-51,2911,0,0,0,0,0,0,0,0,0,0,0,0
19975,-0.42,-72,2946,0,0,0,0,0,0,0,0,0,0,0,0
20011,-0.46,-84,2946,0,0,0,0,0,0,0,0,0,0,0,0
20047,-0.38,-83,2965,0,0,0,0,0,0,0,0,0,0,0,0
20083,-0.45,-73,2971,0,0,0,0,0,0,0,0,0,0,0,0
20119,-0.38,-57,2992,0,0,0,0,0,0,0,0,0,0,0,0
20155,-0.41,-41,2967,0,0,0,0,0,0,0,0,0,0,0,0
20191,-0.31,-34,2939,0,0,0,0,0,0,0,0,0,0,0,0
20227,-0.34,-36,2959,0,0,0,0,0,0,0,0,0,0,0,0
20263,-0.27,-30,3109,0,0,0,0,0,0,0,0,0,0,0,0
20299,-0.23,8,3263,0,0,0,0,0,0,0,0,0,0,0,0
20335,-0.21,78,3259,0,0,0,0,0,0,0,0,0,0,0,0
20371,-0.25,140,3125,0,0,0,0,0,0,0,0,0,0,0,0
20407,-0.31,154,3009,0,0,0,0,0,0,0,0,0,0,0,0
20443,-0.23,114,2967,0,0,0,0,0,0,0,0,0,0,0,0
20479,-0.25,52,2978,0,0,0,0,0,0,0,0,0,0,0,0
20515,-0.25,-2,2992,0,0,0,0,0,0,0,0,0,0,0,0
20551,-0.21,-34,3019,0,0,0,0,0,0,0,0,0,0,0,0
20587,-0.20,-42,3027,0,0,0,0,0,0,0,0,0,0,0,0
20623,-0.28,-36,3023,0,0,0,0,0,0,0,0,0,0,0,0
20659,-0.30,-26,2992,0,0,0,0,0,0,0,0,0,0,0,0
20695,-0.28,-23,2975,0,0,0,0,0,0,0,0,0,0,0,0
20731,-0.24,-28,2973,0,0,0,0,0,0,0,0,0,0,0,0
20767,-0.23,-36,2957,0,0,0,0,0,0,0,0,0,0,0,0
20803,-0.28,-44,2965,0,0,0,0,0,0,0,0,0,0,0,0
20839,-0.32,-50,2970,0,0,0,0,0,0,0,0,0,0,0,0
20875,-0.29,-50,2971,0,0,0,0,0,0,0,0,0,0,0,0
20911,-0.24,-47,2970,0,0,0,0,0,0,0,0,0,0,0,0
20947,-0.28,-44,2961,0,0,0,0,0,0,0,0,0,0,0,0
20983,-0.20,-42,2938,0,0,0,0,0,0,0,0,0,0,0,0
21019,-0.15,-41,2997,0,0,0,0,0,0,0,0,0,0,0,0
21055,-0.24,-23,3156,0,0,0,0,0,0,0,0,0,0,0,0
21091,-0.22,27,3273,0,0,0,0,0,0,0,0,0,0,0,0
21127,-0.21,97,3225,0,0,0,0,0,0,0,0,0,0,0,0
21163,-0.32,149,3109,0,0,0,0,0,0,0,0,0,0,0,0
21199,-0.29,152,3011,0,0,0,0,0,0,0,0,0,0,0,0
21235,-0.28,110,2981,0,0,0,0,0,0,0,0,0,0,0,0
21271,-0.28,50,2980,0,0,0,0,0,0,0,0,0,0,0,0
21307,-0.31,0,3007,0,0,0,0,0,0,0,0,0,0,0,0
21343,-0.37,-26,3053,0,0,0,0,0,0,0,0,0,0,0,0
21379,-0.42,-27,3046,0,0,0,0,0,0,0,0,0,0,0,0
21415,-0.35,-18,3019,0,0,0,0,0,0,0,0,0,0,0,0
21451,-0.30,-11,3005,0,0,0,0,0,0,0,0,0,0,0,0
21487,-0.46,-12,2992,0,0,0,0,0,0,0,0,0,0,0,0
21523,-0.38,-18,2986,0,0,0,0,0,0,0,0,0,0,0,0
21559,-0.42,-27,2961,0,0,0,0,0,0,0,0,0,0,0,0
21595,-0.51,-40,2944,0,0,0,0,0,0,0,0,0,0,0,0
21631,-0.43,-54,2941,0,0,0,0,0,0,0,0,0,0,0,0
21667,-0.40,-62,2974,0,0,0,0,0,0,0,0,0,0,0,0
21703,-0.34,-59,3010,0,0,0,0,0,0,0,0,0,0,0,0
21739,-0.38,-44,3024,0,0,0,0,0,0,0,0,0,0,0,0
21775,-0.39,-15,3136,0,0,0,0,0,0,0,0,0,0,0,0
21811,-0.34,36,3305,0,0,0,0,0,0,0,0,0,0,0,0
21847,-0.39,112,3313,0,0,0,0,0,0,0,0,0,0,0,0
21883,-0.40,178,3202,0,0,0,0,0,0,0,0,0,0,0,0
21919,-0.44,195,3071,0,0,0,0,0,0,0,0,0,0,0,0
21955,-0.42,155,2983,0,0,0,0,0,0,0,0,0,0,0,0
21991,-0.45,82,2983,0,0,0,0,0,0,0,0,0,0,0,0
22027,-0.43,14,3018,0,0,0,0,0,0,0,0,0,0,0,0
22063,-0.51,-24,3071,0,0,0,0,0,0,0,0,0,0,0,0
22099,-0.45,-28,3110,0,0,0,0,0,0,0,0,0,0,0,0
22135,-0.47,-8,3099,0,0,0,0,0,0,0,0,0,0,0,0
22171,-0.47,9,3039,0,0,0,0,0,0,0,0,0,0,0,0
22207,-0.52,11,3009,0,0,0,0,0,0,0,0,0,0,0,0
22243,-0.43,-1,3010,0,0,0,0,0,0,0,0,0,0,0,0
22279,-0.56,-19,2992,0,0,0,0,0,0,0,0,0,0,0,0
22315,-0.52,-36,2999,0,0,0,0,0,0,0,0,0,0,0,0
22351,-0.54,-47,2992,0,0,0,0,0,0,0,0,0,0,0,0
22387,-0.54,-52,3002,0,0,0,0,0,0,0,0,0,0,0,0
22423,-0.50,-51,3005,0,0,0,0,0,0,0,0,0,0,0,0
22459,-0.59,-37,3134,0,0,0,0,0,0,0,0,0,0,0,0
22495,-0.47,8,3346,0,0,0,0,0,0,0,0,0,0,0,0
22531,-0.55,95,3435,0,0,0,0,0,0,0,0,0,0,0,0
22567,-0.50,188,3314,0,0,0,0,0,0,0,0,0,0,0,0
22603,-0.59,234,3158,0,0,0,0,0,0,0,0,0,0,0,0
22639,-0.47,210,3088,0,0,0,0,0,0,0,0,0,0,0,0
22675,-0.52,144,3071,0,0,0,0,0,0,0,0,0,0,0,0
22711,-0.60,73,3106,0,0,0,0,0,0,0,0,0,0,0,0
22747,-0.56,27,3154,0,0,0,0,0,0,0,0,0,0,0,0
22783,-0.58,10,3136,0,0,0,0,0,0,0,0,0,0,0,0
22819,-0.62,8,3118,0,0,0,0,0,0,0,0,0,0,0,0
22855,-0.56,7,3084,0,0,0,0,0,0,0,0,0,0,0,0
22891,-0.63,1,3083,0,0,0,0,0,0,0,0,0,0,0,0
22927,-0.66,-7,3095,0,0,0,0,0,0,0,0,0,0,0,0
22963,-0.62,-15,3047,0,0,0,0,0,0,0,0,0,0,0,0
22999,-0.61,-27,3040,0,0,0,0,0,0,0,0,0,0,0,0
23035,-0.57,-41,3024,0,0,0,0,0,0,0,0,0,0,0,0
23071,-0.57,-56,2986,0,0,0,0,0,0,0,0,0,0,0,0
23107,-0.55,-73,2982,0,0,0,0,0,0,0,0,0,0,0,0
23143,-0.49,-84,3013,0,0,0,0,0,0,0,0,0,0,0,0
23179,-0.49,-76,3152,0,0,0,0,0,0,0,0,0,0,0,0
23215,-0.53,-22,3465,0,0,0,0,0,0,0,0,0,0,0,0
23251,-0.56,93,3583,0,0,0,0,0,0,0,0,0,0,0,0
23287,-0.53,227,3445,0,0,0,0,0,0,0,0,0,0,0,0
23323,-0.50,303,3271,0,0,0,0,0,0,0,0,0,0,0,0
23359,-0.54,292,3201,0,0,0,0,0,0,0,0,0,0,0,0
23395,-0.48,223,3187,0,0,0,0,0,0,0,0,0,0,0,0
23431,-0.51,140,3149,0,0,0,0,0,0,0,0,0,0,0,0
23467,-0.60,65,3129,0,0,0,0,0,0,0,0,0,0,0,0
23503,-0.68,10,3127,0,0,0,0,0,0,0,0,0,0,0,0
23539,-0.58,-22,3151,0,0,0,0,0,0,0,0,0,0,0,0
23575,-0.59,-32,3182,0,0,0,0,0,0,0,0,0,0,0,0
23611,-0.57,-27,3124,0,0,0,0,0,0,0,0,0,0,0,0
23647,-0.56,-24,3091,0,0,0,0,0,0,0,0,0,0,0,0
23683,-0.65,-35,3046,0,0,0,0,0,0,0,0,0,0,0,0
23719,-0.57,-57,3026,0,0,0,0,0,0,0,0,0,0,0,0
23755,-0.61,-81,3018,0,0,0,0,0,0,0,0,0,0,0,0
23791,-0.55,-101,3025,0,0,0,0,0,0,0,0,0,0,0,0
23827,-0.51,-110,3023,0,0,0,0,0,0,0,0,0,0,0,0
23863,-0.64,-111,3023,0,0,0,0,0,0,0,0,0,0,0,0
23899,-0.56,-106,3015,0,0,0,0,0,0,0,0,0,0,0,0
23935,-0.51,-102,3008,0,0,0,0,0,0,0,0,0,0,0,0
23971,-0.43,-96,3043,0,0,0,0,0,0,0,0,0,0,0,0
24007,-0.44,-68,3305,0,0,0,0,0,0,0,0,0,0,0,0
24043,-0.50,16,3602,0,0,0,0,0,0,0,0,0,0,0,0
24079,-0.47,155,3610,0,0,0,0,0,0,0,0,0,0,0,0
24115,-0.48,279,3387,0,0,0,0,0,0,0,0,0,0,0,0
24151,-0.43,315,3227,0,0,0,0,0,0,0,0,0,0,0,0
24187,-0.47,264,3184,0,0,0,0,0,0,0,0,0,0,0,0
24223,-0.38,173,3166,0,0,0,0,0,0,0,0,0,0,0,0
24259,-0.49,85,3164,0,0,0,0,0,0,0,0,0,0,0,0
24295,-0.44,22,3177,0,0,0,0,0,0,0,0,0,0,0,0
24331,-0.48,-11,3183,0,0,0,0,0,0,0,0,0,0,0,0
24367,-0.44,-23,3165,0,0,0,0,0,0,0,0,0,0,0,0
24403,-0.49,-29,3119,0,0,0,0,0,0,0,0,0,0,0,0
24439,-0.41,-37,3095,0,0,0,0,0,0,0,0,0,0,0,0
24475,-0.30,-53,3046,0,0,0,0,0,0,0,0,0,0,0,0
24511,-0.42,-77,3024,0,0,0,0,0,0,0,0,0,0,0,0
24547,-0.35,-102,3019,0,0,0,0,0,0,0,0,0,0,0,0
24583,-0.41,-121,3033,0,0,0,0,0,0,0,0,0,0,0,0
24619,-0.35,-130,2997,0,0,0,0,0,0,0,0,0,0,0,0
24655,-0.46,-134,2991,0,0,0,0,0,0,0,0,0,0,0,0
24691,-0.45,-136,2953,0,0,0,0,0,0,0,0,0,0,0,0
24727,-0.37,-142,2949,0,0,0,0,0,0,0,0,0,0,0,0
24763,-0.28,-145,3002,0,0,0,0,0,0,0,0,0,0,0,0
24799,-0.37,-122,3243,0,0,0,0,0,0,0,0,0,0,0,0
24835,-0.39,-38,3562,0,0,0,0,0,0,0,0,0,0,0,0
24871,-0.43,110,3664,0,0,0,0,0,0,0,0,0,0,0,0
24907,-0.44,261,3455,0,0,0,0,0,0,0,0,0,0,0,0
24943,-0.45,333,3281,0,0,0,0,0,0,0,0,0,0,0,0
24979,-0.45,306,3214,0,0,0,0,0,0,0,0,0,0,0,0
25015,-0.50,220,3147,0,0,0,0,0,0,0,0,0,0,0,0
25051,-0.48,115,3110,0,0,0,0,0,0,0,0,0,0,0,0
25087,-0.49,25,3139,0,0,0,0,0,0,0,0,0,0,0,0
25123,-0.53,-28,3178,0,0,0,0,0,0,0,0,0,0,0,0
25159,-0.49,-46,3179,0,0,0,0,0,0,0,0,0,0,0,0
25195,-0.53,-44,3141,0,0,0,0,0,0,0,0,0,0,0,0
25231,-0.56,-42,3094,0,0,0,0,0,0,0,0,0,0,0,0
25267,-0.46,-51,3051,0,0,0,0,0,0,0,0,0,0,0,0
25303,-0.53,-72,3000,0,0,0,0,0,0,0,0,0,0,0,0
25339,-0.61,-102,2983,0,0,0,0,0,0,0,0,0,0,0,0
25375,-0.56,-130,3007,0,0,0,0,0,0,0,0,0,0,0,0
25411,-0.50,-144,3022,0,0,0,0,0,0,0,0,0,0,0,0
25447,-0.56,-142,3026,0,0,0,0,0,0,0,0,0,0,0,0
25483,-0.52,-129,3047,0,0,0,0,0,0,0,0,0,0,0,0
25519,-0.51,-110,3056,0,0,0,0,0,0,0,0,0,0,0,0
25555,-0.49,-78,3231,0,0,0,0,0,0,0,0,0,0,0,0
25591,-0.46,-6,3506,0,0,0,0,0,0,0,0,0,0,0,0
25627,-0.53,110,3580,0,0,0,0,0,0,0,0,0,0,0,0
25663,-0.52,228,3439,0,0,0,0,0,0,0,0,0,0,0,0
25699,-0.52,283,3257,0,0,0,0,0,0,0,0,0,0,0,0
25735,-0.55,256,3171,0,0,0,0,0,0,0,0,0,0,0,0
25771,-0.52,174,3123,0,0,0,0,0,0,0,0,0,0,0,0
25807,-0.55,75,3054,0,0,0,0,0,0,0,0,0,0,0,0
25843,-0.57,-14,3067,0,0,0,0,0,0,0,0,0,0,0,0
25879,-0.51,-73,3130,0,0,0,0,0,0,0,0,0,0,0,0
25915,-0.58,-93,3138,0,0,0,0,0,0,0,0,0,0,0,0
25951,-0.58,-87,3111,0,0,0,0,0,0,0,0,0,0,0,0
25987,-0.63,-78,3050,0,0,0,0,0,0,0,0,0,0,0,0
26023,-0.55,-81,3006,0,0,0,0,0,0,0,0,0,0,0,0
26059,-0.64,-96,3008,0,0,0,0,0,0,0,0,0,0,0,0
26095,-0.66,-113,3012,0,0,0,0,0,0,0,0,0,0,0,0
26131,-0.65,-123,2997,0,0,0,0,0,0,0,0,0,0,0,0
26167,-0.65,-129,2992,0,0,0,0,0,0,0,0,0,0,0,0
26203,-0.67,-131,2992,0,0,0,0,0,0,0,0,0,0,0,0
26239,-0.65,-130,2971,0,0,0,0,0,0,0,0,0,0,0,0
26275,-0.57,-129,2966,0,0,0,0,0,0,0,0,0,0,0,0
26311,-0.57,-128,2970,0,0,0,0,0,0,0,0,0,0,0,0
26347,-0.61,-117,3091,0,0,0,0,0,0,0,0,0,0,0,0
26383,-0.56,-65,3424,0,0,0,0,0,0,0,0,0,0,0,0
26419,-0.60,53,3643,0,0,0,0,0,0,0,0,0,0,0,0
26455,-0.54,205,3522,0,0,0,0,0,0,0,0,0,0,0,0
26491,-0.54,306,3295,0,0,0,0,0,0,0,0,0,0,0,0
26527,-0.58,307,3171,0,0,0,0,0,0,0,0,0,0,0,0
26563,-0.58,231,3150,0,0,0,0,0,0,0,0,0,0,0,0
26599,-0.57,130,3093,0,0,0,0,0,0,0,0,0,0,0,0
26635,-0.53,36,3061,0,0,0,0,0,0,0,0,0,0,0,0
26671,-0.50,-34,3087,0,0,0,0,0,0,0,0,0,0,0,0
26707,-0.50,-73,3099,0,0,0,0,0,0,0,0,0,0,0,0
26743,-0.58,-85,3095,0,0,0,0,0,0,0,0,0,0,0,0
26779,-0.53,-85,3036,0,0,0,0,0,0,0,0,0,0,0,0
26815,-0.58,-91,2973,0,0,0,0,0,0,0,0,0,0,0,0
26851,-0.45,-109,2977,0,0,0,0,0,0,0,0,0,0,0,0
26887,-0.49,-127,2985,0,0,0,0,0,0,0,0,0,0,0,0
26923,-0.51,-136,2986,0,0,0,0,0,0,0,0,0,0,0,0
26959,-0.45,-136,2985,0,0,0,0,0,0,0,0,0,0,0,0
26995,-0.59,-129,2990,0,0,0,0,0,0,0,0,0,0,0,0
27031,-0.52,-120,2986,0,0,0,0,0,0,0,0,0,0,0,0
27067,-0.46,-111,2971,0,0,0,0,0,0,0,0,0,0,0,0
27103,-0.47,-106,2953,0,0,0,0,0,0,0,0,0,0,0,0
27139,-0.38,-108,2942,0,0,0,0,0,0,0,0,0,0,0,0
27175,-0.36,-105,3045,0,0,0,0,0,0,0,0,0,0,0,0
27211,-0.35,-68,3329,0,0,0,0,0,0,0,0,0,0,0,0
27247,-0.40,25,3490,0,0,0,0,0,0,0,0,0,0,0,0
27283,-0.39,146,3360,0,0,0,0,0,0,0,0,0,0,0,0
27319,-0.29,222,3193,0,0,0,0,0,0,0,0,0,0,0,0
27355,-0.36,217,3071,0,0,0,0,0,0,0,0,0,0,0,0
27391,-0.41,153,3087,0,0,0,0,0,0,0,0,0,0,0,0
27427,-0.37,74,3057,0,0,0,0,0,0,0,0,0,0,0,0
27463,-0.39,6,3046,0,0,0,0,0,0,0,0,0,0,0,0
27499,-0.39,-39,3063,0,0,0,0,0,0,0,0,0,0,0,0
27535,-0.36,-62,3071,0,0,0,0,0,0,0,0,0,0,0,0
27571,-0.43,-65,3054,0,0,0,0,0,0,0,0,0,0,0,0
27607,-0.42,-64,3024,0,0,0,0,0,0,0,0,0,0,0,0
27643,-0.44,-68,2974,0,0,0,0,0,0,0,0,0,0,0,0
27679,-0.39,-81,2962,0,0,0,0,0,0,0,0,0,0,0,0
27715,5.00,-97,2961,0,0,0,0,0,0,0,0,0,0,0,0
27751,12.62,-107,2975,0,0,0,0,0,0,0,0,0,0,0,0
27787,19.81,-106,2999,0,0,0,0,0,0,0,0,0,0,0,0
