Time,Pressure,PPGSignal,BL_W20_T2.5_D10_C2,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W80_T2.5_D10_C2
15316,-0.18,191,0,0,0,0
15351,-0.17,774,0,0,0,0
15387,-0.22,1504,0,0,0,0
15423,-0.19,2037,0,0,0,0
15459,-0.24,2289,0,0,0,0
15495,-0.17,2300,0,0,0,0
15531,-0.18,2151,0,0,0,0
15567,-0.16,1928,0,0,0,0
15603,-0.25,1684,0,0,0,0
15639,-0.15,1437,0,0,0,0
15675,-0.29,1204,0,0,0,0
15711,-0.21,1005,0,0,0,0
15747,-0.21,837,0,0,0,0
15783,-0.18,691,0,0,0,0
15819,-0.18,560,0,0,0,0
15855,-0.19,439,0,0,0,0
15891,-0.18,322,0,0,0,0
15927,-0.13,205,0,0,0,0
15963,-0.22,91,0,0,0,0
15999,-0.23,-13,0,0,0,0
16035,-0.25,-109,0,0,0,0
16071,-0.16,-195,0,0,0,0
16107,-0.17,-266,0,0,0,0
16143,-0.26,-326,0,0,0,0
16179,-0.20,-381,0,0,0,0
16215,-0.18,-435,0,0,0,0
16251,-0.18,-484,0,0,0,0
16287,-0.21,-523,0,0,0,0
16323,-0.12,-553,0,0,0,0
16359,-0.17,-580,0,0,0,0
16395,-0.20,-608,0,0,0,0
16431,-0.14,-636,0,0,0,0
16467,-0.19,-660,0,0,0,0
16503,-0.21,-678,0,0,0,0
16539,-0.19,-690,0,0,0,0
16575,-0.10,-694,0,0,0,0
16611,-0.22,-697,0,0,0,0
16647,-0.13,-703,0,0,0,0
16683,-0.17,-707,0,0,0,0
16719,-0.20,-704,0,0,0,0
16755,-0.20,-699,0,0,0,0
16791,-0.19,-694,0,0,0,0
16827,-0.23,-688,0,0,0,0
16863,-0.20,-679,0,0,0,0
16899,-0.31,-667,0,0,0,0
16935,-0.21,-650,0,0,0,0
16971,-0.19,-632,0,0,0,0
17007,-0.25,-617,0,0,0,0
17043,-0.16,-600,0,0,0,0
17079,-0.12,-581,0,0,0,0
17115,-0.12,-560,0,0,0,0
17151,-0.22,-539,0,0,0,0
17187,-0.18,-518,0,0,0,0
17223,-0.20,-497,0,0,0,0
17259,-0.18,-479,0,0,0,0
17295,-0.22,-466,0,0,0,0
17331,-0.32,-456,0,0,0,0
17367,-0.21,-446,0,0,0,0
17403,-0.19,-430,0,0,0,0
17439,-0.18,-411,0,0,0,0
17475,-0.24,-392,0,0,0,0
17511,-0.12,-378,0,0,0,0
17547,-0.13,-365,0,0,0,0
17583,-0.18,-346,0,0,0,0
17619,-0.15,-319,0,0,0,0
17655,-0.16,-292,0,0,0,0
17691,-0.13,-269,0,0,0,0
17727,-0.13,-252,0,0,0,0
17763,-0.26,-236,0,0,0,0
17799,-0.19,-224,0,0,0,0
17835,-0.15,-218,0,0,0,0
17871,-0.24,-212,0,0,0,0
17907,-0.16,-201,0,0,0,0
17943,-0.16,-189,0,0,0,0
17979,-0.15,-178,0,0,0,0
18015,-0.22,-165,0,0,0,0
18051,-0.19,-151,0,0,0,0
18087,-0.17,-143,0,0,0,0
18123,-0.18,-138,0,0,0,0
18159,-0.23,-134,0,0,0,0
18195,-0.16,-131,0,0,0,0
18231,-0.20,-127,0,0,0,0
18267,-0.21,-120,0,0,0,0
18303,-0.23,-110,0,0,0,0
18339,-0.12,-96,0,0,0,0
18375,-0.14,-84,0,0,0,0
18411,-0.20,-77,0,0,0,0
18447,-0.26,-73,0,0,0,0
18483,-0.19,-71,0,0,0,0
18519,-0.13,-71,0,0,0,0
18555,-0.22,-72,0,0,0,0
18591,-0.22,-72,0,0,0,0
18627,-0.17,-68,0,0,0,0
18663,-0.21,-62,0,0,0,0
18699,-0.15,-58,0,0,0,0
18735,-0.22,-57,0,0,0,0
18771,-0.17,-57,0,0,0,0
18807,-0.11,-57,0,0,0,0
18843,-0.21,-54,0,0,0,0
18879,-0.20,-51,0,0,0,0
18915,-0.20,-49,0,0,0,0
18951,-0.23,-46,0,0,0,0
18987,-0.19,-44,0,0,0,0
19023,-0.20,-49,0,0,0,0
19059,-0.23,-58,0,0,0,0
19095,-0.23,-62,0,0,0,0
19131,-0.20,-58,0,0,0,0
19167,-0.16,-48,0,0,0,0
19203,-0.20,-42,0,0,0,0
19239,-0.23,-40,0,0,0,0
19275,-0.33,-40,0,0,0,0
19311,-0.22,-43,0,0,0,0
19347,-0.25,-47,0,0,0,0
19383,-0.29,-52,0,0,0,0
19419,-0.16,-55,0,0,0,0
19455,-0.16,-53,0,0,0,0
19491,-0.17,-47,0,0,0,0
19527,-0.19,-47,0,0,0,0
19563,-0.24,-55,0,0,0,0
19599,-0.23,-60,0,0,0,0
19635,-0.24,-58,0,0,0,0
19671,-0.20,-56,0,0,0,0
19707,-0.16,-54,0,0,0,0
19743,-0.14,-56,0,0,0,0
19779,-0.17,-62,0,0,0,0
19815,-0.20,-64,0,0,0,0
19851,-0.15,-61,0,0,0,0
19887,-0.19,-62,0,0,0,0
19923,-0.24,-68,0,0,0,0
19959,-0.15,-73,0,0,0,0
19995,-0.19,-77,0,0,0,0
20031,-0.24,-76,0,0,0,0
20067,-0.15,-69,0,0,0,0
20103,-0.15,-63,0,0,0,0
20139,-0.04,-62,0,0,0,0
20175,-0.07,-64,0,0,0,0
20211,-0.23,-69,0,0,0,0
