Time,Pressure,PPGSignal,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W40_T3.0_D10_C2,BL_W40_T2.0_D10_C2,BL_W40_T2.5_D15_C2,BL_W40_T2.5_D5_C2,BL_W40_T2.5_D10_C3,BL_W40_T2.5_D10_C1,BL_W20_T2.5_D10_C2,BL_W80_T2.5_D10_C2,DRV_W5_T20,DRV_W10_T20,DRV_W5_T30,DRV_W5_T10,THR_100,THR_150,THR_200,ENS_3of5
15327,-0.31,2991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15363,-0.19,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15399,-0.27,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15435,-0.26,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15471,-0.29,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15507,-0.31,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15543,-0.22,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15579,-0.29,3056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,-0.25,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15651,-0.23,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15687,-0.28,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15723,-0.17,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15759,-0.30,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15795,-0.31,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15831,-0.27,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15867,-0.26,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15903,-0.27,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15939,-0.27,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15975,-0.27,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16011,-0.23,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16047,-0.19,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16083,-0.24,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16119,-0.29,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16155,-0.25,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16191,-0.19,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16227,-0.23,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16263,-0.24,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16299,-0.27,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16335,-0.23,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371,-0.20,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16407,-0.27,3055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16443,-0.21,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16479,-0.19,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16515,-0.22,3035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16551,-0.13,2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16587,-0.18,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16623,-0.27,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16659,-0.28,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16695,-0.25,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16731,-0.32,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16767,-0.22,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803,-0.25,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16839,-0.16,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16875,-0.22,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16911,-0.13,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16947,-0.17,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16983,-0.19,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17019,-0.27,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17055,-0.16,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17091,-0.17,3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17127,-0.15,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,-0.23,3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17199,-0.19,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17235,-0.18,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17271,-0.23,3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17307,-0.25,3051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17343,-0.21,3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17379,-0.18,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17415,-0.26,3041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17451,-0.21,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17487,-0.18,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17523,-0.29,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17559,-0.20,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17595,-0.25,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17631,-0.25,3027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17667,-0.20,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17703,-0.19,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17739,-0.22,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17775,-0.14,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17811,-0.21,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17847,-0.20,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17883,-0.15,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
