Time,Pressure,PPGSignal,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W40_T3.0_D10_C2,BL_W40_T2.0_D10_C2,BL_W40_T2.5_D15_C2,BL_W40_T2.5_D5_C2,BL_W40_T2.5_D10_C3,BL_W40_T2.5_D10_C1,BL_W20_T2.5_D10_C2,BL_W80_T2.5_D10_C2,DRV_W5_T20,DRV_W10_T20,DRV_W5_T30,DRV_W5_T10,THR_100,THR_150,THR_200,ENS_3of5
15327,-0.19,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15363,-0.21,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15399,-0.21,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15435,-0.22,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15471,-0.14,3044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15507,-0.18,3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15543,-0.20,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15579,-0.19,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,-0.26,2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15651,-0.15,3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15687,-0.20,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15723,-0.22,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15759,-0.19,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15795,-0.22,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15831,-0.18,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15867,-0.32,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15903,-0.27,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
