Timestamp,PPG,Pressure,Systolic
1762639167.463673,1938.0,-0.05,0.0
1762639167.511774,1944.0,-0.04,0.0
1762639167.5616279,1939.0,0.0,0.0
1762639167.613894,1938.0,0.0,0.0
1762639167.711762,1942.0,0.04,0.0
1762639167.763424,1936.0,0.04,0.0
1762639167.811622,1921.0,0.06,0.0
1762639167.863596,1918.0,-0.08,0.0
1762639167.911228,1934.0,-0.02,0.0
1762639167.964138,1948.0,-0.0,0.0
1762639168.01197,1950.0,0.0,0.0
1762639168.111208,1949.0,-0.05,0.0
1762639168.164063,1945.0,-0.0,0.0
1762639168.213265,1948.0,-0.07,0.0
1762639168.261219,1949.0,0.02,0.0
1762639168.3107462,1942.0,-0.02,0.0
1762639168.360808,1926.0,-0.05,0.0
1762639168.410773,1915.0,0.03,0.0
1762639168.5119638,1918.0,0.03,0.0
1762639168.561596,1922.0,-0.04,0.0
1762639168.6137369,1919.0,-0.05,0.0
1762639168.6632352,1921.0,-0.01,0.0
1762639168.713525,1937.0,-0.04,0.0
1762639168.763338,1956.0,0.06,0.0
1762639168.812021,1952.0,0.03,0.0
1762639168.864235,1935.0,-0.0,0.0
1762639168.960984,1921.0,-0.03,0.0
1762639169.0109591,1955.0,0.04,0.0
1762639169.06102,1975.0,-0.01,0.0
1762639169.110961,1984.0,0.02,0.0
1762639169.160981,1959.0,0.0,0.0
1762639169.211,1946.0,-0.05,0.0
1762639169.3111,1951.0,-0.05,0.0
1762639169.361021,1973.0,-0.09,0.0
1762639169.4109929,1998.0,-0.01,0.0
1762639169.461032,2006.0,0.01,0.0
1762639169.5112169,2005.0,-0.0,0.0
1762639169.561652,1997.0,-0.01,0.0
1762639169.6118999,1981.0,-0.01,0.0
1762639169.661994,1954.0,-0.02,0.0
1762639169.761975,1937.0,-0.0,0.0
1762639169.811935,1947.0,0.02,0.0
1762639169.861969,1959.0,0.02,0.0
1762639169.911934,1943.0,-0.04,0.0
1762639169.961972,1895.0,-0.09,0.0
1762639170.0119622,1868.0,-0.1,0.0
1762639170.062031,1883.0,-0.06,0.0
1762639170.1620212,1922.0,0.0,0.0
1762639170.211935,1938.0,0.09,0.0
1762639170.260139,1929.0,-0.04,0.0
1762639170.311392,1911.0,0.0,0.0
1762639170.36137,1898.0,-0.04,0.0
1762639170.411365,1910.0,-0.05,0.0
1762639170.461356,1948.0,-0.06,0.0
1762639170.563036,1962.0,-0.04,0.0
