Time,Pressure,PPGSignal,BL_W20_T2.5_D10_C2,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W80_T2.5_D10_C2
20067,-0.16,-64,0,0,0,0
20103,-0.14,-65,0,0,0,0
20139,-0.18,-70,0,0,0,0
20175,-0.04,-77,0,0,0,0
20211,-0.19,-80,0,0,0,0
20247,-0.05,-76,0,0,0,0
20283,-0.07,-70,0,0,0,0
20319,-0.11,-66,0,0,0,0
20355,-0.18,-66,0,0,0,0
20391,-0.11,-66,0,0,0,0
20427,-0.15,-67,0,0,0,0
20463,-0.23,-68,0,0,0,0
20499,-0.18,-71,0,0,0,0
20535,-0.14,-75,0,0,0,0
20571,-0.15,-79,0,0,0,0
20607,-0.19,-87,0,0,0,0
20643,-0.19,-93,0,0,0,0
20679,-0.14,-90,0,0,0,0
20715,-0.15,-77,0,0,0,0
20751,-0.21,-62,0,0,0,0
20787,-0.14,-54,0,0,0,0
20823,-0.15,-55,0,0,0,0
20859,-0.18,-64,0,0,0,0
20895,-0.20,-74,0,0,0,0
20931,-0.10,-80,0,0,0,0
20967,-0.15,-80,0,0,0,0
21003,-0.17,-74,0,0,0,0
21039,-0.26,-70,0,0,0,0
21075,-0.16,-72,0,0,0,0
21111,-0.17,-79,0,0,0,0
21147,-0.13,-85,0,0,0,0
21183,-0.15,-87,0,0,0,0
21219,-0.22,-84,0,0,0,0
21255,-0.16,-77,0,0,0,0
21291,-0.17,-70,0,0,0,0
21327,-0.21,-70,0,0,0,0
21363,-0.19,-74,0,0,0,0
21399,-0.18,-76,0,0,0,0
21435,-0.12,-74,0,0,0,0
21471,-0.22,-73,0,0,0,0
21507,-0.19,-74,0,0,0,0
21543,-0.18,-77,0,0,0,0
21579,-0.09,-79,0,0,0,0
21615,-0.14,-81,0,0,0,0
21651,-0.09,-82,0,0,0,0
21687,-0.11,-81,0,0,0,0
21723,-0.20,-80,0,0,0,0
21759,-0.19,-79,0,0,0,0
21795,-0.20,-78,0,0,0,0
21831,-0.18,-79,0,0,0,0
21867,-0.15,-79,0,0,0,0
21903,-0.17,-81,0,0,0,0
21939,-0.16,-86,0,0,0,0
21975,-0.15,-94,0,0,0,0
