Time,Pressure,PPGSignal,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W40_T3.0_D10_C2,BL_W40_T2.0_D10_C2,BL_W40_T2.5_D15_C2,BL_W40_T2.5_D5_C2,BL_W40_T2.5_D10_C3,BL_W40_T2.5_D10_C1,BL_W20_T2.5_D10_C2,BL_W80_T2.5_D10_C2,DRV_W5_T20,DRV_W10_T20,DRV_W5_T30,DRV_W5_T10,THR_100,THR_150,THR_200,ENS_3of5
15327,-0.22,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15363,-0.14,2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15399,-0.23,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15435,-0.22,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15471,-0.15,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15507,-0.22,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15543,-0.26,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15579,-0.20,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15615,-0.18,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15651,-0.17,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15687,-0.21,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15723,-0.24,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15759,-0.16,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15795,-0.20,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15831,-0.22,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15867,-0.23,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15903,-0.21,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15939,-0.22,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15975,-0.23,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16011,-0.19,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16047,-0.18,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16083,-0.15,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16119,-0.19,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16155,-0.23,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16191,-0.11,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16227,-0.28,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16263,-0.18,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16299,-0.22,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16335,-0.24,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16371,-0.20,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16407,-0.22,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16443,-0.22,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16479,-0.20,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16515,-0.24,3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16551,-0.24,3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16587,-0.14,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16623,-0.19,3029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16659,-0.16,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16695,-0.06,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16731,-0.13,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16767,-0.12,3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803,-0.11,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16839,-0.28,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16875,-0.17,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16911,-0.22,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16947,-0.19,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16983,-0.19,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17019,-0.20,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17055,-0.10,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17091,-0.17,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17127,-0.23,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,-0.20,3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17199,-0.16,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17235,-0.19,3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17271,-0.20,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17307,-0.11,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
