Time,Pressure,PPGSignal,rawPPGSignal,AUS_PULSE_HEARD,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2,
14828,-0.26,198,3054,0,0,0,0,0,0,0,0,0
14863,-0.14,813,3087,0,0,0,0,0,0,0,0,0
14899,-0.19,1603,3071,0,0,0,0,0,0,0,0,0
14935,-0.21,2207,3057,0,0,0,0,0,0,0,0,0
14971,-0.23,2524,3053,0,0,0,0,0,0,0,0,0
15007,-0.17,2593,3024,0,0,0,0,0,0,0,0,0
15043,-0.14,2498,3005,0,0,0,0,0,0,0,0,0
15079,-0.24,2322,3008,0,0,0,0,0,0,0,0,0
15115,-0.12,2128,3027,0,0,0,0,0,0,0,0,0
15151,-0.18,1951,3037,0,0,0,0,0,0,0,0,0
15187,-0.18,1803,3019,0,0,0,0,0,0,0,0,0
15223,-0.11,1677,3018,0,0,0,0,0,0,0,0,0
15259,-0.17,1566,3017,0,0,0,0,0,0,0,0,0
15295,-0.13,1471,3062,0,0,0,0,0,0,0,0,0
15331,-0.19,1396,3130,0,0,0,0,0,0,0,0,0
15367,-0.22,1341,3149,0,0,0,0,0,0,0,0,0
15403,-0.18,1291,3117,0,0,0,0,0,0,0,0,0
15439,-0.17,1230,3071,0,0,0,0,0,0,0,0,0
15475,-0.2,1153,3050,0,0,0,0,0,0,0,0,0
15511,-0.16,1068,3051,0,0,0,0,0,0,0,0,0
15547,-0.18,985,3047,0,0,0,0,0,0,0,0,0
15583,-0.23,910,3029,0,0,0,0,0,0,0,0,0
15619,-0.15,844,3045,0,0,0,0,0,0,0,0,0
15655,-0.18,785,3035,0,0,0,0,0,0,0,0,0
15691,-0.16,733,3036,0,0,0,0,0,0,0,0,0
15727,-0.2,685,3027,0,0,0,0,0,0,0,0,0
15763,-0.13,640,3024,0,0,0,0,0,0,0,0,0
15799,-0.18,599,3022,0,0,0,0,0,0,0,0,0
15835,-0.17,560,3033,0,0,0,0,0,0,0,0,0
15871,-0.18,526,3043,0,0,0,0,0,0,0,0,0
15907,-0.19,499,3053,0,0,0,0,0,0,0,0,0
15943,-0.17,475,3037,0,0,0,0,0,0,0,0,0
15979,-0.2,449,3031,0,0,0,0,0,0,0,0,0
16015,-0.22,422,3029,0,0,0,0,0,0,0,0,0
16051,-0.17,397,3070,0,0,0,0,0,0,0,0,0
16087,-0.24,381,3119,0,0,0,0,0,0,0,0,0
16123,-0.22,377,3138,0,0,0,0,0,0,0,0,0
16159,-0.2,378,3118,0,0,0,0,0,0,0,0,0
16195,-0.17,370,3088,0,0,0,0,0,0,0,0,0
16231,-0.12,347,3069,0,0,0,0,0,0,0,0,0
16267,-0.21,314,3049,0,0,0,0,0,0,0,0,0
16303,-0.2,278,3054,0,0,0,0,0,0,0,0,0
16339,-0.12,246,3053,0,0,0,0,0,0,0,0,0
16375,-0.26,221,3034,0,0,0,0,0,0,0,0,0
16411,-0.19,200,3030,0,0,0,0,0,0,0,0,0
16447,-0.22,182,3035,0,0,0,0,0,0,0,0,0
16483,-0.18,168,3040,0,0,0,0,0,0,0,0,0
16519,-0.23,156,3037,0,0,0,0,0,0,0,0,0
16555,-0.21,148,3063,0,0,0,0,0,0,0,0,0
16591,-0.29,142,3051,0,0,0,0,0,0,0,0,0
16627,-0.18,137,3055,0,0,0,0,0,0,0,0,0
16663,-0.25,129,3027,0,0,0,0,0,0,0,0,0
16699,-0.57,117,3022,0,0,0,0,0,0,0,0,0
16735,-0.19,105,3044,0,0,0,0,0,0,0,0,0
16771,-0.14,101,3103,0,0,0,0,0,0,0,0,0
16807,-0.24,111,3127,0,0,0,0,0,0,0,0,0
16843,-0.1,127,3110,0,0,0,0,0,0,0,0,0
16879,-0.18,134,3057,0,0,0,0,0,0,0,0,0
16915,-0.19,126,3050,0,0,0,0,0,0,0,0,0
16951,-0.18,105,3026,0,0,0,0,0,0,0,0,0
16987,-0.16,80,3024,0,0,0,0,0,0,0,0,0
17023,-0.19,57,3023,0,0,0,0,0,0,0,0,0
17059,-0.17,42,3034,0,0,0,0,0,0,0,0,0
17095,-0.3,35,3039,0,0,0,0,0,0,0,0,0
17131,-0.26,35,3040,0,0,0,0,0,0,0,0,0
17167,-0.37,36,3024,0,0,0,0,0,0,0,0,0
17203,-0.12,33,3022,0,0,0,0,0,0,0,0,0
17239,-0.15,29,3035,0,0,0,0,0,0,0,0,0
17275,-0.2,28,3058,0,0,0,0,0,0,0,0,0
17311,-0.17,31,3031,0,0,0,0,0,0,0,0,0
17347,-0.15,32,3027,0,0,0,0,0,0,0,0,0
17383,-0.2,30,3037,0,0,0,0,0,0,0,0,0
17419,-0.16,31,3071,0,0,0,0,0,0,0,0,0
17455,-0.21,41,3130,0,0,0,0,0,0,0,0,0
17491,-0.17,62,3140,0,0,0,0,0,0,0,0,0
17527,-0.16,80,3094,0,0,0,0,0,0,0,0,0
17563,-0.07,83,3057,0,0,0,0,0,0,0,0,0
17599,-0.16,69,3041,0,0,0,0,0,0,0,0,0
17635,-0.18,47,3037,0,0,0,0,0,0,0,0,0
17671,-0.17,27,3050,0,0,0,0,0,0,0,0,0
17707,-0.22,15,3055,0,0,0,0,0,0,0,0,0
17743,-0.18,10,3056,0,0,0,0,0,0,0,0,0
17779,-0.15,8,3051,0,0,0,0,0,0,0,0,0
17815,-0.24,7,3025,0,0,0,0,0,0,0,0,0
17851,-0.12,3,3023,0,0,0,0,0,0,0,0,0
17887,-0.21,-3,3014,0,0,0,0,0,0,0,0,0
17923,-0.11,-9,3024,0,0,0,0,0,0,0,0,0
17959,-0.25,-13,3023,0,0,0,0,0,0,0,0,0
17995,-0.24,-14,3021,0,0,0,0,0,0,0,0,0
18031,-0.25,-15,3006,0,0,0,0,0,0,0,0,0
18067,-0.08,-16,3035,0,0,0,0,0,0,0,0,0
18103,-0.16,-8,3106,0,0,0,0,0,0,0,0,0
18139,-0.16,13,3155,0,0,0,0,0,0,0,0,0
18175,-0.16,45,3138,0,0,0,0,0,0,0,0,0
18211,-0.25,71,3115,0,0,0,0,0,0,0,0,0
18247,-0.2,79,3087,0,0,0,0,0,0,0,0,0
18283,-0.17,71,3069,0,0,0,0,0,0,0,0,0
18319,-0.13,53,3059,0,0,0,0,0,0,0,0,0
18355,-0.24,32,3047,0,0,0,0,0,0,0,0,0
18391,-0.22,13,3053,0,0,0,0,0,0,0,0,0
18427,-0.17,0,3053,0,0,0,0,0,0,0,0,0
18463,-0.25,-7,3042,0,0,0,0,0,0,0,0,0
18499,-0.19,-12,3055,0,0,0,0,0,0,0,0,0
18535,-0.13,-13,3031,0,0,0,0,0,0,0,0,0
18571,-0.13,-14,3047,0,0,0,0,0,0,0,0,0
18607,-0.13,-13,3054,0,0,0,0,0,0,0,0,0
18643,-0.2,-10,3053,0,0,0,0,0,0,0,0,0
18679,-0.13,-7,3041,0,0,0,0,0,0,0,0,0
18715,-0.14,-5,3041,0,0,0,0,0,0,0,0,0
18751,-0.2,-4,3059,0,0,0,0,0,0,0,0,0
18787,-0.21,3,3140,0,0,0,0,0,0,0,0,0
18823,-0.22,26,3194,0,0,0,0,0,0,0,0,0
18859,-0.15,59,3187,0,0,0,0,0,0,0,0,0
18895,-0.16,85,3121,0,0,0,0,0,0,0,0,0
18931,-0.13,89,3093,0,0,0,0,0,0,0,0,0
18967,-0.23,70,3068,0,0,0,0,0,0,0,0,0
19003,-0.22,41,3065,0,0,0,0,0,0,0,0,0
19039,-0.15,14,3050,0,0,0,0,0,0,0,0,0
19075,-0.26,-6,3055,0,0,0,0,0,0,0,0,0
19111,-0.23,-19,3049,0,0,0,0,0,0,0,0,0
19147,-0.27,-25,3054,0,0,0,0,0,0,0,0,0
19183,-0.18,-26,3037,0,0,0,0,0,0,0,0,0
19219,-0.23,-26,3042,0,0,0,0,0,0,0,0,0
19255,-0.2,-26,3041,0,0,0,0,0,0,0,0,0
19291,-0.21,-26,3034,0,0,0,0,0,0,0,0,0
19327,-0.19,-28,3021,0,0,0,0,0,0,0,0,0
19363,-0.16,-31,3033,0,0,0,0,0,0,0,0,0
19399,-0.16,-32,3041,0,0,0,0,0,0,0,0,0
19435,-0.24,-31,3029,0,0,0,0,0,0,0,0,0
19471,-0.17,-31,3003,0,0,0,0,0,0,0,0,0
19507,-0.19,-33,3026,0,0,0,0,0,0,0,0,0
19543,-0.15,-29,3102,0,0,0,0,0,0,0,0,0
19579,-0.21,-6,3184,0,0,0,0,0,0,0,0,0
19615,-0.18,33,3181,0,0,0,0,0,0,0,0,0
19651,-0.17,67,3105,0,0,0,0,0,0,0,0,0
19687,-0.15,75,3060,0,0,0,0,0,0,0,0,0
19723,-0.18,59,3054,0,0,0,0,0,0,0,0,0
19759,-0.16,33,3049,0,0,0,0,0,0,0,0,0
19795,-0.22,9,3069,0,0,0,0,0,0,0,0,0
19831,-0.19,-2,3095,0,0,0,0,0,0,0,0,0
19867,-0.21,-2,3095,0,0,0,0,0,0,0,0,0
19903,-0.18,2,3071,0,0,0,0,0,0,0,0,0
19939,-0.15,4,3052,0,0,0,0,0,0,0,0,0
19975,-0.13,-1,3031,0,0,0,0,0,0,0,0,0
20011,-0.07,-12,3037,0,0,0,0,0,0,0,0,0
20047,-0.13,-23,3041,0,0,0,0,0,0,0,0,0
20083,-0.23,-27,3039,0,0,0,0,0,0,0,0,0
20119,-0.23,-27,3036,0,0,0,0,0,0,0,0,0
20155,-0.19,-25,3056,0,0,0,0,0,0,0,0,0
20191,-0.28,-19,3061,0,0,0,0,0,0,0,0,0
20227,-0.12,-10,3106,0,0,0,0,0,0,0,0,0
20263,-0.26,11,3213,0,0,0,0,0,0,0,0,0
20299,-0.18,51,3248,0,0,0,0,0,0,0,0,0
20335,-0.26,93,3202,0,0,0,0,0,0,0,0,0
20371,-0.24,114,3135,0,0,0,0,0,0,0,0,0
20407,-0.2,104,3071,0,0,0,0,0,0,0,0,0
20443,-0.2,70,3042,0,0,0,0,0,0,0,0,0
20479,-0.16,29,3055,0,0,0,0,0,0,0,0,0
20515,-0.23,-5,3058,0,0,0,0,0,0,0,0,0
20551,-0.19,-28,3031,0,0,0,0,0,0,0,0,0
20587,-0.23,-42,3033,0,0,0,0,0,0,0,0,0
20623,-0.19,-48,3056,0,0,0,0,0,0,0,0,0
20659,-0.19,-45,3071,0,0,0,0,0,0,0,0,0
20695,-0.18,-33,3071,0,0,0,0,0,0,0,0,0
20731,-0.19,-19,3086,0,0,0,0,0,0,0,0,0
20767,-0.18,-3,3122,0,0,0,0,0,0,0,0,0
20803,-0.15,11,3120,0,0,0,0,0,0,0,0,0
20839,-0.18,20,3045,0,0,0,0,0,0,0,0,0
20875,-0.13,11,3023,0,0,0,0,0,0,0,0,0
20911,-0.21,-7,3059,0,0,0,0,0,0,0,0,0
20947,-0.18,-17,3092,0,0,0,0,0,0,0,0,0
20983,-0.15,-15,3071,0,0,0,0,0,0,0,0,0
21019,-0.18,-8,3083,0,0,0,0,0,0,0,0,0
21055,-0.18,-1,3071,0,0,0,0,0,0,0,0,0
21091,-0.18,0,3041,0,0,0,0,0,0,0,0,0
21127,-0.18,-7,2987,0,0,0,0,0,0,0,0,0
21163,-0.23,-26,3004,0,0,0,0,0,0,0,0,0
21199,-0.17,-44,3033,0,0,0,0,0,0,0,0,0
21235,-0.12,-48,3045,0,0,0,0,0,0,0,0,0
21271,-0.18,-43,3024,0,0,0,0,0,0,0,0,0
