Time,Pressure,PPGSignal,BL_W20_T2.50_D5_C2,BL_W40_T2.50_D5_C2,BL_W60_T2.50_D5_C2,BL_W10_T2.50_D5_C2,BL_W20_T1.00_D5_C2,BL_W20_T1.50_D5_C1,BL_W10_T1.00_D5_C1,BL_W20_T2.50_D5_C1
14828,-0.25,177,0,0,0,0,0,0,0,0
14863,-0.16,813,0,0,0,0,0,0,0,0
14899,-0.18,1789,0,0,0,0,0,0,0,0
14935,-0.16,2675,0,0,0,0,0,0,0,0
14971,-0.19,3227,0,0,0,0,0,0,0,0
15007,-0.14,3368,0,0,0,0,0,0,0,0
15043,-0.14,2977,0,0,0,0,0,0,0,0
15079,-0.13,2099,0,0,0,0,0,0,0,0
15115,-0.16,1198,0,0,0,0,0,0,0,0
15151,-0.17,763,0,0,0,0,0,0,0,0
15187,-0.14,862,0,0,0,0,0,0,0,0
15223,-0.08,1195,0,0,0,0,0,0,0,0
15259,-0.13,1412,0,0,0,0,0,0,0,0
15295,-0.15,1370,0,0,0,0,0,0,0,0
15331,-0.24,1147,0,0,0,0,0,0,0,0
15367,-0.15,893,0,0,0,0,0,0,0,0
15403,-0.15,709,0,0,0,0,0,0,0,0
15439,-0.20,618,0,0,0,0,0,0,0,0
15475,-0.21,593,0,0,0,0,0,0,0,0
15511,-0.17,672,0,0,0,0,0,0,0,0
15547,-0.19,937,0,0,0,0,0,0,0,0
15583,-0.10,1321,0,0,0,0,0,0,0,0
15619,-0.13,1653,0,0,0,0,0,0,0,0
15655,-0.10,1841,0,0,0,0,0,0,0,0
15691,-0.27,1747,0,0,0,0,0,0,0,0
15727,-0.18,1178,0,0,0,0,0,0,0,0
15763,-0.19,314,0,0,0,0,0,0,0,0
15799,-0.12,-334,0,0,0,0,0,0,0,0
15835,-0.15,-457,0,0,0,0,0,0,0,0
15871,-0.17,-161,0,0,0,0,0,0,0,0
15907,-0.12,214,0,0,0,0,0,0,0,0
15943,-0.17,404,0,0,0,0,0,0,0,0
15979,-0.11,358,0,0,0,0,0,0,0,0
16015,-0.19,177,0,0,0,0,0,0,0,0
16051,-0.15,0,0,0,0,0,0,0,0,0
16087,-0.16,-86,0,0,0,0,0,0,0,0
16123,-0.08,-76,0,0,0,0,0,0,0,0
16159,-0.15,-17,0,0,0,0,0,0,0,0
16195,-0.24,68,0,0,0,0,0,0,0,0
16231,-0.14,271,0,0,0,0,0,0,0,0
16267,-0.19,641,0,0,0,0,0,0,0,0
16303,-0.14,1037,0,0,0,0,0,0,0,0
