Time,Pressure,PPGSignal,rawPPGSignal
8288,-2.43,2609,168,1
8316,-2.33,2607,682,1
8344,-1.85,3225,1363,1
8371,-1.55,4095,2006,1
8398,-1.24,4095,2541,1
8425,-1.00,4095,2864,1
8452,-0.73,4095,2932,1
8479,-0.63,4095,2799,1
8506,-0.22,3526,2509,1
8533,-0.22,990,1928,1
8560,0.08,263,935,1
8587,0.30,650,-192,1
8614,0.47,1535,-990,1
8641,0.67,2416,-1226,1
8668,0.75,2970,-961,1
8695,0.88,3114,-442,1
8722,1.26,2917,52,1
8749,1.21,2639,337,1
8776,1.45,2405,366,1
8803,1.72,2293,209,1
8830,1.91,2349,-20,1
8857,1.92,2446,-221,1
8884,2.14,2515,-344,1
8911,2.36,2559,-391,1
8938,2.46,2619,-387,1
8965,2.63,2624,-363,1
8992,2.92,2630,-340,1
9019,3.01,2620,-332,1
9046,3.11,2854,-326,1
9073,3.42,4095,-219,1
9100,3.55,4095,57,1
9127,3.60,4095,379,1
9154,3.95,4095,598,1
9181,4.15,4095,681,1
9208,4.08,4095,655,1
9235,4.29,1994,426,1
9262,4.62,425,-212,1
9289,4.63,339,-1171,1
9316,4.85,1007,-2021,1
9343,5.02,1953,-2401,1
9370,5.09,2705,-2230,1
9397,5.43,3063,-1677,1
9424,5.36,3081,-1016,1
9451,5.50,2795,-490,1
9478,5.75,2498,-221,1
9505,5.77,2306,-199,1
9532,6.01,2257,-325,1
9559,6.31,2326,-481,1
9586,6.20,2457,-583,1
9613,6.39,2559,-595,1
9640,6.50,2638,-534,1
9667,6.60,2645,-435,1
9694,6.95,2637,-340,1
9721,6.93,2618,-271,1
9748,7.22,2595,-234,1
9775,7.14,2690,-213,1
9802,7.44,4095,-99,1
9829,7.66,4095,202,1
9856,7.61,4095,568,1
9883,7.76,4095,833,1
9910,8.07,4095,956,1
9937,8.04,4095,962,1
9964,8.28,1727,739,1
9991,8.25,319,76,1
10018,8.49,349,-895,1
10045,8.81,1111,-1715,1
10072,8.83,2047,-2035,1
10099,8.83,2783,-1805,1
10126,9.18,3158,-1212,1
10153,9.41,3071,-538,1
10180,9.27,2806,-23,1
10207,9.46,2523,219,1
10234,9.75,2343,218,1
10261,9.79,2311,78,1
10288,10.00,2378,-84,1
10315,10.08,2467,-189,1
10342,10.11,2527,-215,1
10369,10.31,2583,-179,1
10396,10.65,2605,-113,1
10423,10.61,2617,-42,1
10450,10.80,2609,13,1
10477,11.15,2611,50,1
10504,11.14,2598,68,1
10531,11.17,3083,105,1
10558,11.34,4095,265,1
10585,11.60,4095,579,1
10612,11.44,4095,910,1
10639,11.72,4095,1127,1
10666,11.81,4095,1208,1
10693,11.95,2490,1078,1
10720,12.06,470,540,1
10747,12.21,160,-392,1
10774,12.58,862,-1313,1
10801,12.50,1894,-1788,1
10828,12.69,2783,-1673,1
10855,12.71,3280,-1115,1
10882,12.82,3271,-407,1
10909,13.11,2994,172,1
10936,13.15,2645,469,1
10963,13.19,2431,485,1
10990,13.39,2352,326,1
11017,13.68,2367,119,1
11044,13.63,2443,-42,1
11071,13.69,2517,-121,1
11098,13.99,2589,-122,1
11125,14.22,2645,-70,1
11152,14.10,2657,3,1
11179,14.31,2672,69,1
11206,14.62,2672,114,1
11233,14.61,2755,144,1
11260,14.60,4095,254,1
11287,14.83,4095,535,1
11314,14.97,4095,871,1
11341,15.04,4095,1106,1
11368,15.28,4095,1204,1
11395,15.16,3979,1180,1
11422,15.45,1123,883,1
11449,15.44,309,118,1
11476,15.59,683,-864,1
11503,15.62,1534,-1568,1
11530,15.73,2385,-1732,1
11557,16.13,2997,-1398,1
11584,16.18,3267,-790,1
11611,16.11,3141,-173,1
11638,16.37,2841,251,1
11665,16.63,2591,409,1
11692,16.45,2479,352,1
11719,16.67,2422,188,1
11746,17.08,2416,14,1
11773,17.06,2477,-111,1
11800,17.04,2533,-168,1
11827,17.12,2605,-160,1
11854,17.36,2656,-108,1
11881,17.60,2655,-41,1
11908,17.59,2672,17,1
11935,17.62,2657,58,1
11962,17.92,2648,77,1
11989,18.14,2960,99,1
12016,17.99,4095,227,1
12043,18.02,4095,519,1
12070,18.34,4095,847,1
12097,18.36,4095,1070,1
12124,18.57,4095,1158,1
12151,18.79,2992,1067,1
12178,18.87,814,622,1
12205,18.89,361,-225,1
12232,19.23,912,-1133,1
12259,19.19,1863,-1665,1
12286,19.40,2701,-1644,1
12313,19.63,3248,-1177,1
12340,19.58,3361,-519,1
12367,19.91,3131,62,1
12394,19.86,2806,400,1
12421,20.10,2527,461,1
12448,20.28,2352,320,1
12475,20.26,2315,95,1
12502,20.47,2367,-108,1
12529,20.60,2466,-229,1
12556,20.67,2555,-254,1
12583,21.00,2625,-207,1
12610,20.89,2662,-124,1
12637,21.13,2674,-36,1
12664,21.26,2669,33,1
12691,21.51,2659,75,1
12718,21.79,2646,90,1
12745,21.66,2919,106,1
12772,21.87,4095,226,1
12799,22.08,4095,514,1
12826,22.10,4095,843,1
12853,22.31,4095,1068,1
12880,22.54,4095,1160,1
12907,22.40,2559,1043,1
12934,22.68,684,533,1
12961,22.70,400,-348,1
12988,22.92,1047,-1217,1
13015,22.95,1991,-1669,1
13042,23.17,2810,-1572,1
13069,23.30,3333,-1059,1
13096,23.51,3349,-394,1
13123,23.44,3103,161,1
13150,23.78,2773,454,1
13177,23.66,2511,475,1
13204,24.06,2365,313,1
13231,23.99,2343,86,1
13258,24.16,2389,-108,1
13285,24.24,2480,-219,1
13312,24.39,2583,-240,1
13339,24.51,2657,-191,1
13366,24.56,2695,-103,1
13393,24.89,2719,-10,1
13420,24.86,2704,61,1
13447,25.17,3011,124,1
13474,25.16,4095,271,1
13501,25.39,4095,561,1
13528,25.36,4095,873,1
13555,25.62,4095,1080,1
13582,25.57,4095,1157,1
13609,25.67,2438,1024,1
13636,25.98,689,495,1
13663,25.85,461,-388,1
13690,26.20,1099,-1238,1
13717,26.23,2011,-1668,1
13744,26.28,2833,-1559,1
13771,26.33,3376,-1040,1
13798,26.54,3453,-368,1
13825,26.67,3153,198,1
13852,26.76,2803,497,1
13879,27.01,2530,512,1
13906,27.04,2375,335,1
13933,27.43,2352,92,1
13960,27.34,2418,-112,1
13987,27.72,2518,-224,1
14014,27.65,2610,-239,1
14041,27.94,2673,-185,1
14068,28.04,2727,-98,1
14095,28.29,2727,-10,1
14122,28.35,2859,65,1
14149,28.52,4095,211,1
14176,28.67,4095,504,1
14203,28.83,4095,832,1
14230,28.95,4095,1055,1
14257,29.16,4095,1145,1
14284,29.05,4095,1128,1
14311,29.26,1856,899,1
14338,29.50,642,263,1
14365,29.48,740,-642,1
14392,29.75,1520,-1382,1
14419,29.91,2383,-1644,1
14446,29.96,3043,-1406,1
14473,30.17,3367,-855,1
14500,30.20,3227,-253,1
14527,30.29,2919,179,1
14554,30.52,2602,346,1
14581,30.57,2368,279,1
14608,30.86,2299,83,1
14635,30.92,2341,-126,1
14662,31.11,2436,-267,1
14689,31.18,2559,-310,1
14716,31.23,2640,-267,1
14743,31.47,2676,-176,1
14770,31.62,2685,-77,1
14797,31.93,2677,-1,1
14824,32.05,3011,62,1
14851,32.12,4095,219,1
14878,32.26,4095,524,1
14905,32.31,4095,850,1
14932,32.52,4095,1068,1
14959,32.62,4095,1152,1
14986,32.86,4095,1130,1
15013,32.84,2931,969,1
15040,32.84,976,498,1
15067,33.20,528,-322,1
15094,33.30,1041,-1176,1
15121,33.56,1921,-1670,1
15148,33.61,2677,-1646,1
