Time,Pressure,PPGSignal,rawPPGSignal
30516,127.49,122,1901
30524,126.15,497,1906
30531,125.95,967,1909
30538,126.36,1310,1917
30545,126.89,1469,1934
30552,127.14,1472,1923
30559,127.67,1376,1936
30565,128.08,1230,1934
30572,128.44,1072,1936
30579,128.93,920,1932
30586,129.05,782,1919
30593,129.71,659,1931
30600,130.05,550,1925
30607,130.24,453,1926
30614,130.96,365,1923
30621,131.35,284,1919
30627,131.57,210,1925
30634,132.04,141,1918
30641,132.59,78,1924
30648,132.82,18,1918
30655,133.43,-36,1906
30662,133.85,-89,1917
30669,133.93,-137,1904
30676,134.39,-181,1909
30683,134.84,-220,1904
30690,134.89,-253,1909
30696,135.34,-282,1910
30703,135.95,-306,1903
30710,135.98,-328,1904
30717,136.43,-347,1898
30724,137.00,-364,1893
30731,137.05,-379,1888
30738,137.32,-393,1884
30745,138.02,-404,1887
30752,138.04,-413,1882
30759,138.19,-417,1895
30766,138.71,-417,1892
30773,138.90,-414,1892
30780,138.89,-410,1899
30787,139.38,-403,1893
30794,139.34,-395,1904
30800,139.43,-385,1911
30807,139.72,-373,1915
30814,139.69,-361,1919
30821,139.88,-350,1920
30828,140.05,-340,1923
30835,140.09,-331,1911
30842,140.13,-322,1920
30849,140.36,-313,1919
30856,140.39,-303,1915
30863,140.13,-294,1923
30870,140.35,-285,1917
30877,140.32,-275,1915
30884,140.04,-265,1923
30891,140.02,-254,1921
30897,139.93,-242,1913
30904,139.57,-232,1911
30911,139.18,-223,1914
30918,139.03,-215,1905
30925,138.97,-207,1914
30932,138.52,-198,1911
30939,138.67,-187,1907
30946,138.58,-176,1913
30953,137.99,-164,1913
30960,138.09,-152,1917
30967,137.94,-143,1905
30974,137.07,-135,1911
30981,137.07,-127,1911
30988,137.35,-118,1903
30995,136.77,-111,1911
31001,136.97,-104,1909
31008,137.49,-96,1911
31015,137.38,-88,1904
31022,137.97,-81,1909
31029,138.55,-74,1917
31036,138.79,-66,1904
31043,139.36,-59,1918
31050,139.71,-52,1907
31057,140.30,-46,1907
31064,140.77,-41,1911
31071,140.95,-37,1905
31078,141.54,-33,1908
31085,142.03,-29,1905
31092,142.30,-25,1916
31099,142.98,-21,1906
31105,143.49,-17,1903
31112,143.69,-13,1906
31119,144.32,-10,1904
31126,145.07,-5,1919
31133,145.25,-1,1911
31140,145.83,2,1909
31147,146.66,3,1904
31154,146.97,4,1898
31161,147.45,4,1903
31168,147.50,4,1900
31175,139.85,4,1901
31181,144.89,4,1893
31188,146.67,4,1887
31195,141.54,2,1897
31202,146.26,1,1888
31209,142.87,2,1898
31216,144.85,5,1894
31223,143.79,10,1898
31230,143.59,14,1904
31237,144.25,17,1904
31243,143.37,20,1904
31250,143.86,22,1904
31257,143.35,23,1907
31264,143.49,23,1904
31271,143.44,22,1901
31278,143.26,21,1904
31285,143.37,20,1904
31292,143.19,20,1919
31299,143.15,22,1915
31306,142.99,24,1909
31312,143.12,25,1918
31319,142.90,25,1905
31326,142.81,24,1910
31333,142.76,22,1905
31340,142.78,19,1907
31347,142.71,17,1904
31354,142.64,14,1898
31361,142.54,11,1902
31367,142.53,8,1894
31374,142.50,7,1900
31381,142.47,5,1898
31388,142.50,3,1889
31395,142.42,1,1895
31402,142.35,1,1888
31409,142.23,1,1903
31416,142.23,2,1899
31423,142.19,3,1902
31429,142.11,5,1908
31436,142.17,7,1904
31443,141.98,9,1909
31450,141.92,11,1904
31457,142.01,13,1904
31464,141.90,12,1901
31471,141.89,10,1901
31478,141.90,7,1905
31485,141.80,5,1903
31491,141.80,4,1911
31498,141.81,5,1904
31505,141.71,5,1904
31512,141.75,6,1914
31519,141.81,8,1907
31526,141.72,9,1918
31533,141.58,11,1906
31540,141.63,11,1909
31546,141.54,9,1905
31553,141.38,6,1903
31560,141.39,3,1902
31567,141.33,0,1904
31574,141.28,0,1904
31581,141.30,0,1906
31588,141.23,1,1904
31595,141.16,1,1906
31602,141.24,1,1907
31609,141.22,1,1914
31615,141.21,2,1905
31622,141.19,1,1899
31629,141.28,0,1903
31636,141.24,-2,1887
31643,141.16,-5,1898
31650,141.29,-7,1888
31657,141.32,-9,1893
31664,141.21,-11,1891
31671,141.18,-12,1898
31678,141.24,-9,1909
31685,141.13,-6,1905
31691,141.03,-1,1915
31698,141.04,2,1909
31705,141.08,5,1904
