time,pressure,rawPPG,ppg
8300,-0.28,2834,183
8336,-0.21,2922,750
8372,-0.22,2958,1467
8408,-0.25,2981,2001
8444,-0.22,2975,2257
8480,-0.21,2957,2271
8516,-0.29,2954,2123
8552,-0.22,2999,1897
8588,-0.20,2999,1655
8624,-0.28,2971,1425
8660,-0.17,2944,1213
8696,-0.16,2935,1017
8732,-0.22,2971,843
8768,-0.13,2981,693
8804,-0.22,2923,559
8840,-0.19,2933,432
8876,-0.26,2965,314
8912,-0.22,2979,211
8948,-0.21,2970,121
8984,-0.17,2943,35
9020,-0.21,2947,-49
9056,-0.19,2966,-129
9092,-0.21,2959,-200
9128,-0.20,2951,-262
9164,-0.22,2941,-320
9200,-0.20,2959,-373
9236,-0.11,2939,-418
9272,-0.19,2966,-456
9308,-0.15,2981,-487
9344,-0.24,2965,-512
9380,-0.27,2961,-533
9416,-0.16,3004,-551
9452,-0.22,2983,-563
9488,-0.22,2966,-573
9524,-0.22,2977,-583
9560,-0.20,2978,-593
9596,-0.30,2950,-601
9632,-0.12,2951,-610
9668,-0.21,2938,-618
9704,-0.18,2902,-626
9740,-0.23,2934,-632
9776,-0.25,2960,-629
9812,-0.31,2960,-614
9848,-0.21,2961,-595
9884,-0.21,2975,-574
9920,-0.18,3011,-548
9956,-0.27,2993,-521
9992,-0.16,2960,-499
10028,-0.21,2963,-487
10064,-0.14,2960,-479
10100,-0.18,2944,-473
10136,-0.23,2945,-467
10172,-0.21,2969,-456
10208,-0.22,2972,-437
10244,-0.22,2957,-416
10280,-0.16,2960,-395
10316,-0.25,2969,-375
10352,-0.22,2979,-356
10388,-0.23,2967,-336
10424,-0.18,2963,-317
10460,-0.26,2960,-301
10496,-0.26,2938,-288
10532,-0.24,2963,-279
10568,-0.25,2965,-268
10604,-0.12,2959,-252
10640,-0.15,2966,-233
10676,-0.24,2960,-214
10712,-0.15,2960,-197
10748,-0.13,2967,-182
10784,-0.15,2971,-167
10820,-0.21,2945,-155
10856,-0.16,2958,-144
10892,-0.17,2960,-135
10928,-0.12,2966,-125
10964,-0.20,2961,-114
11000,-0.21,2949,-103
11036,-0.16,2914,-96
11072,-0.24,2915,-95
11108,-0.22,2953,-95
11144,-0.19,2971,-84
11180,-0.20,2985,-66
11216,-0.18,2967,-46
11252,-0.26,2971,-30
11288,-0.15,2992,-18
11324,-0.19,2969,-7
11360,-0.15,2960,-2
11396,-0.15,2960,-3
11432,-0.17,2975,-4
11468,-0.21,2969,-3
11504,-0.22,2983,0
11540,-0.14,2975,7
11576,-0.10,2947,12
11612,-0.19,2928,10
11648,-0.24,2939,4
11684,-0.19,2955,0
11720,-0.22,2974,1
11756,-0.19,2976,8
11792,-0.22,2960,17
11828,-0.14,2965,23
11864,-0.20,2963,27
