time,pressure,rawPPG,ppg
8300,-0.23,2858,186
8336,-0.17,2960,761
8372,-0.26,2977,1488
8408,-0.15,2981,2023
8444,-0.22,2988,2274
8480,-0.20,2977,2282
8516,-0.25,2963,2130
8552,-0.17,2960,1897
8588,-0.24,2960,1643
8624,-0.10,2970,1402
8660,-0.17,2961,1190
8696,-0.17,2942,1002
8732,-0.15,2931,832
8768,-0.27,2960,681
8804,-0.18,2960,549
8840,-0.23,2959,430
8876,-0.22,2959,320
8912,-0.22,2948,217
8948,-0.24,2960,119
8984,-0.23,2966,29
9020,-0.22,2954,-52
9056,-0.23,2955,-128
9092,-0.19,2953,-199
9128,-0.27,2957,-264
9164,-0.26,2954,-322
9200,-0.16,2960,-372
9236,-0.16,2950,-416
9272,-0.19,2943,-455
9308,-0.23,2951,-490
9344,-0.23,2960,-519
9380,-0.20,2959,-543
9416,-0.23,2953,-562
9452,-0.20,2958,-578
9488,-0.16,2958,-592
9524,-0.19,2970,-601
9560,-0.20,2974,-605
9596,-0.19,2965,-606
9632,-0.22,2973,-605
9668,-0.16,2957,-604
9704,-0.23,2949,-605
9740,-0.17,2954,-606
9776,-0.21,2956,-602
9812,-0.20,2965,-593
9848,-0.16,2957,-581
9884,-0.23,2935,-569
9920,-0.18,2960,-558
9956,-0.20,2965,-545
9992,-0.20,2945,-528
10028,-0.25,2960,-512
10064,-0.16,2977,-495
10100,-0.19,2970,-475
10136,-0.19,2960,-455
10172,-0.13,2959,-438
10208,-0.25,2956,-422
10244,-0.24,2957,-407
10280,-0.12,2958,-392
10316,-0.16,2957,-376
10352,-0.13,2961,-360
10388,-0.18,2960,-342
10424,-0.20,2960,-323
10460,-0.16,2931,-305
10496,-0.23,2938,-295
10532,-0.20,2942,-289
10568,-0.24,2949,-277
10604,-0.22,2963,-257
10640,-0.23,2970,-232
10676,-0.20,2960,-208
10712,-0.18,2959,-188
10748,-0.21,2951,-172
10784,-0.17,2953,-160
10820,-0.19,2958,-149
10856,-0.18,2959,-139
10892,-0.21,2961,-129
10928,-0.25,2950,-119
10964,-0.21,2944,-110
11000,-0.22,2945,-102
11036,-0.22,2958,-94
11072,-0.29,2960,-83
11108,-0.19,2965,-71
11144,-0.26,2955,-59
11180,-0.25,2967,-49
11216,-0.23,2960,-40
11252,-0.23,2973,-31
11288,-0.20,2983,-22
11324,-0.21,2956,-14
11360,-0.22,2960,-9
11396,-0.22,2961,-7
11432,-0.22,2944,-8
11468,-0.19,2944,-10
11504,-0.19,2955,-11
11540,-0.21,2953,-8
11576,-0.16,2961,-3
11612,-0.20,2974,3
11648,-0.27,2966,11
11684,-0.26,2961,17
11720,-0.29,2951,19
11756,-0.25,2960,18
11792,-0.14,2954,17
11828,-0.24,2960,16
11864,-0.22,2969,18
11900,-0.19,2962,21
11936,-0.25,2959,25
11972,-0.16,2950,26
12008,-0.11,2953,27
12044,-0.17,2943,25
12080,-0.22,2947,21
12116,-0.18,2951,19
12152,-0.23,2960,19
12188,-0.19,2960,21
12224,-0.20,2954,23
12260,-0.29,2959,24
12296,-0.21,2981,25
12332,-0.23,2983,30
12368,-0.21,2948,35
12404,-0.25,2942,33
12440,-0.21,2959,26
12476,-0.20,2971,23
12512,-0.23,2960,23
12548,-0.24,2960,24
12584,-0.25,2961,23
12620,-0.19,2962,23
12656,-0.20,2951,21
12692,-0.23,2949,17
12728,-0.23,2963,15
12764,-0.23,2962,14
12800,-0.22,2960,14
12836,-0.16,2964,15
12872,-0.18,2963,17
12908,-0.17,2959,17
12944,-0.20,2964,16
12980,-0.15,2963,16
13016,-0.25,2957,14
13052,-0.14,2960,12
13088,-0.18,2944,9
13124,-0.18,2947,5
13160,-0.14,2960,2
13196,-0.14,2959,2
13232,-0.08,2969,4
13268,-0.15,2983,9
13304,-0.22,2959,13
13340,-0.20,2943,13
13376,-0.17,2957,8
13412,-0.18,2958,2
13448,-0.14,2956,-2
13484,-0.16,2956,-3
13520,-0.15,2966,-2
13556,-0.22,2966,1
13592,-0.18,2974,5
13628,-0.20,2977,9
13664,-0.13,2976,14
13700,-0.19,2959,16
13736,-0.28,2945,16
13772,-0.18,2929,9
13808,-0.18,2939,-2
13844,-0.16,2977,-10
13880,-0.16,2979,-9
13916,-0.19,2973,-1
13952,-0.20,2943,2
13988,-0.20,2939,1
14024,-0.16,2948,-3
14060,-0.22,2965,-6
14096,-0.16,2965,-6
14132,-0.15,2960,-3
14168,-0.18,2959,-1
14204,-0.16,2970,0
14240,-0.20,2981,3
14276,-0.17,2962,6
14312,-0.27,2925,4
14348,-0.20,2934,-4
14384,-0.16,2937,-13
14420,-0.29,2965,-16
14456,-0.23,2974,-12
14492,-0.25,2967,-4
14528,-0.15,2959,2
14564,-0.24,2944,4
14600,-0.14,2945,1
14636,-0.22,2946,-3
14672,-0.16,2967,-6
14708,-0.24,2957,-5
14744,-0.16,2947,-5
14780,-0.20,2922,-8
14816,-0.19,2927,-14
14852,-0.25,2951,-19
14888,-0.26,2963,-17
14924,-0.16,2970,-8
14960,-0.12,2979,3
14996,-0.21,2951,12
15032,-0.21,2928,12
15068,-0.23,2933,5
15104,-0.15,2955,-2
15140,-0.19,2974,-4
15176,-0.19,2962,0
15212,-0.15,2957,6
15248,-0.18,2958,8
15284,-0.21,2960,7
15320,-0.24,2955,5
15356,-0.17,2959,3
15392,-0.14,2947,2
15428,-0.22,2962,1
15464,-0.19,2975,3
15500,-0.17,2966,8
15536,-0.14,2932,8
15572,-0.16,2948,5
15608,-0.11,2970,1
15644,-0.20,2978,3
15680,-0.17,2961,6
15716,-0.17,2949,8
15752,-0.20,2957,6
15788,-0.21,2961,2
15824,-0.14,2967,1
15860,-0.18,2955,4
15896,-0.20,2961,8
15932,-0.20,2945,6
15968,-0.24,2946,1
16004,-0.19,2944,-4
16040,-0.19,2963,-8
16076,-0.13,2971,-7
16112,-0.23,2951,-5
16148,-0.21,2954,-3
16184,-0.18,2960,-3
16220,-0.19,2960,-2
16256,-0.14,2976,0
16292,-0.16,2981,4
16328,-0.18,2960,8
16364,-0.17,2945,8
16400,-0.14,2951,2
16436,-0.18,2962,-3
16472,-0.26,2960,-5
16508,-0.19,2953,-5
16544,-0.28,2950,-4
16580,-0.25,2958,-4
16616,-0.24,2957,-3
16652,-0.23,2958,-2
16688,-0.18,2946,-3
16724,-0.20,2951,-5
16760,-0.26,2975,-4
16796,-0.22,2978,0
16832,-0.26,2967,6
16868,-0.19,2954,8
16904,-0.13,2946,4
16940,-0.20,2950,-1
16976,-0.16,2929,-7
17012,-0.19,2935,-13
17048,-0.18,2953,-16
