Time,Pressure,PPGSignal,rawPPGSignal
8786,-0.15,2959,190,1
8813,0.18,3018,777,1
8841,-0.12,3025,1518,1
8868,0.23,2992,2060,1
8895,2.19,2977,2305,1
8922,1.54,2981,2299,1
8949,0.16,2974,2134,1
8976,-0.69,2977,1895,1
9003,1.93,2963,1640,1
9030,2.60,2957,1396,1
9057,1.57,2962,1178,1
9084,-1.00,2969,989,1
9111,-1.98,2977,826,1
9138,-1.09,2983,684,1
9165,0.51,2971,557,1
9192,1.14,2970,438,1
9219,0.57,2992,326,1
9246,-0.81,3003,223,1
9273,-1.28,2995,130,1
9300,-0.85,3002,44,1
9327,0.19,3018,-35,1
9354,0.47,3013,-108,1
9381,-0.02,2987,-177,1
9408,-0.11,2985,-246,1
9435,1.89,2992,-311,1
9462,-0.91,2995,-367,1
9489,-2.14,2999,-414,1
9516,-0.47,2987,-453,1
9543,0.67,2974,-490,1
9570,1.48,2969,-525,1
9597,0.58,2975,-557,1
9624,-0.72,2973,-582,1
9651,-1.13,2939,-603,1
9678,-0.48,2929,-624,1
9705,0.06,2935,-643,1
9732,0.08,2948,-654,1
9759,1.26,2961,-655,1
9786,3.01,2967,-648,1
9813,0.53,2963,-637,1
9840,-0.79,2961,-625,1
9867,-0.73,2948,-616,1
9894,0.79,2944,-608,1
9921,-0.27,2951,-601,1
9948,-0.99,2963,-592,1
9975,-0.75,2972,-578,1
10002,0.18,2987,-558,1
10029,0.47,2978,-537,1
10056,0.81,2983,-516,1
10083,2.54,2977,-497,1
10110,0.55,2981,-480,1
10137,-0.62,2979,-465,1
10164,-0.71,2974,-450,1
10191,0.96,2955,-436,1
10218,-0.42,2947,-424,1
10245,-0.77,2939,-414,1
10272,-0.98,2947,-404,1
10299,0.20,2955,-390,1
10326,0.49,2960,-372,1
10353,0.37,2971,-350,1
10380,1.81,2974,-325,1
10407,1.03,2978,-300,1
10434,-0.77,2974,-278,1
10461,-0.87,2971,-258,1
10488,0.79,2979,-241,1
10515,-0.30,2959,-227,1
10542,-1.06,2954,-216,1
10569,-0.74,2959,-207,1
10596,0.05,2960,-196,1
10623,0.55,2975,-184,1
10650,0.27,2971,-169,1
10677,0.95,2978,-154,1
10704,1.81,2970,-138,1
10731,-0.73,2956,-126,1
10758,-2.01,2954,-116,1
10785,-1.01,2965,-109,1
10812,0.66,2960,-100,1
10839,1.45,2977,-90,1
10866,-0.24,2981,-77,1
10893,-0.34,2993,-63,1
10920,-0.03,2980,-49,1
10947,0.27,2976,-38,1
10974,-0.52,2962,-33,1
11001,1.90,2955,-32,1
11028,-0.75,2971,-32,1
11055,-1.72,2973,-30,1
11082,-1.09,2979,-24,1
11109,0.91,2971,-17,1
11136,1.36,2978,-10,1
11163,-0.03,2963,-5,1
11190,-0.38,2971,-2,1
11217,0.13,2983,1,1
11244,0.25,2973,5,1
11271,-0.36,2983,10,1
11298,1.96,2964,14,1
11325,-0.68,2967,15,1
11352,-1.89,2951,12,1
11379,0.27,2943,8,1
11406,0.13,2955,4,1
11433,-0.33,2971,4,1
11460,-0.88,2982,9,1
11487,0.34,2992,19,1
11514,0.41,2978,28,1
11541,1.38,2966,33,1
11568,2.79,2972,33,1
11595,-0.22,2981,31,1
11622,0.11,2975,31,1
11649,1.08,2970,31,1
11676,0.88,2973,29,1
11703,-0.61,2959,26,1
11730,-0.97,2963,23,1
11757,0.16,2978,21,1
11784,-0.20,2981,22,1
11811,-0.31,2973,25,1
11838,0.17,2975,26,1
11865,-0.96,2969,26,1
11892,-1.08,2970,24,1
11919,0.81,2960,22,1
11946,1.11,2962,19,1
11973,-0.44,2971,16,1
12000,-0.01,2960,14,1
12027,0.56,2976,14,1
12054,0.16,2986,17,1
12081,0.44,2977,20,1
12108,1.67,2983,23,1
12135,-0.65,2975,24,1
12162,-1.15,2960,23,1
12189,0.92,2959,18,1
12216,-0.12,2959,12,1
12243,-0.02,2945,7,1
12270,-0.86,2958,2,1
12297,0.17,2959,0,1
12324,0.37,2969,1,1
12351,0.38,2979,4,1
12378,-0.36,2970,10,1
12405,1.93,2965,13,1
12432,-0.73,2955,13,1
12459,-1.81,2960,10,1
12486,-0.02,2960,7,1
12513,0.44,2975,5,1
12540,0.64,2983,6,1
12567,-0.51,2985,10,1
12594,-0.02,2966,13,1
12621,0.09,2966,13,1
12648,0.34,2964,9,1
12675,-0.17,2963,5,1
12702,-0.43,2981,3,1
12729,0.42,2981,4,1
12756,-0.13,2975,7,1
12783,-1.19,2980,9,1
12810,0.77,2963,9,1
12837,1.63,2973,7,1
12864,0.19,2973,4,1
12891,-0.23,2960,3,1
12918,-0.14,2949,0,1
12945,0.49,2945,-6,1
12972,-0.38,2959,-11,1
12999,2.06,2960,-13,1
13026,-0.63,2961,-12,1
13053,-1.75,2966,-8,1
13080,-0.03,2973,-3,1
13107,0.47,2962,1,1
13134,-0.05,2957,2,1
13161,-0.75,2951,0,1
13188,0.27,2955,-3,1
13215,0.70,2955,-6,1
13242,1.31,2969,-6,1
13269,2.89,2966,-4,1
13296,-0.31,2982,0,1
13323,0.28,2985,4,1
13350,0.73,2986,11,1
13377,1.08,2971,15,1
13404,-0.54,2983,15,1
13431,-0.94,2983,14,1
13458,-0.65,2970,12,1
13485,0.41,2959,8,1
13512,0.34,2955,1,1
13539,1.61,2966,-5,1
13566,2.12,2976,-7,1
13593,-0.73,2969,-5,1
13620,0.38,2961,-3,1
13647,1.45,2975,-2,1
13674,0.57,2977,0,1
13701,-0.33,2975,1,1
13728,-0.32,2961,3,1
13755,0.48,2976,3,1
13782,-0.32,2973,3,1
13809,1.77,2961,3,1
13836,-0.46,2951,0,1
13863,-1.68,2975,-4,1
13890,0.09,2977,-5,1
13917,0.35,2969,-3,1
13944,-0.37,2971,-1,1
13971,-0.60,2963,-1,1
13998,0.29,2969,-1,1
14025,0.50,2954,-3,1
14052,1.30,2960,-5,1
14079,3.13,2956,-7,1
14106,0.63,2961,-7,1
14133,-0.13,2975,-6,1
14160,0.23,2985,-2,1
14187,1.21,2988,3,1
14214,-0.49,2971,8,1
14241,-0.92,2962,9,1
14268,-0.22,2957,5,1
14295,0.23,2951,0,1
14322,0.59,2974,-5,1
14349,0.58,2970,-5,1
14376,2.13,2977,-3,1
14403,1.40,2982,1,1
14430,-0.49,2969,5,1
14457,-1.36,2960,6,1
14484,0.45,2954,2,1
14511,0.35,2960,-2,1
14538,-0.20,2962,-5,1
14565,-0.66,2964,-6,1
14592,0.36,2966,-6,1
14619,0.80,2960,-5,1
14646,0.60,2953,-5,1
14673,2.32,2965,-6,1
14700,0.98,2981,-5,1
14727,-0.27,2973,0,1
14754,-0.39,2977,3,1
14781,1.19,2963,5,1
14808,-0.23,2969,4,1
14835,-0.88,2973,2,1
14862,-0.38,2973,2,1
14889,0.32,2966,2,1
14916,0.01,2978,2,1
14943,1.31,2981,3,1
14970,0.48,2985,6,1
14997,-1.01,2957,8,1
15024,0.82,2955,5,1
15051,1.61,2961,0,1
15078,0.01,2969,-4,1
15105,0.04,2979,-3,1
15132,-0.15,2975,0,1
15159,0.41,2963,1,1
15186,-0.16,2965,1,1
15213,0.52,2960,0,1
15240,0.16,2955,-4,1
15267,-0.33,2959,-7,1
15294,-1.05,2973,-8,1
15321,0.91,2987,-5,1
15348,1.56,2979,0,1
15375,1.00,2975,5,1
15402,-0.43,2967,7,1
15429,-0.53,2966,6,1
15456,0.27,2967,4,1
15483,0.02,2971,1,1
15510,0.21,2957,0,1
15537,0.09,2961,-3,1
15564,-1.45,2965,-5,1
15591,-0.31,2963,-6,1
15618,0.68,2975,-5,1
15645,0.84,2979,-2,1
15672,-0.52,2966,0,1
