time,pressure,rawPPG,ppg
8300,-0.29,0,0
8336,-0.29,0,0
8372,-0.25,0,0
8408,-0.17,0,0
8444,-0.23,0,0
8480,-0.24,0,0
8516,-0.22,0,0
8552,-0.26,0,0
8588,-0.27,0,0
8624,-0.21,0,0
8660,-0.17,0,0
8696,-0.17,0,0
8732,-0.19,0,0
8768,-0.16,0,0
8804,-0.29,0,0
8840,-0.28,0,0
8876,-0.26,0,0
8912,-0.25,0,0
8948,-0.18,0,0
8984,-0.25,0,0
9020,-0.12,0,0
9056,-0.28,0,0
9092,-0.26,0,0
9128,-0.25,0,0
9164,-0.18,0,0
9200,-0.22,0,0
9236,-0.24,0,0
9272,-0.20,0,0
9308,-0.20,0,0
9344,-0.23,0,0
9380,-0.18,0,0
9416,-0.26,0,0
9452,-0.28,0,0
9488,-0.21,0,0
9524,-0.15,0,0
9560,-0.27,0,0
9596,-0.22,0,0
9632,-0.17,0,0
9668,-0.19,0,0
9704,-0.17,0,0
9740,-0.28,0,0
9776,-0.22,0,0
9812,-0.27,0,0
9848,-0.14,0,0
9884,-0.31,0,0
9920,-0.25,0,0
9956,-0.19,0,0
9992,-0.25,0,0
10028,-0.27,0,0
10064,-0.28,0,0
10100,-0.26,0,0
10136,-0.20,0,0
10172,-0.22,0,0
10208,-0.29,0,0
10244,-0.34,0,0
10280,-0.24,0,0
10316,-0.22,0,0
10352,-0.20,0,0
10388,-0.23,0,0
10424,-0.29,0,0
10460,-0.26,0,0
10496,-0.21,0,0
10532,-0.27,0,0
10568,-0.26,0,0
10604,-0.24,0,0
10640,-0.27,0,0
10676,-0.28,0,0
10712,-0.26,0,0
10748,-0.28,0,0
10784,-0.20,0,0
10820,-0.15,0,0
10856,-0.18,0,0
10892,-0.17,0,0
10928,-0.24,0,0
10964,-0.21,0,0
11000,-0.22,0,0
11036,-0.25,0,0
11072,-0.20,0,0
11108,-0.19,0,0
11144,-0.17,0,0
11180,-0.10,0,0
11216,-0.13,0,0
11252,-0.18,0,0
11288,-0.10,0,0
11324,-0.16,0,0
11360,-0.15,0,0
11396,-0.17,0,0
11432,-0.10,0,0
11468,-0.19,0,0
11504,-0.14,0,0
11540,-0.20,0,0
11576,-0.12,0,0
11612,-0.27,0,0
11648,-0.14,0,0
11684,-0.20,0,0
11720,-0.16,0,0
11756,-0.31,0,0
11792,-0.20,0,0
11828,-0.18,0,0
11864,-0.21,0,0
11900,-0.16,0,0
11936,-0.17,0,0
11972,-0.13,0,0
12008,-0.14,0,0
12044,-0.22,0,0
12080,-0.21,0,0
12116,-0.21,0,0
12152,-0.22,0,0
12188,-0.21,0,0
12224,-0.23,0,0
12260,-0.11,0,0
12296,-0.17,0,0
12332,-0.32,0,0
12368,-0.16,0,0
12404,-0.16,0,0
12440,-0.22,0,0
12476,-0.21,0,0
12512,-0.23,0,0
12548,-0.18,0,0
12584,-0.18,0,0
12620,-0.17,0,0
12656,-0.16,0,0
12692,-0.24,0,0
12728,-0.22,0,0
12764,-0.17,0,0
12800,-0.19,0,0
12836,-0.22,0,0
12872,-0.19,0,0
12908,-0.22,0,0
12944,-0.23,0,0
12980,-0.23,0,0
13016,-0.22,0,0
13052,-0.20,0,0
13088,-0.19,0,0
13124,-0.11,0,0
13160,-0.19,0,0
13196,-0.16,0,0
13232,-0.13,0,0
13268,-0.16,0,0
13304,-0.15,0,0
13340,-0.18,0,0
13376,-0.18,0,0
13412,-0.26,0,0
13448,-0.26,0,0
13484,-0.21,0,0
13520,-0.18,0,0
13556,-0.19,0,0
13592,-0.15,0,0
13628,-0.22,0,0
13664,-0.22,0,0
13700,-0.18,0,0
13736,-0.22,0,0
13772,-0.25,0,0
13808,-0.10,0,0
13844,-0.08,0,0
13880,-0.23,0,0
13916,-0.24,0,0
13952,-0.22,0,0
13988,-0.16,0,0
14024,-0.16,0,0
14060,-0.14,0,0
14096,-0.24,0,0
14132,-0.19,0,0
14168,-0.23,0,0
14204,-0.30,0,0
14240,-0.18,1419,92
14276,-0.15,2863,465
14312,-0.21,3357,1133
14348,-0.13,3214,1832
14384,-0.16,2924,2279
14420,-0.21,2734,2378
14456,-0.19,2669,2201
14492,-0.18,2665,1888
14528,-0.21,2679,1555
14564,-0.30,2705,1266
14600,-0.19,2735,1041
14636,-0.24,2736,871
14672,-0.28,2750,738
14708,-0.23,2765,624
14744,-0.20,2821,524
14780,-0.17,3085,454
14816,-0.21,3360,439
14852,-0.20,3265,465
14888,-0.18,2998,456
14924,-0.20,2831,353
14960,-0.18,2832,176
14996,-0.19,2897,-8
15032,-0.14,2894,-154
15068,-0.13,2902,-254
15104,-0.17,2951,-321
15140,-0.19,2915,-361
15176,-0.17,2875,-394
15212,-0.21,2829,-436
15248,-0.16,2770,-493
15284,-0.17,2768,-555
15320,-0.22,2813,-608
15356,-0.14,2818,-638
15392,-0.21,2818,-650
15428,-0.14,2836,-650
15464,-0.18,2813,-645
15500,-0.16,2755,-645
15536,-0.11,2689,-659
15572,-0.15,2672,-685
15608,-0.22,2650,-713
15644,-0.18,2643,-733
15680,-0.20,2693,-738
15716,-0.15,2953,-706
15752,-0.06,3276,-605
15788,-0.12,3263,-445
15824,-0.20,3041,-303
15860,-0.10,2857,-254
15896,-0.17,2815,-299
15932,-0.16,2858,-382
15968,-0.15,2855,-451
16004,-0.12,2831,-490
16040,-0.14,2806,-500
16076,-0.23,2897,-487
16112,-0.19,2894,-456
16148,-0.23,2830,-427
16184,-0.27,2777,-415
16220,-0.15,2768,-418
16256,-0.20,2770,-424
16292,-0.15,2800,-421
16328,-0.17,2803,-408
16364,-0.22,2807,-386
16400,-0.21,2819,-358
16436,-0.19,2814,-327
16472,-0.25,2810,-299
16508,-0.23,2806,-276
16544,-0.17,2791,-258
16580,-0.15,2777,-244
16616,-0.15,2773,-235
16652,-0.09,2936,-216
16688,-0.16,3333,-147
16724,-0.18,3557,0
16760,-0.19,3315,171
16796,-0.19,3033,260
16832,-0.15,2906,225
16868,-0.14,2961,117
16904,-0.21,2992,11
16940,-0.18,2978,-57
16976,-0.22,2979,-92
17012,-0.24,3019,-99
17048,-0.16,2994,-88
17084,-0.21,2918,-75
17120,-0.20,2842,-74
17156,-0.15,2832,-98
17192,-0.09,2841,-134
17228,-0.15,2855,-159
17264,-0.11,2865,-164
17300,-0.16,2864,-153
17336,-0.19,2837,-137
17372,-0.22,2827,-123
17408,-0.09,2810,-116
17444,-0.17,2790,-116
17480,-0.16,2805,-117
17516,-0.20,2774,-112
17552,-0.17,2795,-102
17588,-0.16,2783,-93
17624,-0.10,2857,-82
17660,-0.13,3188,-41
17696,-0.12,3611,75
17732,-0.15,3537,257
17768,-0.08,3188,399
17804,-0.07,2966,412
17840,-0.12,2952,309
17876,-0.13,2986,172
17912,-0.10,2958,60
17948,-0.11,2912,-14
17984,-0.10,2933,-59
18020,-0.09,2951,-76
18056,-0.17,2912,-76
18092,-0.06,2915,-77
18128,-0.11,2807,-90
18164,-0.12,2795,-113
18200,-0.17,2779,-135
18236,-0.11,2800,-147
18272,-0.14,2805,-145
18308,-0.19,2802,-133
18344,-0.09,2815,-117
18380,-0.14,2830,-99
18416,-0.17,2799,-80
18452,-0.16,2798,-68
18488,-0.24,2771,-61
18524,-0.16,2752,-60
18560,-0.09,2767,-63
18596,-0.16,2815,-62
18632,-0.05,3106,-33
18668,-0.20,3302,49
18704,-0.13,3189,167
18740,-0.16,2995,249
18776,-0.22,2881,246
18812,-0.20,2881,179
18848,-0.20,2929,102
18884,-0.30,2943,48
18920,-0.14,2990,27
18956,-0.24,2992,31
18992,-0.18,2938,43
19028,-0.19,2875,42
19064,-0.15,2818,21
19100,-0.22,2795,-13
19136,-0.20,2795,-51
19172,-0.18,2817,-78
19208,-0.24,2832,-86
19244,-0.12,2835,-77
19280,-0.22,2848,-60
19316,-0.24,2813,-44
19352,-0.18,2784,-40
19388,-0.18,2770,-46
19424,-0.17,2773,-56
19460,-0.15,2779,-62
19496,-0.22,2770,-63
19532,-0.21,2826,-57
19568,-0.25,3101,-23
19604,-0.17,3419,72
19640,-0.20,3387,219
19676,-0.16,3120,336
19712,-0.22,2909,347
19748,-0.13,2887,262
19784,-0.16,2965,147
19820,-0.17,2979,62
19856,-0.16,2941,15
19892,-0.16,2954,-7
19928,-0.18,2967,-14
19964,-0.21,2925,-13
20000,-0.22,2851,-18
20036,-0.15,2805,-37
20072,-0.25,2803,-68
20108,-0.22,2803,-97
20144,-0.22,2821,-113
20180,-0.21,2833,-115
20216,-0.15,2838,-107
20252,-0.24,2838,-94
20288,-0.18,2823,-81
20324,-0.21,2815,-71
20360,-0.22,2805,-66
20396,-0.18,2814,-63
20432,-0.18,2809,-61
20468,-0.19,2830,-58
20504,-0.23,2833,-50
20540,-0.27,2935,-32
20576,-0.21,3280,22
20612,-0.23,3568,142
20648,-0.21,3408,296
20684,-0.19,3071,385
