Time,Pressure,PPGSignal,BL_W20_T2.5_D10_C2,BL_W40_T2.5_D10_C2,BL_W60_T2.5_D10_C2,BL_W80_T2.5_D10_C2
15316,-0.07,190,0,0,0,0
15351,-0.21,775,0,0,0,0
15387,-0.17,1509,0,0,0,0
15423,-0.12,2037,0,0,0,0
15459,-0.15,2267,0,0,0,0
15495,-0.23,2247,0,0,0,0
15531,-0.24,2076,0,0,0,0
15567,-0.26,1841,0,0,0,0
15603,-0.22,1601,0,0,0,0
15639,-0.21,1380,0,0,0,0
15675,-0.26,1177,0,0,0,0
15711,-0.15,985,0,0,0,0
15747,-0.16,807,0,0,0,0
15783,-0.16,651,0,0,0,0
15819,-0.17,518,0,0,0,0
15855,-0.12,397,0,0,0,0
15891,-0.21,280,0,0,0,0
15927,-0.17,166,0,0,0,0
15963,-0.20,59,0,0,0,0
15999,-0.24,-30,0,0,0,0
16035,-0.19,-107,0,0,0,0
16071,-0.17,-176,0,0,0,0
16107,-0.21,-227,0,0,0,0
16143,-0.20,-243,0,0,0,0
16179,-0.26,-244,0,0,0,0
16215,-0.20,-281,0,0,0,0
16251,-0.21,-374,0,0,0,0
16287,-0.19,-487,0,0,0,0
16323,-0.31,-577,0,0,0,0
16359,-0.20,-624,0,0,0,0
16395,-0.18,-629,0,0,0,0
16431,-0.18,-624,0,0,0,0
16467,-0.22,-644,0,0,0,0
16503,-0.18,-681,0,0,0,0
16539,-0.21,-712,0,0,0,0
16575,-0.26,-725,0,0,0,0
16611,-0.14,-714,0,0,0,0
16647,-0.23,-698,0,0,0,0
16683,-0.22,-692,0,0,0,0
16719,-0.21,-692,0,0,0,0
16755,-0.29,-691,0,0,0,0
16791,-0.19,-689,0,0,0,0
16827,-0.23,-683,0,0,0,0
16863,-0.19,-665,0,0,0,0
16899,-0.25,-644,0,0,0,0
16935,-0.22,-631,0,0,0,0
16971,-0.19,-629,0,0,0,0
17007,-0.19,-632,0,0,0,0
17043,-0.17,-628,0,0,0,0
17079,-0.23,-605,0,0,0,0
17115,-0.20,-575,0,0,0,0
17151,-0.14,-535,0,0,0,0
17187,-0.29,-463,0,0,0,0
17223,-0.18,-380,0,0,0,0
17259,-0.22,-337,0,0,0,0
17295,-0.17,-348,0,0,0,0
17331,-0.17,-390,0,0,0,0
17367,-0.23,-423,0,0,0,0
17403,-0.21,-432,0,0,0,0
17439,-0.27,-424,0,0,0,0
17475,-0.22,-401,0,0,0,0
17511,-0.23,-375,0,0,0,0
17547,-0.26,-358,0,0,0,0
17583,-0.34,-352,0,0,0,0
17619,-0.22,-352,0,0,0,0
17655,-0.30,-345,0,0,0,0
17691,-0.21,-327,0,0,0,0
17727,-0.15,-301,0,0,0,0
17763,-0.28,-275,0,0,0,0
17799,-0.24,-254,0,0,0,0
17835,-0.22,-238,0,0,0,0
17871,-0.20,-226,0,0,0,0
17907,-0.21,-212,0,0,0,0
17943,-0.26,-194,0,0,0,0
17979,-0.28,-181,0,0,0,0
18015,-0.25,-172,0,0,0,0
18051,-0.27,-156,0,0,0,0
18087,-0.16,-115,0,0,0,0
18123,0.64,-55,0,0,0,0
18159,1.28,-11,0,0,0,0
18195,1.83,-8,0,0,0,0
18231,2.04,-43,0,0,0,0
18267,2.53,-92,0,0,0,0
18303,2.84,-130,0,0,0,0
18339,3.35,-151,0,0,0,0
18375,3.72,-150,0,0,0,0
18411,4.00,-132,0,0,0,0
18447,4.40,-110,0,0,0,0
18483,4.36,-97,0,0,0,0
18519,4.37,-96,0,0,0,0
18555,4.15,-102,0,0,0,0
18591,3.99,-107,0,0,0,0
18627,3.83,-105,0,0,0,0
18663,3.79,-97,0,0,0,0
18699,3.76,-89,0,0,0,0
18735,3.78,-81,0,0,0,0
18771,3.62,-71,0,0,0,0
18807,3.63,-65,0,0,0,0
18843,3.55,-64,0,0,0,0
18879,3.54,-67,0,0,0,0
18915,3.51,-72,0,0,0,0
18951,3.60,-71,0,0,0,0
18987,3.49,-58,0,0,0,0
19023,3.44,-17,0,0,0,0
19059,4.06,43,0,0,0,0
19095,4.90,87,0,0,0,0
19131,5.89,83,0,0,0,0
19167,7.05,40,0,0,0,0
19203,7.88,-13,0,0,0,0
19239,8.60,-51,0,0,0,0
19275,9.29,-65,0,0,0,0
19311,9.36,-62,0,0,0,0
19347,8.90,-53,0,0,0,0
19383,8.60,-49,0,0,0,0
19419,8.38,-55,0,0,0,0
19455,8.28,-68,0,0,0,0
19491,8.09,-79,0,0,0,0
19527,7.94,-90,0,0,0,0
19563,7.89,-104,0,0,0,0
19599,7.85,-107,0,0,0,0
19635,7.72,-99,0,0,0,0
19671,7.73,-92,0,0,0,0
19707,7.64,-92,0,0,0,0
19743,7.58,-93,0,0,0,0
19779,7.68,-86,0,0,0,0
19815,8.84,-70,0,0,0,0
19851,10.21,-52,0,0,0,0
19887,11.82,-26,0,0,0,0
19923,13.47,16,0,0,0,0
19959,15.03,61,0,0,0,0
19995,16.15,70,0,0,0,0
20031,16.42,27,0,0,0,0
20067,15.98,-40,0,0,0,0
20103,15.29,-96,0,0,0,0
20139,14.87,-125,0,0,0,0
20175,14.49,-125,0,0,0,0
20211,14.36,-103,0,0,0,0
20247,14.09,-72,0,0,0,0
20283,13.93,-56,0,0,0,0
20319,13.73,-67,0,0,0,0
20355,13.69,-94,0,0,0,0
20391,13.57,-119,0,0,0,0
20427,13.38,-127,0,0,0,0
20463,13.27,-125,0,0,0,0
20499,13.22,-123,0,0,0,0
20535,13.93,-122,0,0,0,0
20571,15.81,-118,0,0,0,0
20607,18.12,-106,0,0,0,0
20643,20.85,-91,0,0,0,0
20679,22.93,-72,0,0,0,0
20715,24.38,-55,0,0,0,0
20751,24.80,-40,0,0,0,0
20787,24.04,-14,0,0,0,0
20823,22.96,28,0,0,0,0
20859,22.22,58,0,0,0,0
20895,21.80,46,0,0,0,0
20931,21.47,-7,0,0,0,0
20967,21.30,-70,0,0,0,0
21003,21.03,-113,0,0,0,0
21039,20.85,-122,0,0,0,0
21075,20.65,-107,0,0,0,0
21111,20.50,-88,0,0,0,0
21147,20.44,-79,0,0,0,0
21183,20.25,-84,0,0,0,0
21219,20.09,-103,0,0,0,0
21255,20.51,-128,0,0,0,0
21291,22.96,-137,0,0,0,0
21327,26.16,-124,0,0,0,0
21363,29.31,-103,0,0,0,0
21399,32.45,-87,0,0,0,0
21435,34.95,-82,0,0,0,0
21471,35.95,-82,0,0,0,0
21507,35.43,-83,0,0,0,0
21543,34.05,-85,0,0,0,0
21579,33.22,-90,0,0,0,0
21615,32.73,-92,0,0,0,0
21651,32.42,-91,0,0,0,0
21687,32.09,-86,0,0,0,0
21723,31.84,-68,0,0,0,0
21759,31.55,-25,0,0,0,0
21795,31.34,25,0,0,0,0
21831,31.24,45,0,0,0,0
21867,30.95,25,0,0,0,0
21903,30.88,-24,0,0,0,0
21939,30.72,-82,0,0,0,0
21975,30.63,-120,0,0,0,0
22011,33.50,-131,0,0,0,0
22047,37.58,-125,0,0,0,0
22083,41.55,-107,0,0,0,0
22119,45.53,-88,0,0,0,0
22155,49.24,-80,0,0,0,0
22191,51.76,-89,0,0,0,0
22227,51.99,-103,0,0,0,0
22263,50.73,-113,0,0,0,0
22299,49.81,-118,0,0,0,0
22335,49.17,-122,0,0,0,0
22371,48.58,-123,0,0,0,0
22407,48.10,-112,0,0,0,0
22443,47.73,-92,0,0,0,0
22479,47.28,-77,0,0,0,0
22515,46.89,-78,0,0,0,0
22551,46.64,-84,0,0,0,0
22587,46.53,-84,0,0,0,0
22623,46.24,-84,0,0,0,0
22659,45.96,-73,0,0,0,0
22695,45.57,-27,0,0,0,0
22731,46.13,37,0,0,0,0
22767,50.39,71,0,0,0,0
22803,55.64,39,0,0,0,0
22839,61.02,-42,0,0,0,0
22875,66.62,-123,0,0,0,0
22911,71.63,-162,0,0,0,0
22947,74.35,-152,0,0,0,0
22983,74.28,-113,0,0,0,0
23019,72.69,-71,0,0,0,0
23055,71.60,-53,0,0,0,0
23091,70.76,-61,0,0,0,0
23127,70.11,-77,0,0,0,0
23163,69.60,-92,0,0,0,0
23199,69.16,-104,0,0,0,0
23235,68.81,-111,0,0,0,0
23271,68.40,-102,0,0,0,0
23307,68.07,-86,0,0,0,0
23343,67.72,-88,0,0,0,0
23379,67.35,-110,0,0,0,0
23415,67.01,-129,0,0,0,0
23451,66.76,-128,0,0,0,0
23487,66.65,-116,0,0,0,0
23523,69.82,-103,0,0,0,0
23559,76.19,-93,0,0,0,0
23595,83.05,-80,0,0,0,0
23645,90.01,-40,0,0,0,0
23694,99.07,23,0,0,0,0
23743,104.24,66,0,0,0,0
23792,102.69,50,0,0,0,0
23841,100.99,-4,0,0,0,0
23890,99.95,-60,0,0,0,0
23939,98.94,-100,0,0,0,0
23988,98.03,-116,0,0,0,0
24037,97.14,-115,0,0,0,0
24086,96.41,-108,0,0,0,0
24135,95.91,-105,0,0,0,0
24184,95.50,-106,0,0,0,0
24233,95.13,-104,0,0,0,0
24282,94.97,-93,0,0,0,0
24331,102.70,-83,0,0,0,0
24380,112.86,-83,0,0,0,0
24429,123.79,-82,0,0,0,0
24478,133.53,-73,0,0,0,0
24527,139.55,-60,0,0,0,0
24576,140.15,-47,0,0,0,0
24625,138.44,-38,0,0,0,0
24674,136.89,-40,0,0,0,0
24723,135.78,-54,0,0,0,0
24772,135.00,-69,0,0,0,0
24821,134.41,-78,0,0,0,0
24870,133.67,-85,0,0,0,0
24919,133.10,-93,0,0,0,0
24968,132.47,-97,0,0,0,0
25017,132.07,-99,0,0,0,0
25066,131.52,-99,0,0,0,0
25115,131.17,-93,0,0,0,0
25164,130.67,-83,0,0,0,0
25213,130.42,-79,0,0,0,0
25262,130.07,-79,0,0,0,0
25311,129.69,-77,0,0,0,0
25360,129.35,-69,0,0,0,0
25409,129.64,-66,0,0,0,0
25458,129.63,-74,0,0,0,0
25507,128.96,-84,0,0,0,0
25556,128.59,-88,0,0,0,0
25605,128.31,-82,0,0,0,0
25654,128.12,-72,0,0,0,0
25703,127.97,-68,0,0,0,0
25752,127.70,-70,0,0,0,0
25801,127.47,-75,0,0,0,0
25850,127.17,-79,0,0,0,0
25899,127.04,-81,0,0,0,0
25948,126.88,-82,0,0,0,0
25997,126.76,-80,0,0,0,0
26046,126.51,-79,0,0,0,0
26095,126.41,-81,0,0,0,0
26144,134.67,-86,0,0,0,0
26193,146.25,-93,0,0,0,0
26242,157.59,-94,0,0,0,0
26291,166.74,-87,0,0,0,0
26340,171.56,-80,0,0,0,0
26389,171.21,-73,0,0,0,0
26438,169.61,-70,0,0,0,0
26487,168.46,-68,0,0,0,0
26536,167.54,-69,0,0,0,0
26585,166.97,-72,0,0,0,0
26634,166.21,-78,0,0,0,0
26683,165.62,-80,0,0,0,0
26732,165.09,-79,0,0,0,0
26781,164.61,-78,0,0,0,0
26830,164.29,-79,0,0,0,0
26879,163.95,-79,0,0,0,0
26928,163.51,-76,0,0,0,0
26977,163.15,-68,0,0,0,0
27026,162.79,-65,0,0,0,0
27075,162.52,-74,0,0,0,0
27124,162.18,-81,0,0,0,0
27173,161.96,-79,0,0,0,0
27222,161.58,-72,0,0,0,0
27271,161.47,-67,0,0,0,0
27320,164.68,-67,0,0,0,0
27369,175.80,-66,0,0,0,0
27418,188.75,-61,0,0,0,0
27467,200.18,-55,0,0,0,0
27516,207.22,-51,0,0,0,0
27565,210.01,-52,0,0,0,0
27614,209.94,-60,0,0,0,0
27663,208.98,-69,0,0,0,0
27712,207.79,-75,0,0,0,0
27761,206.75,-78,0,0,0,0
27810,205.94,-78,0,0,0,0
27859,205.10,-77,0,0,0,0
27908,204.50,-77,0,0,0,0
27957,203.93,-81,0,0,0,0
28006,203.32,-82,0,0,0,0
28055,202.87,-80,0,0,0,0
28104,202.45,-78,0,0,0,0
28153,201.92,-77,0,0,0,0
28202,201.56,-75,0,0,0,0
28251,201.27,-74,0,0,0,0
28300,201.08,-74,0,0,0,0
28349,200.74,-75,0,0,0,0
28398,200.19,-78,0,0,0,0
28447,200.01,-80,0,0,0,0
28496,199.76,-77,0,0,0,0
28545,199.45,-71,0,0,0,0
28594,199.18,-70,0,0,0,0
28643,198.97,-79,0,0,0,0
28692,198.71,-88,0,0,0,0
28741,198.39,-86,0,0,0,0
28790,198.22,-72,0,0,0,0
28839,198.06,-58,0,0,0,0
28888,197.85,-50,0,0,0,0
28937,197.56,-50,0,0,0,0
28986,197.37,-59,0,0,0,0
29035,197.17,-69,0,0,0,0
29084,197.01,-74,0,0,0,0
29133,196.84,-71,0,0,0,0
29182,196.66,-64,0,0,0,0
29231,196.58,-59,0,0,0,0
29280,196.59,-65,0,0,0,0
29329,196.30,-77,0,0,0,0
29378,195.95,-86,0,0,0,0
29427,195.79,-86,0,0,0,0
29476,195.66,-81,0,0,0,0
29525,195.53,-77,0,0,0,0
29574,195.51,-78,0,0,0,0
29623,195.34,-81,0,0,0,0
29672,195.13,-84,0,0,0,0
29721,195.07,-84,0,0,0,0
29770,194.85,-83,0,0,0,0
29819,194.69,-80,0,0,0,0
29868,194.68,-73,0,0,0,0
29917,194.51,-68,0,0,0,0
29966,194.31,-68,0,0,0,0
30015,194.25,-71,0,0,0,0
30064,194.11,-69,0,0,0,0
30113,194.03,-61,0,0,0,0
30162,193.97,-49,0,0,0,0
30211,194.03,-45,0,0,0,0
30260,193.90,-51,0,0,0,0
30309,193.70,-64,0,0,0,0
30358,193.48,-82,0,0,0,0
30407,193.43,-92,0,0,0,0
30456,193.18,-88,0,0,0,0
30505,193.09,-80,0,0,0,0
30554,192.97,-80,0,0,0,0
30603,192.92,-90,0,0,0,0
30652,192.79,-99,0,0,0,0
30701,192.66,-97,0,0,0,0
30750,192.65,-83,0,0,0,0
30799,192.51,-68,0,0,0,0
30848,192.41,-58,0,0,0,0
30897,192.28,-54,0,0,0,0
30946,192.26,-53,0,0,0,0
30995,192.11,-59,0,0,0,0
31044,192.01,-70,0,0,0,0
31093,191.95,-78,0,0,0,0
31142,192.09,-85,0,0,0,0
31191,191.99,-98,0,0,0,0
31240,191.66,-110,0,0,0,0
31289,191.67,-112,0,0,0,0
31338,191.57,-107,0,0,0,0
31387,191.52,-101,0,0,0,0
31436,191.39,-90,0,0,0,0
31485,191.32,-71,0,0,0,0
31534,191.29,-55,0,0,0,0
31583,191.01,-61,0,0,0,0
31632,191.07,-81,0,0,0,0
31681,190.93,-100,0,0,0,0
31730,190.75,-111,0,0,0,0
31779,190.76,-112,0,0,0,0
31828,190.62,-112,0,0,0,0
31877,190.52,-113,0,0,0,0
31926,190.38,-102,0,0,0,0
31975,190.25,-81,0,0,0,0
32024,190.21,-72,0,0,0,0
32073,190.15,-77,0,0,0,0
32122,190.21,-79,0,0,0,0
32171,190.15,-75,0,0,0,0
32220,189.86,-69,0,0,0,0
32269,189.82,-65,0,0,0,0
32318,189.74,-64,0,0,0,0
32367,189.79,-65,0,0,0,0
32416,189.50,-62,0,0,0,0
32465,189.42,-57,0,0,0,0
32514,189.42,-55,0,0,0,0
32563,189.08,-58,0,0,0,0
32612,188.72,-61,0,0,0,0
32661,188.45,-63,0,0,0,0
32710,188.13,-62,0,0,0,0
32759,187.68,-59,0,0,0,0
32808,187.32,-55,0,0,0,0
32857,187.05,-50,0,0,0,0
32906,186.57,-45,0,0,0,0
32955,186.20,-45,0,0,0,0
33004,185.78,-52,0,0,0,0
33053,185.52,-60,0,0,0,0
33102,185.20,-67,0,0,0,0
33151,184.76,-70,0,0,0,0
33200,184.17,-70,0,0,0,0
33249,183.76,-67,0,0,0,0
33298,183.34,-67,0,0,0,0
33347,182.87,-73,0,0,0,0
33396,182.29,-83,0,0,0,0
33445,181.86,-88,0,0,0,0
33494,181.22,-81,0,0,0,0
33543,180.76,-68,0,0,0,0
33592,180.22,-59,0,0,0,0
33641,179.70,-61,0,0,0,0
33690,179.14,-71,0,0,0,0
33739,178.59,-81,0,0,0,0
33788,177.94,-90,0,0,0,0
33837,177.44,-97,0,0,0,0
33886,176.76,-97,0,0,0,0
33935,176.25,-87,0,0,0,0
33984,175.61,-74,0,0,0,0
34033,175.42,-66,0,0,0,0
34082,174.72,-63,0,0,0,0
34131,173.95,-64,0,0,0,0
34180,173.31,-70,0,0,0,0
34229,172.71,-77,0,0,0,0
34278,172.15,-81,0,0,0,0
34327,171.47,-81,0,0,0,0
34376,170.82,-83,0,0,0,0
34425,170.17,-89,0,0,0,0
34474,169.45,-95,0,0,0,0
34523,168.79,-95,0,0,0,0
34572,168.11,-90,0,0,0,0
34621,167.48,-86,0,0,0,0
34670,166.75,-75,0,0,0,0
34719,166.19,-58,0,0,0,0
34768,165.52,-51,0,0,0,0
34817,164.94,-58,0,0,0,0
34866,164.16,-69,0,0,0,0
34915,163.63,-74,0,0,0,0
34964,163.13,-76,0,0,0,0
35013,162.80,-79,0,0,0,0
35062,162.03,-83,0,0,0,0
35111,161.35,-82,0,0,0,0
35160,160.66,-77,0,0,0,0
35209,160.11,-75,0,0,0,0
35258,159.41,-77,0,0,0,0
35307,158.97,-79,0,0,0,0
35356,158.20,-77,0,0,0,0
35405,157.69,-74,0,0,0,0
35454,156.98,-74,0,0,0,0
35503,156.50,-74,0,0,0,0
35552,156.00,-76,0,0,0,0
35601,155.60,-78,0,0,0,0
35650,155.16,-81,0,0,0,0
35699,154.63,-83,0,0,0,0
35748,154.18,-81,0,0,0,0
35797,153.92,-76,0,0,0,0
35846,153.32,-73,0,0,0,0
35895,152.87,-72,0,0,0,0
35944,152.52,-75,0,0,0,0
35993,152.42,-79,0,0,0,0
36042,152.07,-82,0,0,0,0
36091,151.58,-84,0,0,0,0
36140,151.13,-85,0,0,0,0
36189,150.72,-90,0,0,0,0
36238,150.35,-94,0,0,0,0
