Time,Pressure,PPGSignal,rawPPGSignal,AUS_PULSE_HEARD,BL_W65_T3.00_D5_C2,BL_W70_T2.50_D5_C2,BL_W75_T2.50_D5_C2,BL_W60_T3.00_D5_C2,BL_W65_T3.50_D5_C2,BL_W80_T2.50_D5_C2,BL_W75_T3.00_D5_C2,
14828,-0.17,156,2421,0,0,0,0,0,0,0,0,0
14863,-0.24,748,4095,0,0,0,0,0,0,0,0,0
14899,-0.19,1706,4095,0,0,0,0,0,0,0,0,0
14935,-0.11,2613,4095,0,0,0,0,0,0,0,0,0
14971,-0.15,3194,4095,0,0,0,0,0,0,0,0,0
15007,-0.18,3429,4095,0,0,0,0,0,0,0,0,0
15043,-0.13,3310,2623,0,0,0,0,0,0,0,0,0
15079,-0.23,2712,640,0,0,0,0,0,0,0,0,0
15115,-0.16,1696,547,0,0,0,0,0,0,0,0,0
15151,-0.17,704,1531,0,0,0,0,0,0,0,0,0
15187,-0.16,190,2624,0,0,0,0,0,0,0,0,0
15223,-0.14,251,3191,0,0,0,0,0,0,0,0,0
15259,-0.17,651,3042,0,0,0,0,0,0,0,0,0
15295,-0.2,1045,2605,0,0,0,0,0,0,0,0,0
15331,-0.06,1214,2226,0,0,0,0,0,0,0,0,0
15367,-0.2,1138,2064,0,0,0,0,0,0,0,0,0
15403,-0.14,919,1983,0,0,0,0,0,0,0,0,0
15439,-0.2,666,1907,0,0,0,0,0,0,0,0,0
15475,-0.22,447,1927,0,0,0,0,0,0,0,0,0
15511,-0.15,298,1951,0,0,0,0,0,0,0,0,0
15547,-0.11,241,2293,0,0,0,0,0,0,0,0,0
15583,-0.16,396,4095,0,0,0,0,0,0,0,0,0
15619,-0.2,840,4095,0,0,0,0,0,0,0,0,0
15655,-0.19,1371,4095,0,0,0,0,0,0,0,0,0
15691,-0.12,1760,4095,0,0,0,0,0,0,0,0,0
15727,-0.13,1952,4095,0,0,0,0,0,0,0,0,0
15763,-0.2,1839,1926,0,0,0,0,0,0,0,0,0
15799,-0.13,1243,630,0,0,0,0,0,0,0,0,0
15835,-0.14,322,967,0,0,0,0,0,0,0,0,0
15871,-0.16,-429,2106,0,0,0,0,0,0,0,0,0
15907,-0.14,-654,3139,0,0,0,0,0,0,0,0,0
15943,-0.14,-367,3485,0,0,0,0,0,0,0,0,0
15979,-0.26,124,3031,0,0,0,0,0,0,0,0,0
16015,-0.19,481,2508,0,0,0,0,0,0,0,0,0
16051,-0.14,553,2140,0,0,0,0,0,0,0,0,0
16087,-0.13,390,1968,0,0,0,0,0,0,0,0,0
16123,-0.19,129,1952,0,0,0,0,0,0,0,0,0
16159,-0.18,-111,1936,0,0,0,0,0,0,0,0,0
16195,-0.16,-272,2001,0,0,0,0,0,0,0,0,0
16231,-0.16,-309,2519,0,0,0,0,0,0,0,0,0
