Time,Pressure,PPGSignal,rawPPGSignal
14811,29.19,1933,21,1
14838,29.98,1923,22,1
14865,30.06,1904,21,1
14892,30.12,1929,19,1
14919,30.82,1963,23,1
14946,30.76,2176,47,1
14973,30.93,2423,116,1
15000,31.64,2401,223,1
15027,31.40,2237,309,1
15054,31.91,1984,314,1
15081,32.45,1776,221,1
15108,32.15,1712,66,1
15135,32.74,1695,-92,1
15162,33.18,1745,-206,1
15189,33.03,1814,-253,1
15216,33.73,1831,-243,1
15243,34.09,1897,-197,1
15270,33.86,1924,-136,1
15297,34.79,1935,-76,1
15324,34.73,1954,-29,1
15351,34.93,1904,0,1
15378,35.67,1889,7,1
15405,35.44,1863,-3,1
15432,35.88,1834,-23,1
15459,36.44,1863,-42,1
15486,36.23,1861,-51,1
15513,36.96,1883,-50,1
15540,37.13,1913,-40,1
15567,37.15,1901,-24,1
15594,38.01,1920,-6,1
15621,37.98,1920,8,1
15648,38.33,1903,17,1
15675,39.15,1922,22,1
15702,39.01,1910,24,1
15729,39.92,1918,23,1
15756,39.86,1987,26,1
15783,40.19,2207,52,1
15810,40.91,2428,125,1
15837,40.75,2401,233,1
15864,41.57,2191,315,1
15891,41.64,1961,309,1
15918,41.69,1750,208,1
15945,42.63,1679,48,1
15972,42.38,1696,-110,1
15999,43.29,1706,-222,1
16026,43.46,1795,-268,1
16053,43.73,1851,-255,1
16080,44.51,1905,-203,1
16107,44.41,1968,-131,1
16134,45.29,1947,-59,1
16161,45.32,1943,-4,1
16188,45.64,1909,23,1
16215,46.26,1853,24,1
16242,46.25,1858,3,1
16269,47.12,1840,-22,1
16296,47.04,1843,-42,1
16323,47.77,1884,-50,1
16350,47.96,1881,-46,1
16377,48.31,1904,-33,1
16404,49.07,1909,-17,1
16431,48.95,1904,-2,1
16458,49.94,1929,8,1
16485,49.98,1907,17,1
16512,50.80,1914,22,1
16539,51.09,1936,26,1
16566,51.37,2019,36,1
16593,52.22,2341,78,1
16620,51.98,2469,172,1
16647,53.13,2364,284,1
16674,52.92,2159,344,1
16701,53.96,1889,305,1
16728,53.83,1741,176,1
16755,54.54,1703,8,1
16782,54.87,1695,-140,1
16809,55.30,1762,-234,1
16836,55.94,1808,-263,1
16863,56.11,1840,-241,1
16890,56.93,1908,-190,1
16917,56.90,1917,-127,1
16944,57.79,1955,-65,1
16971,57.69,1947,-18,1
16998,58.69,1887,8,1
17025,58.57,1881,9,1
17052,59.58,1838,-5,1
17079,59.56,1827,-28,1
17106,60.40,1859,-48,1
17133,60.46,1849,-57,1
17160,61.23,1891,-54,1
17187,61.38,1906,-41,1
17214,62.10,1895,-22,1
17241,62.37,1925,-2,1
17268,62.94,1907,13,1
17295,63.33,1906,21,1
17322,63.95,1918,25,1
17349,64.40,1904,25,1
17376,65.17,1917,23,1
17403,65.62,1919,23,1
17430,66.25,1943,26,1
17457,66.51,2193,47,1
17484,67.18,2448,118,1
